date,receipt,change
2025-07-28,6599,
2025-07-29,6499,
2025-07-30,2573,-3926.0
2025-07-31,0,-2573.0
2025-08-05,4450,
2025-08-06,7450,
2025-08-07,7450,0.0
2025-08-08,7450,0.0
2025-08-11,7450,0.0
2025-08-12,7450,0.0
2025-08-13,7450,0.0
2025-08-14,7450,0.0
2025-08-15,7450,0.0
2025-08-18,7450,0.0
2025-08-19,7450,0.0
2025-08-20,7450,0.0
2025-08-21,7450,0.0
2025-08-22,7450,0.0
2025-08-25,7450,0.0
2025-08-26,7450,0.0
2025-08-27,7450,0.0
2025-08-28,7450,0.0
2025-08-29,7450,0.0
2025-09-01,7450,0.0
2025-09-02,7450,0.0
2025-09-03,7450,0.0
2025-09-04,7450,0.0
2025-09-05,7450,0.0
2025-09-08,7450,0.0
2025-09-09,9406,1956.0
2025-09-10,9406,0.0
2025-09-11,9950,544.0
2025-09-12,9950,0.0
2025-09-15,9238,-712.0
2025-09-16,9217,-21.0
2025-09-17,9217,0.0
2025-09-18,8487,-730.0
2025-09-19,8330,-157.0
2025-09-22,8270,
2025-09-23,8270,0.0
2025-09-24,8250,-20.0
2025-09-25,8250,0.0
2025-09-26,8189,-61.0
2025-09-29,8189,0.0
2025-09-30,8028,-161.0
2025-10-09,8028,0.0
2025-10-10,8028,0.0
2025-10-13,12982,4954.0
2025-10-14,12938,-44.0
2025-10-15,12938,0.0
2025-10-16,12938,0.0
2025-10-17,12806,-132.0
2025-10-20,12756,-50.0
2025-10-21,12504,-252.0
2025-10-22,12504,0.0
2025-10-23,12504,0.0
2025-10-24,12504,0.0
2025-10-27,12504,0.0
2025-10-28,12504,0.0
2025-10-29,12504,0.0
2025-10-30,12504,0.0
2025-10-31,12504,0.0
2025-11-03,12453,-51.0
2025-11-04,12453,0.0
2025-11-05,12453,0.0
2025-11-06,12453,0.0
2025-11-07,12453,0.0
2025-11-10,12453,0.0
2025-11-11,12453,0.0
2025-11-12,12453,0.0
2025-11-13,12453,0.0
2025-11-14,12453,0.0
2025-11-17,12453,0.0
2025-11-18,12453,0.0
2025-11-19,12453,0.0
2025-11-20,11710,-743.0
2025-11-21,11710,0.0
2025-11-24,11508,-202.0
2025-11-25,10695,-813.0
2025-11-26,10695,0.0
2025-11-27,10195,-500.0
2025-11-28,0,-10195.0
2025-12-11,2500,2500.0
2025-12-12,2500,0.0
2025-12-15,2500,0.0
2025-12-16,2500,0.0
2025-12-17,2500,0.0
2025-12-18,2500,0.0
2025-12-19,2500,0.0
2025-12-22,2500,0.0
2025-12-23,4855,2355.0
2025-12-24,12355,7500.0
2025-12-25,12355,0.0
2025-12-26,12355,0.0
2025-12-29,12355,0.0
2025-12-30,12355,0.0
2025-12-31,12355,0.0
