date,receipt,change
2025-06-03,125616,-10896.0
2025-06-04,127732,2116.0
2025-06-05,126748,-984.0
2025-06-06,129112,2364.0
2025-06-09,136968,7856.0
2025-06-10,134984,-1984.0
2025-06-11,133492,-1492.0
2025-06-12,131140,-2352.0
2025-06-13,145076,13936.0
2025-06-16,188204,43128.0
2025-06-17,218164,29960.0
2025-06-18,188056,-30108.0
2025-06-19,179264,-8792.0
2025-06-20,135528,-43736.0
2025-06-23,102112,-33416.0
2025-06-24,89700,-12412.0
2025-06-25,85880,-3820.0
2025-06-26,94784,8904.0
2025-06-27,101384,6600.0
2025-06-30,103404,2020.0
2025-07-01,99092,-4312.0
2025-07-02,100388,1296.0
2025-07-03,96412,-3976.0
2025-07-04,89228,-7184.0
2025-07-07,86728,-2500.0
2025-07-08,76436,-10292.0
2025-07-09,85344,8908.0
2025-07-10,86916,1572.0
2025-07-11,93228,6312.0
2025-07-14,137516,44288.0
2025-07-15,200532,63016.0
2025-07-16,200968,436.0
2025-07-17,168556,-32412.0
2025-07-18,152956,-15600.0
2025-07-21,112708,-40248.0
2025-07-22,102028,-10680.0
2025-07-23,62140,-39888.0
2025-07-24,64732,2592.0
2025-07-25,64532,-200.0
2025-07-28,17832,
2025-07-29,18083,
2025-07-30,19973,1890.0
2025-07-31,19622,-351.0
2025-08-01,20349,727.0
2025-08-04,20348,
2025-08-05,18767,-1581.0
2025-08-06,20346,
2025-08-07,20145,-201.0
2025-08-08,21272,1127.0
2025-08-11,23275,2003.0
2025-08-12,26296,3021.0
2025-08-13,22800,-3496.0
2025-08-14,24434,1634.0
2025-08-15,24560,126.0
2025-08-18,25498,938.0
2025-08-19,25498,0.0
2025-08-20,25223,-275.0
2025-08-21,25157,-66.0
2025-08-22,24148,-1009.0
2025-08-25,23747,-401.0
2025-08-26,22917,-830.0
2025-08-27,21287,-1630.0
2025-08-28,21232,-55.0
2025-08-29,21412,180.0
2025-09-01,20200,-1212.0
2025-09-02,19501,-699.0
2025-09-03,19471,-30.0
2025-09-04,19829,358.0
2025-09-05,18927,-902.0
2025-09-08,18926,-1.0
2025-09-09,19081,155.0
2025-09-10,19126,45.0
2025-09-11,20028,902.0
2025-09-12,25560,5532.0
2025-09-15,30643,5083.0
2025-09-16,33692,3049.0
2025-09-17,33291,-401.0
2025-09-18,32469,-822.0
2025-09-19,31838,-631.0
2025-09-22,29893,
2025-09-23,27727,-2166.0
2025-09-24,27419,-308.0
2025-09-25,27662,243.0
2025-09-26,26557,-1105.0
2025-09-29,25603,-954.0
2025-09-30,26823,1220.0
2025-10-09,29703,2880.0
2025-10-10,29964,261.0
2025-10-13,32890,2926.0
2025-10-14,36295,3405.0
2025-10-15,44531,8236.0
2025-10-16,44406,-125.0
2025-10-17,42849,-1557.0
2025-10-20,41319,-1530.0
2025-10-21,37678,-3641.0
2025-10-22,36553,-1125.0
2025-10-23,36048,-505.0
2025-10-24,35071,-977.0
2025-10-27,35392,321.0
2025-10-28,35846,454.0
2025-10-29,35745,-101.0
2025-10-30,37437,1692.0
2025-10-31,39710,2273.0
2025-11-03,40066,356.0
2025-11-04,41147,1081.0
2025-11-05,42561,1414.0
2025-11-06,43893,1332.0
2025-11-07,43394,-499.0
2025-11-10,43789,395.0
2025-11-11,42964,-825.0
2025-11-12,44088,1124.0
2025-11-13,43957,-131.0
2025-11-14,49830,5873.0
2025-11-17,56965,7135.0
2025-11-18,60874,3909.0
2025-11-19,58352,-2522.0
2025-11-20,54983,-3369.0
2025-11-21,49790,-5193.0
2025-11-24,43816,-5974.0
2025-11-25,40965,-2851.0
2025-11-26,39825,-1140.0
2025-11-27,35873,-3952.0
2025-11-28,35244,-629.0
2025-12-01,31495,-3749.0
2025-12-02,30568,-927.0
2025-12-03,28969,-1599.0
2025-12-04,32139,3170.0
2025-12-05,30936,-1203.0
2025-12-08,29956,-980.0
2025-12-09,29531,-425.0
2025-12-10,28931,-600.0
2025-12-11,31461,2530.0
2025-12-12,32563,1102.0
2025-12-15,42226,9663.0
2025-12-16,45784,3558.0
2025-12-17,44877,-907.0
2025-12-18,44650,-227.0
2025-12-19,45739,1089.0
2025-12-22,48542,2803.0
2025-12-23,49543,1001.0
2025-12-24,52222,2679.0
2025-12-25,59083,6861.0
2025-12-26,58647,-436.0
2025-12-29,65878,7231.0
2025-12-30,71738,5860.0
2025-12-31,81775,10037.0
