date,receipt,change
2025-07-28,3400,
2025-07-29,3400,
2025-07-30,3400,0.0
2025-07-31,3600,200.0
2025-08-01,3600,0.0
2025-08-04,3600,
2025-08-05,3600,0.0
2025-08-06,3900,
2025-08-07,3900,0.0
2025-08-08,3900,0.0
2025-08-11,3400,-500.0
2025-08-12,3200,-200.0
2025-08-13,3600,400.0
2025-08-14,3400,-200.0
2025-08-15,3100,-300.0
2025-08-18,2600,-500.0
2025-08-19,2500,-100.0
2025-08-20,2000,-500.0
2025-08-21,2000,0.0
2025-08-22,2000,0.0
2025-08-25,2000,0.0
2025-08-26,2000,0.0
2025-08-27,2000,0.0
2025-08-28,1900,-100.0
2025-08-29,1900,0.0
2025-09-01,1900,0.0
2025-09-02,1900,0.0
2025-09-03,1900,0.0
2025-09-04,1900,0.0
2025-09-05,1900,0.0
2025-09-08,1900,0.0
2025-09-09,1900,0.0
2025-09-10,2000,100.0
2025-09-11,2000,0.0
2025-09-12,1900,-100.0
2025-09-15,1900,0.0
2025-09-16,1900,0.0
2025-09-17,1800,-100.0
2025-09-18,1700,-100.0
2025-09-19,1700,0.0
2025-09-22,2000,
2025-09-23,2000,0.0
2025-09-24,2000,0.0
2025-09-25,2000,0.0
2025-09-26,2000,0.0
2025-09-29,700,-1300.0
2025-09-30,0,-700.0
2025-10-09,500,500.0
2025-10-10,800,300.0
2025-10-13,800,0.0
2025-10-14,800,0.0
2025-10-15,700,-100.0
2025-10-16,700,0.0
2025-10-17,1400,700.0
2025-10-20,1200,-200.0
2025-10-21,1000,-200.0
2025-10-22,700,-300.0
2025-10-23,700,0.0
2025-10-24,700,0.0
2025-10-27,700,0.0
2025-10-28,700,0.0
2025-10-29,600,-100.0
2025-10-30,600,0.0
2025-10-31,600,0.0
2025-11-03,1000,400.0
2025-11-04,1000,0.0
2025-11-05,1000,0.0
2025-11-06,1000,0.0
2025-11-07,800,-200.0
2025-11-10,800,0.0
2025-11-11,800,0.0
2025-11-12,800,0.0
2025-11-13,900,100.0
2025-11-14,900,0.0
2025-11-17,900,0.0
2025-11-18,800,-100.0
2025-11-19,800,0.0
2025-11-20,800,0.0
2025-11-21,800,0.0
2025-11-24,800,0.0
2025-11-25,800,0.0
2025-11-26,800,0.0
2025-11-27,1300,500.0
2025-11-28,1300,0.0
2025-12-01,1300,0.0
2025-12-02,1300,0.0
2025-12-03,1300,0.0
2025-12-04,1300,0.0
2025-12-05,1300,0.0
2025-12-08,1800,500.0
2025-12-09,1800,0.0
2025-12-10,1800,0.0
2025-12-11,1800,0.0
2025-12-12,1500,-300.0
2025-12-15,1400,-100.0
2025-12-16,1400,0.0
2025-12-17,1400,0.0
2025-12-18,1300,-100.0
2025-12-19,1300,0.0
2025-12-22,1300,0.0
2025-12-23,1300,0.0
2025-12-24,1300,0.0
2025-12-25,1300,0.0
2025-12-26,1300,0.0
2025-12-29,1300,0.0
2025-12-30,1300,0.0
2025-12-31,1300,0.0
