date,receipt,change
2025-07-28,760,
2025-07-29,760,
2025-07-30,760,0.0
2025-07-31,760,0.0
2025-08-01,760,0.0
2025-08-04,760,
2025-08-05,760,0.0
2025-08-06,800,
2025-08-07,800,0.0
2025-08-08,800,0.0
2025-08-11,800,0.0
2025-08-12,800,0.0
2025-08-13,800,0.0
2025-08-14,820,20.0
2025-08-15,820,0.0
2025-08-18,820,0.0
2025-08-19,820,0.0
2025-08-20,820,0.0
2025-08-21,820,0.0
2025-08-22,820,0.0
2025-08-25,820,0.0
2025-08-26,820,0.0
2025-08-27,820,0.0
2025-08-28,820,0.0
2025-08-29,910,90.0
2025-09-01,970,60.0
2025-09-02,1060,90.0
2025-09-03,1070,10.0
2025-09-04,1070,0.0
2025-09-05,1210,140.0
2025-09-08,1210,0.0
2025-09-09,1310,100.0
2025-09-10,1430,120.0
2025-09-11,1520,90.0
2025-09-12,1520,0.0
2025-09-15,1520,0.0
2025-09-16,1550,30.0
2025-09-17,1550,0.0
2025-09-18,1550,0.0
2025-09-19,1550,0.0
2025-09-22,1550,
2025-09-23,1540,-10.0
2025-09-24,1690,150.0
2025-09-25,1690,0.0
2025-09-26,1690,0.0
2025-09-29,1690,0.0
2025-09-30,2140,450.0
2025-10-09,2150,10.0
2025-10-10,2150,0.0
2025-10-13,2190,40.0
2025-10-14,2190,0.0
2025-10-15,2190,0.0
2025-10-16,2190,0.0
2025-10-17,2110,-80.0
2025-10-20,2050,-60.0
2025-10-21,2050,0.0
2025-10-22,2070,20.0
2025-10-23,2070,0.0
2025-10-24,2070,0.0
2025-10-27,2070,0.0
2025-10-28,2070,0.0
2025-10-29,2070,0.0
2025-10-30,2070,0.0
2025-10-31,2070,0.0
2025-11-03,2070,0.0
2025-11-04,2070,0.0
2025-11-05,2070,0.0
2025-11-06,2070,0.0
2025-11-07,2070,0.0
2025-11-10,2070,0.0
2025-11-11,2070,0.0
2025-11-12,2070,0.0
2025-11-13,2070,0.0
2025-11-14,2070,0.0
2025-11-17,2070,0.0
2025-11-18,2070,0.0
2025-11-19,2070,0.0
2025-11-20,2070,0.0
2025-11-21,2070,0.0
2025-11-24,2070,0.0
2025-11-25,2070,0.0
2025-11-26,2070,0.0
2025-11-27,2070,0.0
2025-11-28,2070,0.0
2025-12-01,2070,0.0
2025-12-02,2070,0.0
2025-12-03,2070,0.0
2025-12-04,2070,0.0
2025-12-05,2070,0.0
2025-12-08,2070,0.0
2025-12-09,2070,0.0
2025-12-10,2070,0.0
2025-12-11,2070,0.0
2025-12-12,2070,0.0
2025-12-15,2070,0.0
2025-12-16,2070,0.0
2025-12-17,2070,0.0
2025-12-18,2070,0.0
2025-12-19,2070,0.0
2025-12-22,2070,0.0
2025-12-23,2070,0.0
2025-12-24,2070,0.0
2025-12-25,2070,0.0
2025-12-26,2070,0.0
2025-12-29,2180,110.0
2025-12-30,2180,0.0
2025-12-31,2180,0.0
