date,receipt,change
2025-07-29,3,
2025-07-30,3,0.0
2025-07-31,0,-3.0
2025-08-01,22,22.0
2025-08-04,25,
2025-08-05,8,
2025-08-06,13,5.0
2025-08-07,17,4.0
2025-08-08,6,-11.0
2025-08-11,2,-4.0
2025-08-12,0,-2.0
2025-08-14,3,
2025-08-15,3,0.0
2025-08-18,0,-3.0
2025-09-25,26,26.0
2025-09-26,26,0.0
2025-09-29,26,0.0
2025-09-30,0,-26.0
2025-10-09,60,60.0
2025-10-10,73,13.0
2025-10-13,13,-60.0
2025-10-14,28,15.0
2025-10-15,15,-13.0
2025-10-16,15,0.0
2025-10-17,30,15.0
2025-10-20,15,-15.0
2025-10-21,15,0.0
2025-10-22,0,-15.0
2025-10-24,20,20.0
2025-10-27,20,0.0
2025-10-28,38,18.0
2025-10-29,38,0.0
2025-10-30,38,0.0
2025-10-31,0,-38.0
2025-11-05,5,5.0
2025-11-06,8,3.0
2025-11-07,6,-2.0
2025-11-10,19,13.0
2025-11-11,35,16.0
2025-11-12,29,-6.0
2025-11-13,0,-29.0
