date,receipt,change
2025-08-11,100,
2025-08-12,800,700.0
2025-08-13,800,0.0
2025-08-14,800,0.0
2025-08-15,0,-800.0
2025-09-01,300,300.0
2025-09-02,900,600.0
2025-09-03,1700,800.0
2025-09-04,1900,200.0
2025-09-05,1500,-400.0
2025-09-08,2000,500.0
2025-09-09,1500,-500.0
2025-09-10,1300,-200.0
2025-09-11,500,-800.0
2025-09-12,500,0.0
2025-09-15,600,100.0
2025-09-16,600,0.0
2025-09-17,600,0.0
2025-09-18,200,-400.0
2025-09-19,100,-100.0
2025-09-22,0,
2025-10-10,200,200.0
2025-10-13,200,0.0
2025-10-14,200,0.0
2025-10-15,200,0.0
2025-10-16,200,0.0
2025-10-17,200,0.0
2025-10-20,200,0.0
2025-10-21,200,0.0
2025-10-22,200,0.0
2025-10-23,100,-100.0
2025-10-24,100,0.0
2025-10-27,100,0.0
2025-10-28,0,-100.0
2025-11-03,500,500.0
2025-11-04,900,400.0
2025-11-05,900,0.0
2025-11-06,400,-500.0
2025-11-07,100,-300.0
2025-11-10,200,100.0
2025-11-11,200,0.0
2025-11-12,200,0.0
2025-11-13,100,-100.0
2025-11-14,100,0.0
2025-11-17,400,300.0
2025-11-18,300,-100.0
2025-11-19,300,0.0
2025-11-20,0,-300.0
2025-12-01,600,600.0
2025-12-02,600,0.0
2025-12-03,600,0.0
2025-12-04,0,-600.0
2025-12-08,300,300.0
2025-12-09,300,0.0
2025-12-10,300,0.0
2025-12-11,0,-300.0
2025-12-12,100,100.0
2025-12-15,300,200.0
2025-12-16,200,-100.0
2025-12-17,200,0.0
2025-12-18,0,-200.0
2025-12-29,600,600.0
2025-12-30,600,0.0
2025-12-31,400,-200.0
