date,receipt,change
2025-07-28,5816,
2025-07-29,5816,
2025-07-30,5816,0.0
2025-07-31,5816,0.0
2025-08-01,5816,0.0
2025-08-04,5816,
2025-08-05,5816,0.0
2025-08-06,5882,
2025-08-07,5882,0.0
2025-08-08,5882,0.0
2025-08-11,6282,400.0
2025-08-12,6302,20.0
2025-08-13,6988,686.0
2025-08-14,7345,357.0
2025-08-15,7345,0.0
2025-08-18,7345,0.0
2025-08-19,7724,379.0
2025-08-20,7684,-40.0
2025-08-21,7684,0.0
2025-08-22,7684,0.0
2025-08-25,7684,0.0
2025-08-26,7669,-15.0
2025-08-27,7669,0.0
2025-08-28,7669,0.0
2025-08-29,8067,398.0
2025-09-01,8067,0.0
2025-09-02,8263,196.0
2025-09-03,8263,0.0
2025-09-04,8263,0.0
2025-09-05,8263,0.0
2025-09-08,8263,0.0
2025-09-09,8411,148.0
2025-09-10,9298,887.0
2025-09-11,11993,2695.0
2025-09-12,12525,532.0
2025-09-15,12736,211.0
2025-09-16,12736,0.0
2025-09-17,12736,0.0
2025-09-18,12736,0.0
2025-09-19,12736,0.0
2025-09-22,12736,
2025-09-23,12736,0.0
2025-09-24,12736,0.0
2025-09-25,12736,0.0
2025-09-26,12736,0.0
2025-09-29,12736,0.0
2025-09-30,12736,0.0
2025-10-09,12729,-7.0
2025-10-10,12795,66.0
2025-10-13,12729,-66.0
2025-10-14,12717,-12.0
2025-10-15,12707,-10.0
2025-10-16,12707,0.0
2025-10-17,12685,-22.0
2025-10-20,12675,-10.0
2025-10-21,12970,295.0
2025-10-22,12964,-6.0
2025-10-23,12958,-6.0
2025-10-24,12958,0.0
2025-10-27,12958,0.0
2025-10-28,12745,-213.0
2025-10-29,12745,0.0
2025-10-30,12745,0.0
2025-10-31,12706,-39.0
2025-11-03,12675,-31.0
2025-11-04,12675,0.0
2025-11-05,12669,-6.0
2025-11-06,12669,0.0
2025-11-07,12669,0.0
2025-11-10,12135,-534.0
2025-11-11,12073,-62.0
2025-11-12,12067,-6.0
2025-11-13,12067,0.0
2025-11-14,12067,0.0
2025-11-17,12017,-50.0
2025-11-18,12017,0.0
2025-11-19,12017,0.0
2025-11-20,12017,0.0
2025-11-21,11835,-182.0
2025-11-24,11721,-114.0
2025-11-25,11701,-20.0
2025-11-26,11701,0.0
2025-11-27,11701,0.0
2025-11-28,11546,-155.0
2025-12-01,11481,-65.0
2025-12-02,11331,-150.0
2025-12-03,11332,1.0
2025-12-04,11332,0.0
2025-12-05,11332,0.0
2025-12-08,11332,0.0
2025-12-09,11332,0.0
2025-12-10,11332,0.0
2025-12-11,11332,0.0
2025-12-12,11332,0.0
2025-12-15,11332,0.0
2025-12-16,11332,0.0
2025-12-17,11332,0.0
2025-12-18,11332,0.0
2025-12-19,11332,0.0
2025-12-22,11298,-34.0
2025-12-23,11265,-33.0
2025-12-24,11265,0.0
2025-12-25,11265,0.0
2025-12-26,11265,0.0
2025-12-29,11353,88.0
2025-12-30,11353,0.0
2025-12-31,11353,0.0
