date,receipt,change
2025-06-03,75000,-6000.0
2025-06-04,75000,0.0
2025-06-05,3000,-72000.0
2025-06-06,3000,0.0
2025-06-09,3000,0.0
2025-06-10,3000,0.0
2025-06-11,0,-3000.0
2025-06-12,0,0.0
2025-06-13,0,0.0
2025-06-16,0,0.0
2025-06-17,0,0.0
2025-06-18,0,0.0
2025-06-19,0,0.0
2025-06-20,0,0.0
2025-06-23,0,0.0
2025-06-24,0,0.0
2025-06-25,0,0.0
2025-06-26,0,0.0
2025-06-27,0,0.0
2025-06-30,45000,45000.0
2025-07-01,45000,0.0
2025-07-02,45000,0.0
2025-07-03,39270,-5730.0
2025-07-04,39270,0.0
2025-07-07,39270,0.0
2025-07-08,270,-39000.0
2025-07-09,270,0.0
2025-07-10,270,0.0
2025-07-11,270,0.0
2025-07-14,270,0.0
2025-07-15,270,0.0
2025-07-16,270,0.0
2025-07-17,270,0.0
2025-07-18,270,0.0
2025-07-21,270,0.0
2025-07-22,270,0.0
2025-07-23,270,0.0
2025-07-24,270,0.0
2025-07-25,270,0.0
2025-07-28,90,
2025-07-29,90,
2025-07-30,40050,39960.0
2025-07-31,40050,0.0
2025-08-01,40050,0.0
2025-08-04,40050,
2025-08-05,40050,0.0
2025-08-06,40050,
2025-08-07,26050,-14000.0
2025-08-08,26050,0.0
2025-08-11,21050,-5000.0
2025-08-12,21050,0.0
2025-08-13,21050,0.0
2025-08-14,16080,-4970.0
2025-08-15,16080,0.0
2025-08-18,11110,-4970.0
2025-08-19,11110,0.0
2025-08-20,11110,0.0
2025-08-21,11110,0.0
2025-08-22,11110,0.0
2025-08-25,11110,0.0
2025-08-26,11110,0.0
2025-08-27,35110,24000.0
2025-08-28,35110,0.0
2025-08-29,35110,0.0
2025-09-01,35110,0.0
2025-09-02,35110,0.0
2025-09-03,35110,0.0
2025-09-04,34500,-610.0
2025-09-05,19500,-15000.0
2025-09-08,19500,0.0
2025-09-09,10020,-9480.0
2025-09-10,10020,0.0
2025-09-11,10020,0.0
2025-09-12,10020,0.0
2025-09-15,10020,0.0
2025-09-16,10020,0.0
2025-09-17,10020,0.0
2025-09-18,10020,0.0
2025-09-19,10020,0.0
2025-09-22,10020,
2025-09-23,10020,0.0
2025-09-24,10020,0.0
2025-09-25,10020,0.0
2025-09-26,10020,0.0
2025-09-29,15020,5000.0
2025-09-30,15020,0.0
2025-10-09,13080,-1940.0
2025-10-10,13080,0.0
2025-10-13,13080,0.0
2025-10-14,13080,0.0
2025-10-15,13080,0.0
2025-10-16,7960,-5120.0
2025-10-17,4960,-3000.0
2025-10-20,4960,0.0
2025-10-21,4960,0.0
2025-10-22,4960,0.0
2025-10-23,4960,0.0
2025-10-24,4960,0.0
2025-10-27,4960,0.0
2025-10-28,4960,0.0
2025-10-29,4960,0.0
2025-10-30,47360,42400.0
2025-10-31,47360,0.0
2025-11-03,45730,-1630.0
2025-11-04,45730,0.0
2025-11-05,34730,-11000.0
2025-11-06,34730,0.0
2025-11-07,32730,-2000.0
2025-11-10,32730,0.0
2025-11-11,32730,0.0
2025-11-12,32730,0.0
2025-11-13,30730,-2000.0
2025-11-14,30730,0.0
2025-11-17,26880,-3850.0
2025-11-18,23880,-3000.0
2025-11-19,23880,0.0
2025-11-20,19510,-4370.0
2025-11-21,19510,0.0
2025-11-24,19510,0.0
2025-11-25,19510,0.0
2025-11-26,19510,0.0
2025-11-27,19510,0.0
2025-11-28,21810,2300.0
2025-12-01,21810,0.0
2025-12-02,19810,-2000.0
2025-12-03,19810,0.0
2025-12-04,19810,0.0
2025-12-05,370,-19440.0
2025-12-08,370,0.0
2025-12-09,40,-330.0
2025-12-10,40,0.0
2025-12-11,40,0.0
2025-12-12,40,0.0
2025-12-15,40,0.0
2025-12-16,20040,20000.0
2025-12-17,20040,0.0
2025-12-18,20040,0.0
2025-12-19,20040,0.0
2025-12-22,20040,0.0
2025-12-23,20040,0.0
2025-12-24,20040,0.0
2025-12-25,20040,0.0
2025-12-26,20040,0.0
2025-12-29,20040,0.0
2025-12-30,20040,0.0
2025-12-31,55230,35190.0
