date,receipt,change
2025-06-03,6400,0.0
2025-06-04,10400,3000.0
2025-06-05,18400,6000.0
2025-06-06,18400,0.0
2025-06-09,18400,0.0
2025-06-10,32480,10560.0
2025-06-11,36480,3000.0
2025-06-12,36480,0.0
2025-06-13,37236,567.0
2025-06-16,39036,1350.0
2025-06-17,39036,0.0
2025-06-18,39036,0.0
2025-06-19,31820,-5412.0
2025-06-20,31700,-90.0
2025-06-23,31468,-174.0
2025-06-24,31468,0.0
2025-06-25,31468,0.0
2025-06-26,31468,0.0
2025-06-27,32068,450.0
2025-06-30,31540,-396.0
2025-07-01,31540,0.0
2025-07-02,31540,0.0
2025-07-03,31540,0.0
2025-07-04,34620,2310.0
2025-07-07,34500,-90.0
2025-07-08,34880,285.0
2025-07-09,34880,0.0
2025-07-10,34880,0.0
2025-07-11,34760,-90.0
2025-07-14,34112,-486.0
2025-07-15,37004,2169.0
2025-07-16,35724,-960.0
2025-07-17,35144,-435.0
2025-07-18,34176,-726.0
2025-07-21,41376,5400.0
2025-07-22,41376,0.0
2025-07-23,40736,-480.0
2025-07-24,40536,-150.0
2025-07-25,40536,0.0
2025-07-28,10054,
2025-07-29,9834,
2025-07-30,8834,-1000.0
2025-07-31,8716,-118.0
2025-08-01,8546,-170.0
2025-08-04,8546,
2025-08-05,8546,0.0
2025-08-06,8748,
2025-08-07,8688,-60.0
2025-08-08,8688,0.0
2025-08-11,10088,1400.0
2025-08-12,11168,1080.0
2025-08-13,11168,0.0
2025-08-14,11168,0.0
2025-08-15,10968,-200.0
2025-08-18,10968,0.0
2025-08-19,10766,-202.0
2025-08-20,10766,0.0
2025-08-21,10766,0.0
2025-08-22,10666,-100.0
2025-08-25,10566,-100.0
2025-08-26,10466,-100.0
2025-08-27,10366,-100.0
2025-08-28,10266,-100.0
2025-08-29,9746,-520.0
2025-09-01,9516,-230.0
2025-09-02,9516,0.0
2025-09-03,10036,520.0
2025-09-04,10036,0.0
2025-09-05,10036,0.0
2025-09-08,10036,0.0
2025-09-09,13536,3500.0
2025-09-10,14519,983.0
2025-09-11,14979,460.0
2025-09-12,16131,1152.0
2025-09-15,16131,0.0
2025-09-16,16131,0.0
2025-09-17,10781,-5350.0
2025-09-18,10207,-574.0
2025-09-19,9892,-315.0
2025-09-22,8922,
2025-09-23,8922,0.0
2025-09-24,11332,2410.0
2025-09-25,11332,0.0
2025-09-26,11332,0.0
2025-09-29,10832,-500.0
2025-09-30,11862,1030.0
2025-10-09,11862,0.0
2025-10-10,11382,-480.0
2025-10-13,11282,-100.0
2025-10-14,11282,0.0
2025-10-15,11282,0.0
2025-10-16,11282,0.0
2025-10-17,11282,0.0
2025-10-20,14902,3620.0
2025-10-21,14092,-810.0
2025-10-22,14092,0.0
2025-10-23,14092,0.0
2025-10-24,14092,0.0
2025-10-27,13922,-170.0
2025-10-28,13872,-50.0
2025-10-29,12122,-1750.0
2025-10-30,11997,-125.0
2025-10-31,11837,-160.0
2025-11-03,11607,-230.0
2025-11-04,11447,-160.0
2025-11-05,11159,-288.0
2025-11-06,10854,-305.0
2025-11-07,10914,60.0
2025-11-10,10790,-124.0
2025-11-11,10960,170.0
2025-11-12,10819,-141.0
2025-11-13,11709,890.0
2025-11-14,11579,-130.0
2025-11-17,11219,-360.0
2025-11-18,11052,-167.0
2025-11-19,7165,-3887.0
2025-11-20,6581,-584.0
2025-11-21,0,-6581.0
2025-11-24,2400,2400.0
2025-11-25,2400,0.0
2025-11-26,3800,1400.0
2025-11-27,3800,0.0
2025-11-28,3800,0.0
2025-12-01,3800,0.0
2025-12-02,3800,0.0
2025-12-03,5800,2000.0
2025-12-04,5700,-100.0
2025-12-05,7576,1876.0
2025-12-08,8722,1146.0
2025-12-09,8722,0.0
2025-12-10,8722,0.0
2025-12-11,8723,1.0
2025-12-12,8623,-100.0
2025-12-15,8623,0.0
2025-12-16,8435,-188.0
2025-12-17,7709,-726.0
2025-12-18,6789,-920.0
2025-12-19,6789,0.0
2025-12-22,6748,-41.0
2025-12-23,6748,0.0
2025-12-24,6748,0.0
2025-12-25,6748,0.0
2025-12-26,6748,0.0
2025-12-29,6648,-100.0
2025-12-30,6648,0.0
2025-12-31,6648,0.0
