date,receipt,change
2025-06-03,97089,2790.0
2025-06-04,99853,2764.0
2025-06-05,99853,0.0
2025-06-06,100055,202.0
2025-06-09,100055,0.0
2025-06-10,100853,798.0
2025-06-11,101651,798.0
2025-06-12,104855,3204.0
2025-06-13,105851,996.0
2025-06-16,109021,3170.0
2025-06-17,109021,0.0
2025-06-18,105875,-3146.0
2025-06-19,104623,-1252.0
2025-06-20,104821,198.0
2025-06-23,104621,-200.0
2025-06-24,105581,960.0
2025-06-25,106435,854.0
2025-06-26,108695,2260.0
2025-06-27,109909,1214.0
2025-06-30,110715,806.0
2025-07-01,110917,202.0
2025-07-02,111017,100.0
2025-07-03,111017,0.0
2025-07-04,111017,0.0
2025-07-07,111767,750.0
2025-07-08,114464,2697.0
2025-07-09,120329,5865.0
2025-07-10,120379,50.0
2025-07-11,124915,4536.0
2025-07-14,130003,5088.0
2025-07-15,140216,10213.0
2025-07-16,138852,-1364.0
2025-07-17,143248,4396.0
2025-07-18,142848,-400.0
2025-07-21,142773,-75.0
2025-07-22,142773,0.0
2025-07-23,143173,400.0
2025-07-24,142273,-900.0
2025-07-25,142273,0.0
2025-07-28,60932,
2025-07-29,60932,
2025-07-30,61934,1002.0
2025-07-31,62360,426.0
2025-08-01,59948,-2412.0
2025-08-04,59007,
2025-08-05,58656,-351.0
2025-08-06,58656,
2025-08-07,58656,0.0
2025-08-08,58482,-174.0
2025-08-11,58683,201.0
2025-08-12,59791,1108.0
2025-08-13,62535,2744.0
2025-08-14,61784,-751.0
2025-08-15,61784,0.0
2025-08-18,62225,441.0
2025-08-19,61353,-872.0
2025-08-20,60903,-450.0
2025-08-21,59422,-1481.0
2025-08-22,58946,-476.0
2025-08-25,58948,2.0
2025-08-26,58201,-747.0
2025-08-27,58275,74.0
2025-08-28,58151,-124.0
2025-08-29,57325,-826.0
2025-09-01,56801,-524.0
2025-09-02,56428,-373.0
2025-09-03,55874,-554.0
2025-09-04,55044,-830.0
2025-09-05,54090,-954.0
2025-09-08,53795,-295.0
2025-09-09,53820,25.0
2025-09-10,53689,-131.0
2025-09-11,59737,6048.0
2025-09-12,59485,-252.0
2025-09-15,59417,-68.0
2025-09-16,59417,0.0
2025-09-17,59218,-199.0
2025-09-18,49375,-9843.0
2025-09-19,47289,-2086.0
2025-09-22,44357,
2025-09-23,41610,-2747.0
2025-09-24,38160,-3450.0
2025-09-25,35584,-2576.0
2025-09-26,34764,-820.0
2025-09-29,31946,-2818.0
2025-09-30,29568,-2378.0
2025-10-09,30068,500.0
2025-10-10,30068,0.0
2025-10-13,29569,-499.0
2025-10-14,30705,1136.0
2025-10-15,32007,1302.0
2025-10-16,32007,0.0
2025-10-17,32082,75.0
2025-10-20,29265,-2817.0
2025-10-21,28133,-1132.0
2025-10-22,24977,-3156.0
2025-10-23,23734,-1243.0
2025-10-24,23048,-686.0
2025-10-27,23048,0.0
2025-10-28,23097,49.0
2025-10-29,22997,-100.0
2025-10-30,21645,-1352.0
2025-10-31,21645,0.0
2025-11-03,21645,0.0
2025-11-04,21645,0.0
2025-11-05,21704,59.0
2025-11-06,21903,199.0
2025-11-07,21903,0.0
2025-11-10,23195,1292.0
2025-11-11,23769,574.0
2025-11-12,24686,917.0
2025-11-13,25824,1138.0
2025-11-14,31027,5203.0
2025-11-17,32965,1938.0
2025-11-18,32690,-275.0
2025-11-19,31206,-1484.0
2025-11-20,30556,-650.0
2025-11-21,29955,-601.0
2025-11-24,29556,-399.0
2025-11-25,28654,-902.0
2025-11-26,28654,0.0
2025-11-27,27495,-1159.0
2025-11-28,26260,-1235.0
2025-12-01,20019,-6241.0
2025-12-02,18131,-1888.0
2025-12-03,16629,-1502.0
2025-12-04,16553,-76.0
2025-12-05,16078,-475.0
2025-12-08,15531,-547.0
2025-12-09,15631,100.0
2025-12-10,15429,-202.0
2025-12-11,17711,2282.0
2025-12-12,16694,-1017.0
2025-12-15,15328,-1366.0
2025-12-16,15228,-100.0
2025-12-17,15203,-25.0
2025-12-18,15029,-174.0
2025-12-19,14187,-842.0
2025-12-22,13838,-349.0
2025-12-23,12509,-1329.0
2025-12-24,12357,-152.0
2025-12-25,11457,-900.0
2025-12-26,11558,101.0
2025-12-29,11583,25.0
2025-12-30,13111,1528.0
2025-12-31,13336,225.0
