date,receipt,change
2025-06-03,50553,-307.0
2025-06-04,50373,-180.0
2025-06-05,50247,-126.0
2025-06-06,50123,-124.0
2025-06-09,49881,-242.0
2025-06-10,49096,-785.0
2025-06-11,48633,-463.0
2025-06-12,48451,-182.0
2025-06-13,48331,-120.0
2025-06-16,48185,-146.0
2025-06-17,47655,-530.0
2025-06-18,47582,-73.0
2025-06-19,47572,-10.0
2025-06-20,47512,-60.0
2025-06-23,47225,-287.0
2025-06-24,45349,-1876.0
2025-06-25,44008,-1341.0
2025-06-26,41753,-2255.0
2025-06-27,39931,-1822.0
2025-06-30,38587,-1344.0
2025-07-01,37925,-662.0
2025-07-02,37268,-657.0
2025-07-03,30720,-6548.0
2025-07-04,29640,-1080.0
2025-07-07,27652,-1988.0
2025-07-08,26944,-708.0
2025-07-09,26672,-272.0
2025-07-10,25426,-1246.0
2025-07-11,22466,-2960.0
2025-07-14,20298,-2168.0
2025-07-15,15538,-4760.0
2025-07-16,13188,-2350.0
2025-07-17,648,-12540.0
2025-07-18,434,-214.0
2025-07-21,0,-434.0
2025-07-22,0,0.0
2025-07-23,0,0.0
2025-07-24,0,0.0
2025-07-25,0,0.0
2025-07-28,0,
2025-07-29,0,
2025-07-30,0,0.0
2025-07-31,1200,1200.0
2025-08-01,1200,0.0
2025-08-04,1200,
2025-08-05,1200,0.0
2025-08-06,1200,
2025-08-07,3953,2753.0
2025-08-08,9063,5110.0
2025-08-11,9821,758.0
2025-08-12,9821,0.0
2025-08-13,9821,0.0
2025-08-14,9821,0.0
2025-08-15,9821,0.0
2025-08-18,9821,0.0
2025-08-19,8721,-1100.0
2025-08-20,8633,-88.0
2025-08-21,8586,-47.0
2025-08-22,8253,-333.0
2025-08-25,8066,-187.0
2025-08-26,7987,-79.0
2025-08-27,7710,-277.0
2025-08-28,7314,-396.0
2025-08-29,6410,-904.0
2025-09-01,6041,-369.0
2025-09-02,6041,0.0
2025-09-03,5041,-1000.0
2025-09-04,4831,-210.0
2025-09-05,6761,1930.0
2025-09-08,10403,3642.0
2025-09-09,11343,940.0
2025-09-10,10383,-960.0
2025-09-11,10383,0.0
2025-09-12,10383,0.0
2025-09-15,10214,-169.0
2025-09-16,10214,0.0
2025-09-17,10104,-110.0
2025-09-18,9504,-600.0
2025-09-19,9248,-256.0
2025-09-22,9248,
2025-09-23,9245,-3.0
2025-09-24,9245,0.0
2025-09-25,9245,0.0
2025-09-26,9245,0.0
2025-09-29,9245,0.0
2025-09-30,9199,-46.0
2025-10-09,9199,0.0
2025-10-10,9199,0.0
2025-10-13,9089,-110.0
2025-10-14,9089,0.0
2025-10-15,9089,0.0
2025-10-16,8699,-390.0
2025-10-17,7702,-997.0
2025-10-20,7702,0.0
2025-10-21,7702,0.0
2025-10-22,4702,-3000.0
2025-10-23,4702,0.0
2025-10-24,4260,-442.0
2025-10-27,4050,-210.0
2025-10-28,4050,0.0
2025-10-29,3915,-135.0
2025-10-30,3915,0.0
2025-10-31,2955,-960.0
2025-11-03,2955,0.0
2025-11-04,2955,0.0
2025-11-05,2955,0.0
2025-11-06,2755,-200.0
2025-11-07,2745,-10.0
2025-11-10,2745,0.0
2025-11-11,2745,0.0
2025-11-12,2745,0.0
2025-11-13,2745,0.0
2025-11-14,2745,0.0
2025-11-17,2745,0.0
2025-11-18,2745,0.0
2025-11-19,2000,-745.0
2025-11-20,2000,0.0
2025-11-21,0,-2000.0
2025-11-24,0,0.0
2025-11-25,0,0.0
2025-11-26,0,0.0
2025-11-27,0,0.0
2025-11-28,0,0.0
2025-12-01,0,0.0
2025-12-02,0,0.0
2025-12-03,0,0.0
2025-12-04,0,0.0
2025-12-05,0,0.0
2025-12-08,0,0.0
2025-12-09,0,0.0
2025-12-10,0,0.0
2025-12-11,0,0.0
2025-12-12,0,0.0
2025-12-15,0,0.0
2025-12-16,0,0.0
2025-12-17,0,0.0
2025-12-18,0,0.0
2025-12-19,0,0.0
2025-12-22,0,0.0
2025-12-23,0,0.0
2025-12-24,0,0.0
2025-12-25,0,0.0
2025-12-26,0,0.0
2025-12-29,0,0.0
2025-12-30,0,0.0
2025-12-31,0,0.0
