date,receipt,change
2025-06-03,2062,0.0
2025-06-04,4218,2156.0
2025-06-05,4360,142.0
2025-06-06,5151,791.0
2025-06-09,7794,2643.0
2025-06-10,7595,-199.0
2025-06-11,7595,0.0
2025-06-12,10242,2647.0
2025-06-13,8798,-1444.0
2025-06-16,8721,-77.0
2025-06-17,8371,-350.0
2025-06-18,8264,-107.0
2025-06-19,4667,-3597.0
2025-06-20,4267,-400.0
2025-06-23,3967,-300.0
2025-06-24,3702,-265.0
2025-06-25,3697,-5.0
2025-06-26,3795,98.0
2025-06-27,3764,-31.0
2025-06-30,3760,-4.0
2025-07-01,3713,-47.0
2025-07-02,3679,-34.0
2025-07-03,3674,-5.0
2025-07-04,4340,666.0
2025-07-07,4271,-69.0
2025-07-08,4049,-222.0
2025-07-09,3752,-297.0
2025-07-10,3497,-255.0
2025-07-11,3464,-33.0
2025-07-14,3394,-70.0
2025-07-15,3194,-200.0
2025-07-16,2815,-379.0
2025-07-17,317,-2498.0
2025-07-18,290,-27.0
2025-07-21,0,-290.0
2025-07-22,236,236.0
2025-07-23,906,670.0
2025-07-24,906,0.0
2025-07-25,1005,99.0
2025-07-28,955,
2025-07-29,1355,
2025-07-30,1500,145.0
2025-07-31,2322,822.0
2025-08-01,2790,468.0
2025-08-04,2790,
2025-08-05,2812,22.0
2025-08-06,2812,
2025-08-07,3310,498.0
2025-08-08,7715,4405.0
2025-08-11,7715,0.0
2025-08-12,9275,1560.0
2025-08-13,9275,0.0
2025-08-14,10192,917.0
2025-08-15,10192,0.0
2025-08-18,10192,0.0
2025-08-19,11020,828.0
2025-08-20,10254,-766.0
2025-08-21,9073,-1181.0
2025-08-22,9064,-9.0
2025-08-25,9313,249.0
2025-08-26,9178,-135.0
2025-08-27,6235,-2943.0
2025-08-28,6180,-55.0
2025-08-29,5697,-483.0
2025-09-01,5432,-265.0
2025-09-02,5082,-350.0
2025-09-03,5232,150.0
2025-09-04,4934,-298.0
2025-09-05,8184,3250.0
2025-09-08,8199,15.0
2025-09-09,7759,-440.0
2025-09-10,7451,-308.0
2025-09-11,7357,-94.0
2025-09-12,6916,-441.0
2025-09-15,6250,-666.0
2025-09-16,5672,-578.0
2025-09-17,35,-5637.0
2025-09-18,35,0.0
2025-09-19,0,-35.0
2025-09-22,2154,
2025-09-23,2129,-25.0
2025-09-24,3727,1598.0
2025-09-25,4317,590.0
2025-09-26,5752,1435.0
2025-09-29,6352,600.0
2025-09-30,7333,981.0
2025-10-09,7108,-225.0
2025-10-10,7053,-55.0
2025-10-13,7565,512.0
2025-10-14,7882,317.0
2025-10-15,7856,-26.0
2025-10-16,9283,1427.0
2025-10-17,10773,1490.0
2025-10-20,10768,-5.0
2025-10-21,10202,-566.0
2025-10-22,9984,-218.0
2025-10-23,9934,-50.0
2025-10-24,9934,0.0
2025-10-27,8745,-1189.0
2025-10-28,8745,0.0
2025-10-29,8945,200.0
2025-10-30,8875,-70.0
2025-10-31,8551,-324.0
2025-11-03,10666,2115.0
2025-11-04,9908,-758.0
2025-11-05,9618,-290.0
2025-11-06,9318,-300.0
2025-11-07,8314,-1004.0
2025-11-10,7367,-947.0
2025-11-11,6999,-368.0
2025-11-12,6351,-648.0
2025-11-13,5804,-547.0
2025-11-14,5454,-350.0
2025-11-17,4993,-461.0
2025-11-18,4993,0.0
2025-11-19,0,-4993.0
2025-11-20,0,0.0
2025-11-21,0,0.0
2025-11-24,2518,2518.0
2025-11-25,3652,1134.0
2025-11-26,4710,1058.0
2025-11-27,5586,876.0
2025-11-28,5579,-7.0
2025-12-01,5529,-50.0
2025-12-02,6029,500.0
2025-12-03,6276,247.0
2025-12-04,7535,1259.0
2025-12-05,6441,-1094.0
2025-12-08,4746,-1695.0
2025-12-09,7781,3035.0
2025-12-10,7057,-724.0
2025-12-11,7158,101.0
2025-12-12,5763,-1395.0
2025-12-15,4624,-1139.0
2025-12-16,4624,0.0
2025-12-17,4332,-292.0
2025-12-18,4332,0.0
2025-12-19,4532,200.0
2025-12-22,4732,200.0
2025-12-23,4523,-209.0
2025-12-24,4473,-50.0
2025-12-25,4473,0.0
2025-12-26,4544,71.0
2025-12-29,4394,-150.0
2025-12-30,4444,50.0
2025-12-31,4896,452.0
