date,receipt,change
2025-06-03,16453,-300.0
2025-06-04,16211,-242.0
2025-06-05,15836,-375.0
2025-06-06,15576,-260.0
2025-06-09,15462,-114.0
2025-06-10,15415,-47.0
2025-06-11,15395,-20.0
2025-06-12,15255,-140.0
2025-06-13,15228,-27.0
2025-06-16,15193,-35.0
2025-06-17,15161,-32.0
2025-06-18,15101,-60.0
2025-06-19,13832,-1269.0
2025-06-20,12535,-1297.0
2025-06-23,0,-12535.0
2025-06-24,0,0.0
2025-06-25,6415,6415.0
2025-06-26,6976,561.0
2025-06-27,6976,0.0
2025-06-30,8322,1346.0
2025-07-01,9109,787.0
2025-07-02,9509,400.0
2025-07-03,9678,169.0
2025-07-04,12277,2599.0
2025-07-07,12587,310.0
2025-07-08,12827,240.0
2025-07-09,12827,0.0
2025-07-10,17855,5028.0
2025-07-11,20519,2664.0
2025-07-14,21950,1431.0
2025-07-15,21950,0.0
2025-07-16,21950,0.0
2025-07-17,21950,0.0
2025-07-18,21950,0.0
2025-07-21,22150,200.0
2025-07-22,22150,0.0
2025-07-23,22150,0.0
2025-07-24,22124,-26.0
2025-07-25,22124,0.0
2025-07-28,22096,
2025-07-29,22009,
2025-07-30,22003,-6.0
2025-07-31,22051,48.0
2025-08-01,22042,-9.0
2025-08-04,21930,
2025-08-05,21930,0.0
2025-08-06,21890,
2025-08-07,19913,-1977.0
2025-08-08,19646,-267.0
2025-08-11,19619,-27.0
2025-08-12,19998,379.0
2025-08-13,20603,605.0
2025-08-14,20976,373.0
2025-08-15,20916,-60.0
2025-08-18,20716,-200.0
2025-08-19,20766,50.0
2025-08-20,20597,-169.0
2025-08-21,20202,-395.0
2025-08-22,20474,272.0
2025-08-25,20234,-240.0
2025-08-26,19622,-612.0
2025-08-27,19326,-296.0
2025-08-28,19201,-125.0
2025-08-29,19833,632.0
2025-09-01,19331,-502.0
2025-09-02,18972,-359.0
2025-09-03,18882,-90.0
2025-09-04,19035,153.0
2025-09-05,18309,-726.0
2025-09-08,17792,-517.0
2025-09-09,17330,-462.0
2025-09-10,17330,0.0
2025-09-11,16745,-585.0
2025-09-12,16465,-280.0
2025-09-15,16317,-148.0
2025-09-16,17037,720.0
2025-09-17,17857,820.0
2025-09-18,17757,-100.0
2025-09-19,17628,-129.0
2025-09-22,17475,
2025-09-23,17232,-243.0
2025-09-24,17779,547.0
2025-09-25,17710,-69.0
2025-09-26,17373,-337.0
2025-09-29,17031,-342.0
2025-09-30,16689,-342.0
2025-10-09,16304,-385.0
2025-10-10,15040,-1264.0
2025-10-13,14036,-1004.0
2025-10-14,13665,-371.0
2025-10-15,13137,-528.0
2025-10-16,12611,-526.0
2025-10-17,12205,-406.0
2025-10-20,12103,-102.0
2025-10-21,11400,-703.0
2025-10-22,11011,-389.0
2025-10-23,11184,173.0
2025-10-24,11163,-21.0
2025-10-27,10715,-448.0
2025-10-28,8675,-2040.0
2025-10-29,0,-8675.0
2025-10-30,2624,2624.0
2025-10-31,4471,1847.0
2025-11-03,4509,38.0
2025-11-04,5182,673.0
2025-11-05,5570,388.0
2025-11-06,5503,-67.0
2025-11-07,5699,196.0
2025-11-10,7197,1498.0
2025-11-11,7302,105.0
2025-11-12,7446,144.0
2025-11-13,8450,1004.0
2025-11-14,8450,0.0
2025-11-17,8443,-7.0
2025-11-18,8443,0.0
2025-11-19,8396,-47.0
2025-11-20,8354,-42.0
2025-11-21,8276,-78.0
2025-11-24,9039,763.0
2025-11-25,10841,1802.0
2025-11-26,10973,132.0
2025-11-27,10810,-163.0
2025-11-28,10907,97.0
2025-12-01,11387,480.0
2025-12-02,11316,-71.0
2025-12-03,11255,-61.0
2025-12-04,13235,1980.0
2025-12-05,13588,353.0
2025-12-08,13368,-220.0
2025-12-09,13327,-41.0
2025-12-10,13320,-7.0
2025-12-11,13243,-77.0
2025-12-12,13082,-161.0
2025-12-15,13076,-6.0
2025-12-16,13068,-8.0
2025-12-17,12972,-96.0
2025-12-18,12848,-124.0
2025-12-19,12779,-69.0
2025-12-22,12758,-21.0
2025-12-23,12091,-667.0
2025-12-24,11950,-141.0
2025-12-25,11889,-61.0
2025-12-26,11882,-7.0
2025-12-29,11760,-122.0
2025-12-30,11683,-77.0
2025-12-31,11491,-192.0
