date,receipt,change
2025-06-03,62690,0.0
2025-06-04,61803,12.0
2025-06-05,61309,0.0
2025-06-06,60573,0.0
2025-06-09,60179,0.0
2025-06-10,59252,24.0
2025-06-11,58674,0.0
2025-06-12,58372,24.0
2025-06-13,57920,0.0
2025-06-16,56823,0.0
2025-06-17,56068,0.0
2025-06-18,55620,0.0
2025-06-19,55179,96.0
2025-06-20,54623,0.0
2025-06-23,54184,0.0
2025-06-24,53570,108.0
2025-06-25,53263,0.0
2025-06-26,53234,0.0
2025-06-27,52744,0.0
2025-06-30,52473,24.0
2025-07-01,52137,0.0
2025-07-02,51916,0.0
2025-07-03,51854,0.0
2025-07-04,51701,60.0
2025-07-07,51349,0.0
2025-07-08,51077,0.0
2025-07-09,50792,0.0
2025-07-10,50544,0.0
2025-07-11,50229,0.0
2025-07-14,50090,0.0
2025-07-15,50258,504.0
2025-07-16,50215,0.0
2025-07-17,50357,204.0
2025-07-18,50393,156.0
2025-07-21,50141,0.0
2025-07-22,50053,0.0
2025-07-23,50106,96.0
2025-07-24,49776,0.0
2025-07-25,49710,0.0
2025-07-28,50113,
2025-07-29,50082,
2025-07-30,49846,-236.0
2025-07-31,50644,798.0
2025-08-01,50516,-128.0
2025-08-04,50312,
2025-08-05,50806,494.0
2025-08-06,50580,
2025-08-07,50475,-105.0
2025-08-08,50340,-135.0
2025-08-11,50760,420.0
2025-08-12,50658,-102.0
2025-08-13,50701,43.0
2025-08-14,50693,-8.0
2025-08-15,50599,-94.0
2025-08-18,50710,111.0
2025-08-19,50625,-85.0
2025-08-20,50613,-12.0
2025-08-21,51166,553.0
2025-08-22,51049,-117.0
2025-08-25,50938,-111.0
2025-08-26,50822,-116.0
2025-08-27,50709,-113.0
2025-08-28,50656,-53.0
2025-08-29,50453,-203.0
2025-09-01,50400,-53.0
2025-09-02,50029,-371.0
2025-09-03,50348,319.0
2025-09-04,50072,-276.0
2025-09-05,49972,-100.0
2025-09-08,49922,-50.0
2025-09-09,49955,33.0
2025-09-10,50045,90.0
2025-09-11,50093,48.0
2025-09-12,49998,-95.0
2025-09-15,49905,-93.0
2025-09-16,49872,-33.0
2025-09-17,49896,24.0
2025-09-18,49871,-25.0
2025-09-19,49874,3.0
2025-09-22,49802,
2025-09-23,49963,161.0
2025-09-24,49925,-38.0
2025-09-25,50066,141.0
2025-09-26,50133,67.0
2025-09-29,50202,69.0
2025-09-30,50983,781.0
2025-10-09,50774,-209.0
2025-10-10,50281,-493.0
2025-10-13,50854,573.0
2025-10-14,51197,343.0
2025-10-15,50357,-840.0
2025-10-16,50291,-66.0
2025-10-17,50114,-177.0
2025-10-20,49303,-811.0
2025-10-21,48851,-452.0
2025-10-22,48738,-113.0
2025-10-23,48371,-367.0
2025-10-24,48327,-44.0
2025-10-27,48185,-142.0
2025-10-28,48044,-141.0
2025-10-29,47338,-706.0
2025-10-30,47410,72.0
2025-10-31,47253,-157.0
2025-11-03,46161,-1092.0
2025-11-04,45823,-338.0
2025-11-05,46195,372.0
2025-11-06,46281,86.0
2025-11-07,46180,-101.0
2025-11-10,46255,75.0
2025-11-11,46079,-176.0
2025-11-12,45936,-143.0
2025-11-13,45387,-549.0
2025-11-14,45345,-42.0
2025-11-17,44022,-1323.0
2025-11-18,43402,-620.0
2025-11-19,43412,10.0
2025-11-20,43297,-115.0
2025-11-21,42378,-919.0
2025-11-24,41524,-854.0
2025-11-25,40714,-810.0
2025-11-26,40425,-289.0
2025-11-27,39555,-870.0
2025-11-28,6596,-32959.0
2025-12-01,6596,0.0
2025-12-02,6784,188.0
2025-12-03,6892,108.0
2025-12-04,7228,336.0
2025-12-05,7288,60.0
2025-12-08,7528,240.0
2025-12-09,7528,0.0
2025-12-10,7780,252.0
2025-12-11,8667,887.0
2025-12-12,8619,-48.0
2025-12-15,8743,124.0
2025-12-16,8815,72.0
2025-12-17,8815,0.0
2025-12-18,8815,0.0
2025-12-19,9019,204.0
2025-12-22,9019,0.0
2025-12-23,9175,156.0
2025-12-24,9259,84.0
2025-12-25,9259,0.0
2025-12-26,9427,168.0
2025-12-29,9907,480.0
2025-12-30,10027,120.0
2025-12-31,10231,204.0
