date,receipt,change
2025-07-28,56412,
2025-07-29,57012,
2025-07-30,57072,60.0
2025-07-31,57781,709.0
2025-08-01,58276,495.0
2025-08-04,58276,
2025-08-05,58276,0.0
2025-08-06,60049,
2025-08-07,60300,251.0
2025-08-08,63211,2911.0
2025-08-11,64956,1745.0
2025-08-12,67866,2910.0
2025-08-13,76850,8984.0
2025-08-14,80089,3239.0
2025-08-15,80488,399.0
2025-08-18,80664,176.0
2025-08-19,80798,134.0
2025-08-20,82031,1233.0
2025-08-21,82097,66.0
2025-08-22,82280,183.0
2025-08-25,82280,0.0
2025-08-26,82391,111.0
2025-08-27,82539,148.0
2025-08-28,83518,979.0
2025-08-29,84089,571.0
2025-09-01,84108,19.0
2025-09-02,84720,612.0
2025-09-03,86311,1591.0
2025-09-04,87976,1665.0
2025-09-05,89999,2023.0
2025-09-08,90492,493.0
2025-09-09,93224,2732.0
2025-09-10,100335,7111.0
2025-09-11,105570,5235.0
2025-09-12,110711,5141.0
2025-09-15,110711,0.0
2025-09-16,110719,8.0
2025-09-17,110929,210.0
2025-09-18,110219,-710.0
2025-09-19,109599,-620.0
2025-09-22,109539,
2025-09-23,110601,1062.0
2025-09-24,110545,-56.0
2025-09-25,110545,0.0
2025-09-26,110765,220.0
2025-09-29,112028,1263.0
2025-09-30,112649,621.0
2025-10-09,112623,-26.0
2025-10-10,112458,-165.0
2025-10-13,111863,-595.0
2025-10-14,111476,-387.0
2025-10-15,111334,-142.0
2025-10-16,111165,-169.0
2025-10-17,113005,1840.0
2025-10-20,113936,931.0
2025-10-21,121072,7136.0
2025-10-22,121781,709.0
2025-10-23,121448,-333.0
2025-10-24,120448,-1000.0
2025-10-27,120401,-47.0
2025-10-28,120360,-41.0
2025-10-29,120224,-136.0
2025-10-30,120267,43.0
2025-10-31,120167,-100.0
2025-11-03,120167,0.0
2025-11-04,122317,2150.0
2025-11-05,122005,-312.0
2025-11-06,121531,-474.0
2025-11-07,121489,-42.0
2025-11-10,122387,898.0
2025-11-11,121864,-523.0
2025-11-12,125078,3214.0
2025-11-13,127934,2856.0
2025-11-14,129243,1309.0
2025-11-17,128782,-461.0
2025-11-18,128324,-458.0
2025-11-19,127587,-737.0
2025-11-20,126331,-1256.0
2025-11-21,125637,-694.0
2025-11-24,125041,-596.0
2025-11-25,124655,-386.0
2025-11-26,124309,-346.0
2025-11-27,123242,-1067.0
2025-11-28,121103,-2139.0
2025-12-01,116955,-4148.0
2025-12-02,115295,-1660.0
2025-12-03,115957,662.0
2025-12-04,115909,-48.0
2025-12-05,115756,-153.0
2025-12-08,115151,-605.0
2025-12-09,114876,-275.0
2025-12-10,114291,-585.0
2025-12-11,115785,1494.0
2025-12-12,115242,-543.0
2025-12-15,113933,-1309.0
2025-12-16,113214,-719.0
2025-12-17,113074,-140.0
2025-12-18,112635,-439.0
2025-12-19,111197,-1438.0
2025-12-22,108250,-2947.0
2025-12-23,108044,-206.0
2025-12-24,109184,1140.0
2025-12-25,108981,-203.0
2025-12-26,108552,-429.0
2025-12-29,108392,-160.0
2025-12-30,108557,165.0
2025-12-31,108557,0.0
