date,receipt,change
2025-07-28,21495,
2025-07-29,21113,
2025-07-30,13709,-7404.0
2025-07-31,0,-13709.0
2025-08-01,3000,3000.0
2025-08-04,10270,
2025-08-05,11540,1270.0
2025-08-06,11540,
2025-08-07,15370,3830.0
2025-08-08,20370,5000.0
2025-08-11,21954,1584.0
2025-08-12,21954,0.0
2025-08-13,22170,216.0
2025-08-14,16970,-5200.0
2025-08-15,14840,-2130.0
2025-08-18,15310,470.0
2025-08-19,15310,0.0
2025-08-20,15310,0.0
2025-08-21,15310,0.0
2025-08-22,15760,450.0
2025-08-25,15760,0.0
2025-08-26,15760,0.0
2025-08-27,15760,0.0
2025-08-28,15760,0.0
2025-08-29,15760,0.0
2025-09-01,15760,0.0
2025-09-02,15760,0.0
2025-09-03,15060,-700.0
2025-09-04,16344,1284.0
2025-09-05,18544,2200.0
2025-09-08,20244,1700.0
2025-09-09,24544,4300.0
2025-09-10,24544,0.0
2025-09-11,24544,0.0
2025-09-12,24544,0.0
2025-09-15,24544,0.0
2025-09-16,24544,0.0
2025-09-17,24544,0.0
2025-09-18,24544,0.0
2025-09-19,25644,1100.0
2025-09-22,25644,
2025-09-23,25534,-110.0
2025-09-24,25534,0.0
2025-09-25,25534,0.0
2025-09-26,25534,0.0
2025-09-29,25534,0.0
2025-09-30,25534,0.0
2025-10-09,25444,-90.0
2025-10-10,25444,0.0
2025-10-13,25444,0.0
2025-10-14,25444,0.0
2025-10-15,26294,850.0
2025-10-16,26294,0.0
2025-10-17,26294,0.0
2025-10-20,26294,0.0
2025-10-21,26294,0.0
2025-10-22,26294,0.0
2025-10-23,26294,0.0
2025-10-24,27344,1050.0
2025-10-27,27144,-200.0
2025-10-28,27144,0.0
2025-10-29,27644,500.0
2025-10-30,27644,0.0
2025-10-31,27644,0.0
2025-11-03,27644,0.0
2025-11-04,27644,0.0
2025-11-05,27444,-200.0
2025-11-06,26460,-984.0
2025-11-07,26014,-446.0
2025-11-10,25805,-209.0
2025-11-11,25358,-447.0
2025-11-12,24993,-365.0
2025-11-13,24993,0.0
2025-11-14,24993,0.0
2025-11-17,24777,-216.0
2025-11-18,24731,-46.0
2025-11-19,24627,-104.0
2025-11-20,24627,0.0
2025-11-21,24625,-2.0
2025-11-24,24625,0.0
2025-11-25,24625,0.0
2025-11-26,22029,-2596.0
2025-11-27,14532,-7497.0
2025-11-28,0,-14532.0
2025-12-01,5469,5469.0
2025-12-02,7419,1950.0
2025-12-03,8619,1200.0
2025-12-04,18269,9650.0
2025-12-05,22769,4500.0
2025-12-08,22994,225.0
2025-12-09,22994,0.0
2025-12-10,25964,2970.0
2025-12-11,25964,0.0
2025-12-12,25964,0.0
2025-12-15,25964,0.0
2025-12-16,25964,0.0
2025-12-17,25964,0.0
2025-12-18,26264,300.0
2025-12-19,26264,0.0
2025-12-22,26264,0.0
2025-12-23,28264,2000.0
2025-12-24,28264,0.0
2025-12-25,28264,0.0
2025-12-26,28264,0.0
2025-12-29,28264,0.0
2025-12-30,28264,0.0
2025-12-31,28264,0.0
