date,receipt,change
2025-06-03,5025,0.0
2025-06-04,4128,-897.0
2025-06-05,6012,1884.0
2025-06-06,6012,0.0
2025-06-09,6234,222.0
2025-06-10,9225,2991.0
2025-06-11,9225,0.0
2025-06-12,15399,6174.0
2025-06-13,26916,11517.0
2025-06-16,29898,2982.0
2025-06-17,29364,-534.0
2025-06-18,29067,-297.0
2025-06-19,25785,-3282.0
2025-06-20,26229,444.0
2025-06-23,23157,-3072.0
2025-06-24,22413,-744.0
2025-06-25,21507,-906.0
2025-06-26,19419,-2088.0
2025-06-27,19116,-303.0
2025-06-30,21231,2115.0
2025-07-01,20472,-759.0
2025-07-02,19872,-600.0
2025-07-03,19797,-75.0
2025-07-04,21738,1941.0
2025-07-07,24213,2475.0
2025-07-08,23847,-366.0
2025-07-09,26850,3003.0
2025-07-10,26772,-78.0
2025-07-11,26619,-153.0
2025-07-14,27513,894.0
2025-07-15,33552,6039.0
2025-07-16,36483,2931.0
2025-07-17,34689,-1794.0
2025-07-18,34083,-606.0
2025-07-21,33264,-819.0
2025-07-22,36270,3006.0
2025-07-23,36270,0.0
2025-07-24,35820,-450.0
2025-07-25,39867,4047.0
2025-07-28,13767,
2025-07-29,15307,
2025-07-30,15232,-75.0
2025-07-31,15058,-174.0
2025-08-01,14982,-76.0
2025-08-04,14907,
2025-08-05,14807,-100.0
2025-08-06,14375,
2025-08-07,13822,-553.0
2025-08-08,14346,524.0
2025-08-11,15494,1148.0
2025-08-12,15768,274.0
2025-08-13,16192,424.0
2025-08-14,17097,905.0
2025-08-15,20020,2923.0
2025-08-18,32538,12518.0
2025-08-19,32538,0.0
2025-08-20,32288,-250.0
2025-08-21,32288,0.0
2025-08-22,32791,503.0
2025-08-25,35194,2403.0
2025-08-26,36366,1172.0
2025-08-27,36213,-153.0
2025-08-28,36037,-176.0
2025-08-29,37957,1920.0
2025-09-01,37957,0.0
2025-09-02,38955,998.0
2025-09-03,40947,1992.0
2025-09-04,40896,-51.0
2025-09-05,40772,-124.0
2025-09-08,42707,1935.0
2025-09-09,42681,-26.0
2025-09-10,44329,1648.0
2025-09-11,44925,596.0
2025-09-12,45905,980.0
2025-09-15,51371,5466.0
2025-09-16,52170,799.0
2025-09-17,52720,550.0
2025-09-18,54241,1521.0
2025-09-19,52531,-1710.0
2025-09-22,55054,
2025-09-23,56613,1559.0
2025-09-24,57357,744.0
2025-09-25,56583,-774.0
2025-09-26,57573,990.0
2025-09-29,59264,1691.0
2025-09-30,57221,-2043.0
2025-10-09,58867,1646.0
2025-10-10,60644,1777.0
2025-10-13,59614,-1030.0
2025-10-14,58494,-1120.0
2025-10-15,65666,7172.0
2025-10-16,67466,1800.0
2025-10-17,67317,-149.0
2025-10-20,66419,-898.0
2025-10-21,66268,-151.0
2025-10-22,65209,-1059.0
2025-10-23,65529,320.0
2025-10-24,65849,320.0
2025-10-27,65724,-125.0
2025-10-28,68271,2547.0
2025-10-29,67424,-847.0
2025-10-30,67124,-300.0
2025-10-31,67774,650.0
2025-11-03,67649,-125.0
2025-11-04,68197,548.0
2025-11-05,68423,226.0
2025-11-06,68022,-401.0
2025-11-07,69268,1246.0
2025-11-10,69869,601.0
2025-11-11,70518,649.0
2025-11-12,70890,372.0
2025-11-13,72152,1262.0
2025-11-14,71753,-399.0
2025-11-17,76861,5108.0
2025-11-18,76787,-74.0
2025-11-19,75314,-1473.0
2025-11-20,73668,-1646.0
2025-11-21,72897,-771.0
2025-11-24,74641,1744.0
2025-11-25,73819,-822.0
2025-11-26,71620,-2199.0
2025-11-27,69118,-2502.0
2025-11-28,67617,-1501.0
2025-12-01,65778,-1839.0
2025-12-02,63804,-1974.0
2025-12-03,63597,-207.0
2025-12-04,62028,-1569.0
2025-12-05,60729,-1299.0
2025-12-08,58397,-2332.0
2025-12-09,56067,-2330.0
2025-12-10,54770,-1297.0
2025-12-11,52802,-1968.0
2025-12-12,51282,-1520.0
2025-12-15,50703,-579.0
2025-12-16,51134,431.0
2025-12-17,47869,-3265.0
2025-12-18,45949,-1920.0
2025-12-19,45178,-771.0
2025-12-22,42590,-2588.0
2025-12-23,41343,-1247.0
2025-12-24,42411,1068.0
2025-12-25,41319,-1092.0
2025-12-26,42075,756.0
2025-12-29,40984,-1091.0
2025-12-30,42387,1403.0
2025-12-31,42419,32.0
