时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2012-05-11,6190,6196,6082,6140,129998,0,6140.0,6140.0,6140.0,6140.0,0.0,0.0,0.0,0.0,114.0,0.0,129998.0,0,0.0,0.0,0.0
2012-05-14,6110,6115,6000,6002,103402,0,6071.0,6071.0,6071.0,6071.0,-11.008547008546884,-2.201709401709377,-8.806837606837508,0.0,127.0,-35.355339059327214,116700.0,-103402,0.0,0.0,0.0
2012-05-15,6040,6045,5960,5976,103834,0,6039.333333333333,6039.333333333333,6039.333333333333,6039.333333333333,-21.582097547910053,-6.077787030949513,-15.50431051696054,0.0,113.0,-42.704201166449636,112411.33333333333,-207236,0.0,0.0,0.0
2012-05-16,5895,5910,5711,5842,222575,0,5990.0,5990.0,5990.0,5990.0,-40.30972720071077,-12.924175064901764,-27.385552135809004,0.0,151.0,-66.67515474466738,139952.25,-429811,0.0,0.0,0.0
2012-05-17,5750,5786,5643,5647,299601,0,5921.4,5921.4,5921.4,5921.4,-70.0785569605896,-24.355051444039333,-45.72350551655026,0.0,160.6,-68.47025099757377,171882.0,-729412,0.0,0.0,0.0
2012-05-18,5705,5787,5691,5763,279144,0,5846.0,5895.0,5895.0,5895.0,-83.3495368925669,-36.15394853374485,-47.19558835882205,19.04761904761905,157.16666666666666,-44.51807738032296,189759.0,-450268,0.0,0.0,0.0
2012-05-21,5808,5881,5768,5863,347788,0,5818.2,5890.428571428572,5890.428571428572,5890.428571428572,-84.81996804277696,-45.88715243555128,-38.932815607225685,30.465444287729184,151.57142857142858,-17.73131017240009,212334.57142857142,-102480,0.0,0.0,0.0
2012-05-22,5957,5964,5903,5940,202883,0,5811.0,5896.625,5896.625,5896.625,-78.8629557753593,-52.48231310351288,-26.380642671846417,37.27735368956743,145.25,11.464756655122827,211153.125,100403,0.0,0.0,0.0
2012-05-23,5920,5930,5882,5890,185544,0,5820.6,5895.888888888889,5895.888888888889,5895.888888888889,-77.28566176783443,-57.44298283637719,-19.842678931457236,35.047846889952154,135.55555555555554,0.012954250600886074,208307.66666666666,-85141,0.0,0.0,0.0
2012-05-24,5800,5818,5759,5791,150085,0,5849.4,5885.4,5885.4,5885.4,-83.06657772469862,-62.56770181404148,-20.49887591065714,31.33689839572193,135.1,-35.95432303396156,202485.4,-235226,0.0,0.0,0.0
2012-05-25,5785,5838,5766,5832,150635,0,5863.2,5854.6,5880.545454545455,5880.545454545455,-83.37850244617675,-66.72986194046854,-16.648640505708215,34.221311475409834,129.36363636363637,-26.250049722175476,197771.72727272726,-84591,0.0,0.0,0.0
2012-05-28,5858,5912,5804,5904,210139,0,5871.4,5844.8,5882.5,5882.5,-76.92911580407417,-68.76971271318966,-8.15940309088451,38.74045801526718,127.58333333333333,-3.266551543377892,198802.33333333334,125548,0.0,0.0,0.0
2012-05-29,5940,5992,5916,5986,190709,0,5880.6,5845.8,5890.461538461538,5890.461538461538,-64.4581819300156,-67.90740655655486,3.4492246265392623,43.1858407079646,124.53846153846153,30.71590569751644,198179.76923076922,316257,0.0,0.0,0.0
2012-05-30,5933,5982,5922,5962,174960,0,5895.0,5857.8,5895.571428571428,5895.571428571428,-55.867470981052065,-65.49941944145431,9.631948460402242,42.287694974003465,120.21428571428571,25.780248234399867,196521.2142857143,141297,0.0,0.0,0.0
2012-05-31,5817,5855,5798,5801,174805,0,5897.0,5873.2,5889.266666666666,5889.266666666666,-61.3434954970362,-64.66823465257069,3.3247391555344876,37.11026615969582,123.78571428571429,-29.536599542633805,195073.46666666667,-33508,0.0,0.0,0.0
2012-06-01,5836,5878,5826,5851,182979,0,5900.8,5882.0,5886.875,5886.875,-60.946152932670884,-63.92381830859073,2.977665375919848,43.846780766096174,119.28571428571429,-14.808857213608619,194317.5625,149471,0.0,0.0,0.0
2012-06-04,5800,5840,5771,5832,148492,0,5886.4,5878.9,5883.64705882353,5883.64705882353,-61.45597111805273,-63.43024887048313,1.9742777524304032,44.09836065573771,118.92857142857143,-29.860325454336937,191621.9411764706,979,0.0,0.0,0.0
2012-06-05,5923,5998,5901,5949,196844,0,5879.0,5879.8,5887.277777777777,5887.277777777777,-51.82171503972768,-61.108542104332045,9.286827064604367,54.44721529509559,111.85714285714286,29.105559422931595,191912.05555555556,197823,0.0,0.0,0.0
2012-06-06,5954,5985,5921,5931,161697,0,5872.8,5883.9,5889.578947368421,5889.578947368421,-45.118845291299294,-57.9106027417255,12.791757450426203,63.840155945419106,102.21428571428571,26.529104768329567,190321.7894736842,36126,0.0,0.0,0.0
2012-06-07,6001,6092,5991,6088,171923,0,5930.2,5913.6,5899.5,5899.5,-26.82891776428096,-51.694265746236596,24.865347981955637,65.22961574507966,103.71428571428571,71.74215344869499,189401.85,208049,0.0,0.0,0.0
2012-06-08,6145,6154,6110,6134,136363,0,5986.8,5943.8,5899.2,5910.666666666667,-8.523944143235894,-43.060201425636464,34.53625728240057,63.3761105626851,100.0,106.50076280586829,189720.1,344412,0.0,0.0,0.0
2012-06-11,6005,6023,5905,5935,158240,0,6007.4,5946.9,5895.85,5911.772727272727,-9.959945504033385,-36.44015024131585,26.480204737282463,49.77973568281938,109.14285714285714,29.094372415818526,192462.0,186172,0.0,0.0,0.0
2012-06-12,6054,6099,6031,6062,103547,0,6030.0,5954.5,5900.15,5918.304347826087,-0.8404600117337395,-29.320212195399428,28.47975218366569,57.09570957095709,116.71428571428571,75.59516482014122,192447.65,289719,0.0,0.0,0.0
2012-06-13,5992,6038,5978,5989,121851,0,6041.6,5957.2,5907.5,5921.25,0.4906520977510809,-23.358039336769327,23.848691434520408,58.34738617200675,113.35714285714286,43.16202004601654,187411.45,167868,0.0,0.0,0.0
2012-06-14,6050,6083,6040,6083,92318,0,6040.6,5985.4,5929.3,5927.72,9.026530222302426,-16.881125424954977,25.907655647257403,60.12913640032284,114.92857142857143,68.3745974784448,177047.3,260186,0.0,0.0,0.0
2012-06-15,6068,6128,6061,6080,94623,0,6029.8,6008.3,5945.15,5933.576923076923,15.372001342992917,-10.430500071365397,25.802501414358314,57.521367521367516,112.0,71.81228121525052,167821.25,165563,0.0,0.0,0.0
2012-06-18,6050,6085,6032,6070,104273,0,6056.8,6032.1,5955.5,5938.62962962963,19.370624000594034,-4.470275256973512,23.840899257567546,53.82513661202186,109.5,53.003498266106035,155645.5,61290,0.0,0.0,0.0
2012-06-19,6087,6095,6003,6010,154959,0,6046.4,6038.2,5959.0,5941.178571428572,17.49637538189836,-0.07694512919913743,17.5733205110975,52.116402116402114,111.5,37.37457596660995,153249.3,-93669,0.0,0.0,0.0
2012-06-20,6058,6080,6045,6061,84129,0,6060.8,6051.2,5967.55,5945.310344827586,19.8969341520733,3.91783072705535,15.97910342501795,62.6953125,104.78571428571429,45.171104824079165,148178.55,-9540,0.0,0.0,0.0
2012-06-21,5996,6029,5990,6010,87891,0,6046.2,6043.4,5978.5,5947.466666666666,17.48259205859631,6.6307829933635425,10.851809065232768,57.75609756097561,104.35714285714286,16.897749228726404,145068.85,-97431,0.0,0.0,0.0
2012-06-22,5900,5925,5893,5911,70770,0,6012.4,6021.1,5982.45,5946.290322580645,7.494345779562536,6.803495550603342,0.690850228959194,53.574660633484164,107.0,-38.36024269545737,141075.6,-168201,0.0,0.0,0.0
2012-06-26,5700,5742,5691,5716,81257,0,5941.6,5999.2,5973.05,5939.09375,-15.9721645049176,2.2483635394991537,-18.220528044416753,40.15215553677093,110.85714285714286,-118.93367194270243,134631.5,-249458,0.0,0.0,0.0
2012-06-27,5830,5830,5783,5791,69748,0,5897.8,5972.1,5963.3,5934.606060606061,-28.19268208386893,-3.839845585174463,-24.35283649869447,44.354838709677416,114.42857142857143,-71.3915183720235,128583.45,-179710,0.0,0.0,0.0
2012-06-28,5767,5771,5725,5745,67159,0,5834.6,5947.7,5952.45,5929.029411764706,-41.11539321172222,-11.294955110484016,-29.820438101238203,34.809565987599655,107.64285714285714,-83.31178737721001,123193.4,-246869,0.0,0.0,0.0
2012-06-29,5778,5782,5733,5736,60170,0,5779.8,5913.0,5949.2,5923.5142857142855,-51.48942166560391,-19.333848421507998,-32.15557324409592,31.776556776556774,106.42857142857143,-77.66491063946796,117461.65,-307039,0.0,0.0,0.0
2012-07-02,5651,5764,5632,5751,117327,0,5747.8,5880.1,5944.2,5918.722222222223,-57.83386650365355,-27.03385203793711,-30.800014465716444,39.86784140969163,99.5,-82.81321131510866,114179.05,-189712,0.0,0.0,0.0
2012-07-03,5831,5835,5785,5796,78490,0,5763.8,5852.7,5942.4,5915.405405405405,-58.555766402368135,-33.33823491082332,-25.21753149154482,33.89830508474576,93.78571428571429,-50.017360843063415,110678.95,-111222,0.0,0.0,0.0
2012-07-04,5820,5915,5810,5908,93051,0,5787.2,5842.5,5940.35,5915.210526315789,-49.51958237540839,-36.574504403740335,-12.945077971668056,45.31791907514451,96.28571428571429,-22.494646096320135,105489.3,-18171,0.0,0.0,0.0
2012-07-05,5952,5979,5932,5948,66930,0,5827.8,5831.2,5941.2,5916.051282051282,-38.68474209929536,-36.99655194285134,-1.6881901564440227,41.676942046855736,94.64285714285714,4.407246559662294,100750.95,48759,0.0,0.0,0.0
2012-07-06,5960,5995,5944,5994,59112,0,5879.4,5829.6,5936.5,5918.0,-26.085539693802275,-34.814349493041526,8.72880979923925,44.964871194379384,93.5,14.93543383191908,95110.4,107871,0.0,0.0,0.0
2012-07-09,5929,5932,5864,5872,74100,0,5903.6,5825.7,5923.4,5916.878048780488,-25.64929234256033,-32.98133806294529,7.332045720384961,39.75155279503105,99.0,-13.636410029527475,91997.25,33771,0.0,0.0,0.0
2012-07-10,5790,5832,5782,5808,70831,0,5906.0,5834.9,5917.05,5914.285714285715,-30.120616584833442,-32.409193767322925,2.288577182489483,39.58762886597938,98.85714285714286,-41.74688709686844,87626.8,-37060,0.0,0.0,0.0
2012-07-11,5813,5834,5795,5798,50443,0,5884.0,5835.6,5903.85,5911.581395348837,-34.078256756589326,-32.74300636517621,-1.335250391413119,35.84499461786868,96.64285714285714,-37.013180745593836,84971.6,-87503,0.0,0.0,0.0
2012-07-12,5755,5780,5750,5775,47731,0,5849.4,5838.6,5893.15,5908.477272727273,-38.625373623272935,-33.91947981679556,-4.705893806477377,36.95893451720311,95.0,-47.77577572345877,81265.6,-135234,0.0,0.0,0.0
2012-07-13,5774,5779,5728,5743,56779,0,5799.2,5839.3,5876.15,5904.8,-44.300460927674976,-35.99567603897144,-8.304784888703537,39.92805755395683,90.28571428571429,-49.91960458301032,79488.65,-192013,0.0,0.0,0.0
2012-07-16,5770,5830,5764,5828,48432,0,5790.4,5847.0,5863.55,5903.130434782609,-41.46127906157744,-37.08879664349264,-4.3724824180848,57.73480662983425,80.78571428571429,-23.58279239582857,77179.1,-143581,0.0,0.0,0.0
2012-07-17,5810,5834,5787,5828,45315,0,5794.4,5850.2,5851.45,5901.531914893617,-38.76435561592734,-37.423908437979584,-1.340447177947759,52.85053929121726,76.0,-15.797603585994574,74231.2,-143581,0.0,0.0,0.0
2012-07-18,5845,5877,5812,5830,52429,0,5800.8,5842.4,5842.45,5900.041666666667,-36.05007820847095,-37.149142392077856,1.099064183606906,57.02479338842975,75.92857142857143,-0.49756877134235,69104.7,-91152,0.0,0.0,0.0
2012-07-19,5835,5838,5780,5811,38022,0,5808.0,5828.7,5829.95,5898.224489795918,-35.02835000367213,-36.72498391439672,1.6966339107245858,56.09756097560975,76.57142857142857,-10.922939742940205,66799.35,-129174,0.0,0.0,0.0
2012-07-20,5815,5828,5797,5822,32301,0,5823.8,5811.5,5820.55,5896.7,-32.95117434459917,-35.97022200043721,3.019047655838044,55.810147299509005,69.35714285714286,-1.8417428458247411,64019.85,-96873,0.0,0.0,0.0
2012-07-23,5809,5811,5787,5799,30872,0,5818.0,5804.2,5814.95,5894.78431372549,-32.783003394106345,-35.33277827917104,2.549774885064693,50.254668930390494,65.85714285714286,-9.970237718068669,62024.95,-127745,0.0,0.0,0.0
2012-07-24,5806,5808,5755,5761,30298,0,5804.6,5799.5,5817.2,5892.211538461538,-35.30898907797473,-35.32802043893177,0.01903136095704383,35.728155339805824,61.142857142857146,-31.05834607577567,59477.0,-158043,0.0,0.0,0.0
2012-07-25,5769,5791,5761,5771,19355,0,5792.8,5796.8,5816.2,5889.924528301887,-36.08793525105648,-35.48000340135671,-0.6079318496997672,31.75257731958763,58.214285714285715,-30.024490378109093,56957.35,-138688,0.0,0.0,0.0
2012-07-26,5767,5792,5737,5740,17586,0,5778.6,5793.3,5815.95,5887.148148148148,-38.759896665852466,-36.13598205425586,-2.6239146115966037,22.97872340425532,58.5,-44.18264632351134,54478.7,-156274,0.0,0.0,0.0
2012-07-27,5840,5886,5820,5872,50338,0,5788.6,5806.2,5822.75,5886.872727272727,-29.881690974699268,-34.88512383834455,5.00343286364528,50.0,59.642857142857146,29.99673138651937,53987.1,-105936,0.0,0.0,0.0
2012-07-30,5862,5932,5862,5927,41870,0,5814.2,5816.1,5831.55,5887.589285714285,-18.1978353366203,-31.5476661379997,13.349830801379397,62.632696390658175,58.214285714285715,61.29838866404637,50214.25,-64066,0.0,0.0,0.0
2012-07-31,5923,5925,5887,5893,33038,0,5840.6,5822.6,5836.4,5887.684210526316,-11.54868535993046,-27.54786998238585,15.999184622455392,59.5959595959596,58.285714285714285,51.842634805951974,47941.65,-97104,0.0,0.0,0.0
2012-08-01,5978,6044,5972,6024,62042,0,5891.2,5842.0,5842.2,5890.0344827586205,4.24251402761638,-21.189793180385408,25.432307208001788,70.64676616915423,65.64285714285714,113.73369625081345,46391.2,-35062,0.0,0.0,0.0
2012-08-02,5965,5992,5949,5990,38271,0,5941.2,5859.9,5844.3,5891.728813559322,13.853937889341978,-14.181046966439931,28.034984855781907,70.41322314049586,67.35714285714286,86.57463456563228,44958.25,-73333,0.0,0.0,0.0
2012-08-03,5880,5910,5880,5896,33576,0,5946.0,5867.3,5839.4,5891.8,13.727800597082023,-8.59927745373554,22.327078050817562,55.53745928338762,69.0,39.42424081977426,43681.45,-106909,0.0,0.0,0.0
2012-08-06,5866,5868,5842,5862,27120,0,5933.0,5873.6,5838.9,5887.166666666667,10.76028219890668,-4.727365523207096,15.487647722113776,52.623456790123456,69.5,14.325900868013312,41332.45,-134029,0.0,0.0,0.0
2012-08-07,5970,5972,5941,5952,24316,0,5944.8,5892.7,5846.1,5886.333333333333,15.492166277840624,-0.6834591629975524,16.175625440838175,58.288043478260875,72.71428571428571,73.30457519275882,39006.7,-109713,0.0,0.0,0.0
2012-08-08,5966,5974,5956,5966,19457,0,5933.2,5912.2,5854.5,5886.166666666667,20.139743077258572,3.481181285053673,16.6585617922049,60.60191518467852,70.14285714285714,71.08173543814817,37457.4,-90256,0.0,0.0,0.0
2012-08-09,5999,5999,5953,5955,28360,0,5926.2,5933.7,5863.5,5888.05,22.6740013323315,7.319745294509239,15.35425603782226,59.097127222982216,71.21428571428571,65.83288177103658,36488.85,-118616,0.0,0.0,0.0
2012-08-10,5988,6022,5980,6020,35017,0,5951.0,5948.5,5877.35,5894.266666666666,29.586323311864362,11.773060897980265,17.813262413884097,64.29495472186287,73.5,79.88833469460359,35400.75,-83599,0.0,0.0,0.0
2012-08-13,6005,6006,5961,5976,28297,0,5973.8,5953.4,5884.75,5897.816666666667,31.15482260281533,15.649413238947279,15.50540936386805,63.799743260590496,73.92857142857143,57.618590698992115,34394.0,-111896,0.0,0.0,0.0
2012-08-14,6004,6024,5986,5995,39226,0,5982.4,5963.6,5893.1,5900.016666666666,33.54433261592203,19.22839711434223,14.315935501579801,64.21319796954316,75.21428571428571,62.62486082744153,34089.55,-72670,0.0,0.0,0.0
2012-08-15,5974,5980,5944,5976,31047,0,5984.4,5958.8,5900.4,5900.616666666667,33.51851473313127,22.086420638100037,11.432094095031232,65.20618556701031,74.92857142857143,38.559257595539165,33020.45,-103717,0.0,0.0,0.0
2012-08-16,5961,5969,5950,5953,21214,0,5984.0,5955.1,5907.5,5901.666666666667,31.281551836551444,23.925446877790318,7.356104958761126,56.071964017991,66.35714285714286,29.581065173810963,32180.05,-124931,0.0,0.0,0.0
2012-08-17,5969,5978,5945,5952,20347,0,5970.4,5960.7,5914.0,5904.35,29.092688577559784,24.958895217744214,4.13379335981557,52.039151712887445,63.714285714285715,26.640746687709186,31582.35,-145278,0.0,0.0,0.0
2012-08-20,6016,6037,6003,6031,29019,0,5981.4,5977.6,5925.6,5907.666666666667,33.34822091222395,26.636760356640163,6.711460555583788,60.48632218844985,66.92857142857143,59.872740552122934,31489.7,-116259,0.0,0.0,0.0
2012-08-21,6000,6034,5996,6019,26720,0,5986.2,5984.3,5938.5,5909.583333333333,35.345025779413845,28.3784134411949,6.966612338218944,49.53617810760669,58.857142857142854,51.65781024236676,31310.8,-142979,0.0,0.0,0.0
2012-08-22,6100,6158,6094,6148,59552,0,6020.6,6002.5,5957.35,5912.283333333334,46.797280011208386,32.0621867551976,14.735093256010785,62.460567823343844,63.42857142857143,113.51413437109423,33320.65,-83427,0.0,0.0,0.0
2012-08-23,6208,6266,6202,6260,56194,0,6082.0,6033.0,5983.35,5917.25,64.17101446619017,38.483952297396115,25.687062168794057,77.91411042944785,64.0,148.912905936559,35251.05,-27233,0.0,0.0,0.0
2012-08-24,6337,6565,6333,6526,209292,0,6196.8,6083.6,6016.05,5929.333333333333,98.27099428742986,50.441360695402864,47.829633592026994,87.55656108597285,81.92857142857143,168.63714248794042,43198.75,182059,0.0,0.0,0.0
2012-08-27,6518,6548,6459,6487,156906,0,6288.0,6134.7,6044.05,5939.933333333333,120.75649421247635,64.50438739881756,56.2521068136588,82.11284513805522,80.42857142857143,132.2666923099848,48950.55,25153,0.0,0.0,0.0
2012-08-28,6588,6708,6585,6631,234985,0,6410.4,6198.3,6080.95,5953.25,148.4843759860887,81.3003851162718,67.18399086981691,84.527518172378,94.64285714285714,130.75513754050664,59047.9,260138,0.0,0.0,0.0
2012-08-29,6551,6575,6516,6566,113477,0,6494.0,6257.3,6108.05,5963.533333333334,163.33118505674065,97.70654510436557,65.62463995237508,80.039331366765,99.57142857142857,93.51614410186639,61619.65,146661,0.0,0.0,0.0
2012-08-30,6569,6624,6560,6620,152919,0,6566.0,6324.0,6139.55,5975.016666666666,177.40966868694704,113.64716982088187,63.76249886606517,79.82107355864811,99.35714285714286,88.97401906528138,67352.05,299580,0.0,0.0,0.0
2012-08-31,6580,6587,6525,6573,125958,0,6575.4,6386.1,6173.4,5983.1,182.6687693238673,127.45148972147896,55.217279602388345,79.58374628344896,101.92857142857143,72.26755807889336,71971.15,173622,0.0,0.0,0.0
