时间,开盘,最高,最低,收盘,成交量,持仓量,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2012-05-11,6190,6196,6082,6140,129998,0,,,,6140.0,6140.0,6140.0,6140.0,6140.0,114.0,0.0,0.0,0.0,0.0,6140.0,6140.0,6140.0,0.0,50.87719298245614,50.87719298245614,50.87719298245614,-49.12280701754386,0.0,0.0,129998.0,0,0.0,0.0,0.0
2012-05-14,6110,6115,6000,6002,103402,0,,,,6071.0,6071.0,6071.0,6071.0,6126.857142857143,127.0,0.0,-11.008547008546884,-2.201709401709377,-8.806837606837508,6266.161471607487,5875.838528392513,6071.0,390.32294321497466,34.258264709392535,45.33755022476827,12.09969367864106,-98.9795918367347,-35.355339059327214,0.0,116700.0,-103402,0.0,0.0,0.0
2012-05-15,6040,6045,5960,5976,103834,0,,,,6039.333333333333,6039.333333333333,6039.333333333333,6039.333333333333,6112.489795918367,113.0,0.0,-21.582097547910053,-6.077787030949513,-15.50431051696054,6215.620977067468,5863.045689599198,6039.333333333333,352.5752874682694,25.09873014524474,38.591276864927096,-1.886363294119974,-93.22033898305085,-42.704201166449636,0.0,112411.33333333333,-207236,0.0,0.0,0.0
2012-05-16,5895,5910,5711,5842,222575,0,,,,5990.0,5990.0,5990.0,5990.0,6086.72886297376,151.0,0.0,-40.30972720071077,-12.924175064901764,-27.385552135809004,6234.251236776125,5745.748763223875,5990.0,488.5024735522493,25.73592318961333,34.30615897315584,8.595451622528316,-72.98969072164948,-66.67515474466738,0.0,139952.25,-429811,0.0,0.0,0.0
2012-05-17,5750,5786,5643,5647,299601,0,,,,5921.4,5921.4,5921.4,5921.4,6044.849923642926,160.6,0.0,-70.0785569605896,-24.355051444039333,-45.72350551655026,6294.04352939505,5548.756470604949,5921.4,745.2870587901016,17.398391228277486,28.670236391529723,-5.145299098226992,-99.27667269439421,-68.47025099757377,0.0,171882.0,-729412,0.0,0.0,0.0
2012-05-18,5705,5787,5691,5763,279144,0,,,,5846.0,5895.0,5895.0,5895.0,6018.007073772172,157.16666666666666,19.04761904761905,-83.3495368925669,-36.15394853374485,-47.19558835882205,6252.515873773459,5537.484126226541,5895.0,715.0317475469183,18.832200541576192,25.390891108211882,5.7148194083048125,-78.3001808318264,-44.51807738032296,100.0,189759.0,-450268,0.0,0.0,0.0
2012-05-21,5808,5881,5768,5863,347788,0,,,,5818.2,5890.428571428572,5890.428571428572,5890.428571428572,6003.244495317679,151.57142857142858,30.465444287729184,-84.81996804277696,-45.88715243555128,-38.932815607225685,6217.689643852117,5563.167499005026,5890.428571428572,654.5221448470911,25.81580096382355,25.532527726749105,26.382347437972435,-60.21699819168174,-17.73131017240009,100.0,212334.57142857142,-102480,0.0,0.0,0.0
2012-05-22,5957,5964,5903,5940,202883,0,,,,5811.0,5896.625,5896.625,5896.625,5997.221210049328,145.25,37.27735368956743,-78.8629557753593,-52.48231310351288,-26.380642671846417,6201.630737650949,5591.619262349051,5896.625,610.0114753018988,35.11288478962558,28.725980081041264,47.88669420679422,-46.292947558770344,11.464756655122827,100.0,211153.125,100403,0.0,0.0,0.0
2012-05-23,5920,5930,5882,5890,185544,0,,,,5820.6,5895.888888888889,5895.888888888889,5895.888888888889,5987.009666235106,135.55555555555554,35.047846889952154,-77.28566176783443,-57.44298283637719,-19.842678931457236,6181.229815579128,5610.54796219865,5895.888888888889,570.6818533804781,38.29707690013616,31.916345687406228,51.05853932559603,-55.33453887884268,0.012954250600886074,94.01913875598086,208307.66666666666,-85141,0.0,0.0,0.0
2012-05-24,5800,5818,5759,5791,150085,0,,,,5849.4,5885.4,5885.4,5885.4,5968.34207897462,135.1,31.33689839572193,-83.06657772469862,-62.56770181404148,-20.49887591065714,6162.480333317092,5608.319666682907,5885.4,554.160666634185,35.98336200122072,33.272017792011056,41.40605041964005,-73.23688969258589,-35.95432303396156,84.06417112299468,202485.4,-235226,0.0,0.0,0.0
