时间,开盘,最高,最低,收盘,成交量,持仓量,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2000-01-05,19640,19690,19610,19650,596,0,,,,19650.0,19650.0,19650.0,19650.0,19650.0,80.0,0.0,0.0,0.0,0.0,19650.0,19650.0,19650.0,0.0,50.0,50.0,50.0,-50.0,0.0,0.0,596.0,0,0.0,0.0,0.0
2000-01-06,19370,19420,19370,19370,1549,0,,,,19510.0,19510.0,19510.0,19510.0,19623.333333333332,180.0,0.0,-22.336182336181082,-4.467236467236217,-17.868945868944866,19905.979797464468,19114.020202535532,19510.0,791.959594928936,33.333333333333336,44.44444444444444,11.111111111111114,-100.0,-35.35533905932762,0.0,1072.5,-1549,0.0,0.0,0.0
2000-01-07,19220,19220,19210,19210,574,0,,,,19410.0,19410.0,19410.0,19410.0,19583.968253968254,173.33333333333334,0.0,-52.345029666965274,-14.04279510718203,-38.302234559783244,19855.421149026402,18964.578850973598,19410.0,890.8422980528048,22.222222222222225,37.03703703703704,-7.407407407407405,-100.0,-46.23866617451036,0.0,906.3333333333334,-2123,0.0,0.0,0.0
2000-01-10,19400,19460,19390,19440,604,0,,,,19417.5,19417.5,19417.5,19417.5,19570.256991685565,192.5,34.32835820895522,-56.91213193846852,-22.61666247343933,-34.295469465029186,19782.42008257517,19052.57991742483,19417.5,729.8401651503373,30.787037037037038,34.9537037037037,22.45370370370371,-52.083333333333336,2.783191623237478,100.0,830.75,-1519,0.0,0.0,0.0
2000-01-12,19340,19390,19340,19360,926,0,,,,19406.0,19406.0,19406.0,19406.0,19550.23251628694,174.0,30.66666666666667,-66.22354104647457,-31.33803818804638,-34.88550285842818,19726.18744510052,19085.81255489948,19406.0,640.3748902010411,30.941358024691358,33.61625514403292,25.591563786008237,-68.75,-14.379503167516495,89.33333333333334,849.8,-2445,0.0,0.0,0.0
2000-01-13,19360,19360,19330,19360,641,0,,,,19348.0,19398.333333333332,19398.333333333332,19398.333333333332,19532.11513378342,150.0,30.66666666666667,-72.76412036417969,-39.62325462327304,-33.14086574090665,19687.170080764587,19109.496585902078,19398.333333333332,577.673494862509,31.04423868312757,32.758916323731135,27.614883401920437,-68.75,-17.092825238525208,89.33333333333334,815.0,-2445,0.0,0.0,0.0
2000-01-14,19610,19610,19530,19530,782,0,,,,19380.0,19417.14285714286,19417.14285714286,19417.14285714286,19531.913692470713,164.28571428571428,43.47826086956522,-63.49803156336202,-44.39821001129084,-19.099821552071177,19698.973606757892,19135.312107527825,19417.14285714286,563.6614992300674,42.918381344307264,36.14540466392318,56.464334705075444,-33.333333333333336,47.113027912119506,100.0,810.2857142857143,-1663,0.0,0.0,0.0
2000-01-17,19300,19360,19300,19330,1584,0,,,,19404.0,19406.25,19406.25,19406.25,19512.683816997313,172.5,35.71428571428572,-71.46906704348294,-49.81238141772926,-21.656685625753674,19674.35179303498,19138.14820696502,19406.25,536.2035860699616,36.94558756287151,36.41213229690595,38.01249809480262,-75.0,-29.249655600390525,82.14285714285717,907.0,-3247,0.0,0.0,0.0
2000-01-18,19310,19410,19310,19350,1033,0,,,,19386.0,19400.0,19400.0,19400.0,19497.190120140425,164.44444444444446,36.84210526315789,-75.30427641344795,-54.910760416873,-20.393515996574948,19653.574446662118,19146.425553337882,19400.0,507.14889332423627,34.35261393080323,35.725626174871714,31.606589442666262,-70.83333333333333,-18.353503978091673,84.73684210526315,921.0,-2214,0.0,0.0,0.0
2000-01-19,19390,19510,19390,19460,1667,0,,,,19406.0,19406.0,19406.0,19406.0,19493.648203936573,164.0,42.4,-68.67597291227503,-57.66380291595341,-11.012169996321617,19648.06518864875,19163.93481135125,19406.0,484.1303772975007,43.735075953868815,38.39544276787075,54.414342325864936,-47.916666666666664,18.057367557744108,97.52,995.6,-547,0.0,0.0,0.0
2000-01-20,19470,19530,19450,19460,3164,0,,,,19426.0,19387.0,19410.909090909092,19410.909090909092,19490.44361308547,156.36363636363637,42.4,-62.700225463635434,-58.671087425489816,-4.029138038145618,19642.849522133067,19178.968659685117,19410.909090909092,463.88086244794977,49.99005063591254,42.260312057218016,65.44952779330157,-47.916666666666664,27.25538206810509,97.52,1192.7272727272727,-547,0.0,0.0,0.0
