时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2023-06-19,2706,2749,2666,2697,4472,1007,2697.0,2697.0,2697.0,2697.0,0.0,0.0,0.0,0.0,83.0,0.0,4472.0,0,1007.0,0.0,0.0
2023-06-20,2713,2747,2712,2731,62189,10400,2714.0,2714.0,2714.0,2714.0,2.712250712250807,0.5424501424501614,2.1698005698006453,99.99999999941177,66.5,35.35533905932738,33330.5,62189,5703.5,9393.0,932.7706057596822
2023-06-21,2726,2742,2715,2738,51494,7871,2722.0,2722.0,2722.0,2722.0,5.364729182393148,1.506905950438759,3.8578232319543893,99.9999999992683,53.333333333333336,31.51147851085708,39385.0,113683,6426.0,-2529.0,-24.317307692307686
2023-06-26,2730,2816,2721,2802,109336,36851,2742.0,2742.0,2742.0,2742.0,12.487158420454307,3.7029564444418686,8.784201976012438,99.99999999961905,63.75,68.6866726806993,56872.75,223019,14032.25,28980.0,368.1870156269851
2023-06-27,2797,2837,2766,2788,166881,56895,2751.2,2751.2,2751.2,2751.2,16.808296331522797,6.324024421858055,10.484271909664741,88.23529411764706,65.2,63.027822645317976,78874.4,56138,22604.8,20044.0,54.392011071612714
2023-06-28,2791,2805,2775,2791,93064,70248,2770.0,2757.8333333333335,2757.8333333333335,2757.8333333333335,20.241571944678526,9.10753392642215,11.134038018256376,88.52459016393442,59.333333333333336,45.37488870461762,81239.33333333333,149202,30545.333333333332,13353.0,23.469549169522796
2023-06-29,2782,2811,2782,2799,76690,81331,2783.6,2763.714285714286,2763.714285714286,2763.714285714286,23.338963699206488,11.953819880979019,11.38514381822747,89.23076923076923,55.0,46.627834115262004,80589.42857142857,225892,37800.42857142857,11083.0,15.776961621683183
2023-06-30,2794,2824,2793,2812,75550,80875,2798.4,2769.75,2769.75,2769.75,26.536761071566616,14.870408119096538,11.666352952470078,90.20979020979021,52.0,53.407593328363006,79959.5,301442,43184.75,-456.0,-0.5606718225522833
2023-07-03,2812,2831,2811,2826,55043,86524,2803.2,2776.0,2776.0,2776.0,29.85655375849683,17.8676372469766,11.98891651152023,91.0828025477707,48.44444444444444,59.42480819039847,77191.0,356485,48000.22222222222,5649.0,6.984853168469862
2023-07-04,2820,2835,2810,2816,53993,91724,2808.8,2780.0,2780.0,2780.0,31.31956451026872,20.558022699635025,10.761541810633695,85.62874251497006,46.1,50.511151414456705,74871.2,302492,52372.6,5200.0,6.0098932088206825
2023-07-05,2816,2832,2815,2825,34750,92545,2815.6,2792.8,2784.090909090909,2784.090909090909,32.82682860911882,23.011783881531784,9.815044727587036,86.36363636363636,43.45454545454545,49.68241305908854,71223.81818181818,337242,56024.63636363636,821.0,0.895076533949668
2023-07-06,2824,2845,2816,2834,44365,98721,2822.6,2803.1,2788.25,2788.25,34.35158733489379,25.279744572204187,9.071842762689606,87.02702702702703,42.25,53.29113790113084,68985.58333333333,381607,59582.666666666664,6176.0,6.673510184234699
2023-07-07,2830,2840,2826,2828,40786,101645,2825.8,2812.1,2791.3076923076924,2791.3076923076924,34.6760953128105,27.15901472032545,7.517080592485051,84.29319371727749,40.07692307692308,48.76122059161242,66816.38461538461,340821,62818.230769230766,2924.0,2.961882476879296
2023-07-10,2827,2832,2802,2819,60664,101022,2824.4,2813.8,2793.285714285714,2793.285714285714,33.817221559750124,28.490656088210386,5.3265654715397375,80.5,39.357142857142854,31.046427567734764,66376.92857142857,280157,65547.07142857143,-623.0,-0.6129175070096915
2023-07-11,2823,2828,2815,2819,24002,102931,2825.0,2816.9,2795.0,2795.0,32.758933330887885,29.344311536745888,3.414621794141997,80.5,34.357142857142854,33.013809685228615,63551.933333333334,280157,68039.33333333333,1909.0,1.8896873948248905
2023-07-12,2816,2822,2783,2796,64753,106873,2819.2,2817.4,2795.0625,2795.0625,29.721711119319025,29.41979145326052,0.30191966605850595,67.19576719576719,33.57142857142857,7.7237005772976834,63627.0,215404,70466.4375,3942.0,3.829750026716927
2023-07-13,2803,2813,2777,2792,60909,108390,2810.8,2816.7,2794.8823529411766,2794.8823529411766,26.684323789806967,28.87269792056981,-2.188374130762842,64.51612903225806,34.214285714285715,-0.33539807587534826,63467.117647058825,154495,72697.23529411765,1517.0,1.4194417673313087
2023-07-14,2798,2805,2777,2785,65374,106420,2802.2,2814.0,2794.3333333333335,2794.3333333333335,23.44210495569041,27.786579327593934,-4.344474371903523,43.41085271317829,29.428571428571427,-6.7274102821420145,63573.055555555555,89121,74570.72222222222,-1970.0,-1.8175108404834384
2023-07-17,2788,2797,2736,2781,121555,103880,2794.6,2809.5,2793.6315789473683,2793.6315789473683,20.315670200121076,26.292397502099366,-5.97672730197829,47.05882352941176,28.714285714285715,-29.594261222761737,66624.73684210527,-32434,76113.31578947368,-2540.0,-2.386769404247324
2023-07-18,2776,2822,2776,2807,83402,104460,2792.2,2808.6,2794.3,2794.3,19.70874074547055,24.975666150773606,-5.266925405303056,55.63380281690141,29.857142857142858,11.965156580515282,67463.6,50968,77530.65,580.0,0.5583365421640396
2023-07-19,2803,2826,2803,2821,39959,105538,2797.2,2808.2,2800.5,2795.5714285714284,20.125434298146956,24.005619780248274,-3.880185482101318,57.43243243243243,29.428571428571427,31.043681274014038,69237.95,90927,82757.2,1078.0,1.0319739613249057
2023-07-20,2820,2908,2817,2881,166378,113120,2815.0,2812.9,2808.0,2799.4545454545455,25.00887871351324,24.20627156690127,0.8026071466119724,67.6923076923077,33.714285714285715,112.58490248029864,74447.4,257305,87893.2,7582.0,7.184142204703514
2023-07-21,2888,2895,2853,2868,81280,113437,2831.6,2816.9,2814.5,2802.4347826086955,27.512900649044695,24.867597383329958,2.6453032657147375,60.824742268041234,35.285714285714285,114.37634209691704,75936.7,176025,93171.5,317.0,0.28023338048090984
2023-07-24,2868,2884,2863,2879,76305,117256,2851.2,2822.9,2818.35,2805.625,30.038696744984918,25.90181725566095,4.136879489323967,66.15384615384615,35.0,102.49326371620236,74285.15,252330,97191.75,3819.0,3.3666264093725973
2023-07-25,2879,2892,2857,2887,71454,117507,2867.2,2829.7,2823.3,2808.88,32.3134521279012,27.184144230109005,5.129307897792195,65.97938144329896,36.285714285714285,92.45539718008173,69513.8,323784,100222.35,251.0,0.21406154056082816
2023-07-26,2892,2909,2877,2879,79179,113806,2878.8,2838.0,2827.7,2811.576923076923,33.089246776876735,28.365164739462553,4.724082037414181,61.6580310880829,36.5,92.81374086542414,68819.55,244605,102400.25,-3701.0,-3.149599598321806
2023-07-27,2871,2899,2865,2890,57100,109476,2880.6,2847.8,2832.25,2814.4814814814813,34.19747054143727,29.5316258998575,4.6658446415797705,65.65656565656566,37.92857142857143,76.92509036934177,67840.05,301705,103807.5,-4330.0,-3.8047203135159857
2023-07-28,2893,2900,2874,2880,55795,100070,2883.0,2857.3,2835.65,2816.8214285714284,33.878301461916635,30.400961012269327,3.4773404496473077,65.32663316582915,37.642857142857146,68.44685853899588,66852.3,245910,104767.25,-9406.0,-8.591837480360997
2023-07-31,2882,2895,2872,2884,40890,93410,2884.0,2867.6,2838.55,2819.137931034483,33.56125102682881,31.033019015181225,2.5282320116475887,66.00985221674877,38.357142857142854,60.479366768159,66144.65,286800,105111.55,-6660.0,-6.65534126111722
2023-08-01,2890,2930,2883,2929,75662,96291,2892.4,2879.8,2844.2,2822.8,36.520128879374624,32.130440988019906,4.389687891354718,79.55555555555556,38.92857142857143,86.5744077430125,67228.1,362462,105339.9,2881.0,3.084252221389572
2023-08-02,2920,2938,2914,2922,53148,93364,2901.0,2889.9,2849.05,2826.0,37.8637496598094,33.277102722377805,4.5866469374315955,78.50877192982456,38.07142857142857,85.88742835244622,68148.0,309314,105380.85,-2927.0,-3.0397441090029176
2023-08-03,2910,2922,2875,2895,56211,88183,2902.0,2891.3,2852.1,2828.15625,36.33110212698966,33.88790260330018,2.4431995236894863,72.1774193548387,39.42857142857143,50.51851372289674,68740.3,253103,104853.95,-5181.0,-5.549248104194337
2023-08-04,2894,2904,2869,2871,44485,84493,2900.2,2891.6,2854.25,2829.4545454545455,32.80175033202295,33.670672149044734,-0.8689218170217856,66.7910447761194,37.57142857142857,30.300259293429313,68925.25,208618,103996.35,-3690.0,-4.184480001814405
2023-08-07,2865,2891,2865,2880,43233,80490,2899.4,2891.7,2857.3,2830.9411764705883,30.380728266655296,33.01268337256685,-2.631955105911551,64.5418326693227,36.142857142857146,24.37709919401617,68053.7,251851,102969.75,-4003.0,-4.737670576260755
2023-08-08,2878,2892,2872,2872,30554,74578,2888.0,2890.2,2859.95,2832.114285714286,27.49952034345688,31.910050766744856,-4.410530423287977,60.40816326530612,35.92857142857143,21.47110854279627,68381.3,221297,101552.1,-5912.0,-7.345011802708412
2023-08-09,2861,2880,2854,2876,35374,72350,2878.8,2889.9,2863.95,2833.3333333333335,25.247867180341927,30.577614049464273,-5.329746869122346,48.67724867724868,31.285714285714285,8.479939109313317,66912.35,256671,99825.95,-2228.0,-2.987476199415373
2023-08-10,2882,2887,2873,2879,48618,69970,2875.6,2888.8,2868.3,2834.5675675675675,23.43534271145927,29.149159781863275,-5.713817070404005,53.072625698324025,29.285714285714285,15.810237008976568,66297.8,305289,97904.95,-2380.0,-3.2895646164478265
2023-08-11,2881,2907,2870,2900,59569,68505,2881.4,2890.8,2874.05,2836.2894736842104,23.42341792573643,28.004011410637908,-4.5805934849014776,55.55555555555556,30.428571428571427,27.999061416573603,66007.55,364858,96009.2,-1465.0,-2.093754466199804
2023-08-14,2912,2912,2877,2883,57099,67007,2882.0,2890.7,2879.15,2837.4871794871797,21.791016251158453,26.761412378742016,-4.970396127583562,48.98989898989899,30.428571428571427,22.982723394780056,62784.75,307759,94165.55,-1498.0,-2.1867017006057976
2023-08-15,2876,2901,2870,2900,34061,65788,2887.6,2887.8,2883.8,2839.05,21.619863756818177,25.733102654357246,-4.11323889753907,55.07246376811594,30.357142857142858,18.863190284359536,60317.7,341820,92231.95,-1219.0,-1.8192129180533367
2023-08-16,2894,2900,2880,2881,29243,64087,2888.6,2883.7,2886.8,2840.0731707317073,19.723720192799192,24.531226162045638,-4.807505969246446,47.906976744186046,29.357142857142858,3.514710569024058,59781.9,312577,90159.4,-1701.0,-2.5855779169453363
2023-08-17,2878,2905,2875,2902,44592,61843,2893.2,2884.4,2887.85,2841.5476190476193,19.688579563521216,23.562696842340756,-3.87411727881954,54.86725663716815,29.642857142857142,25.331747470909708,53692.6,357169,87595.55,-2244.0,-3.5014901618112826
2023-08-18,2910,2919,2888,2895,49561,60726,2892.2,2886.8,2889.2,2842.7906976744184,18.8782718959842,22.625811853069447,-3.747539957085248,52.401746724890835,30.214285714285715,45.78808322356943,52106.65,307608,84960.0,-1117.0,-1.8061866338955124
2023-08-21,2891,2926,2891,2922,44193,61014,2900.0,2891.0,2891.35,2844.590909090909,20.18212461348685,22.13707440515293,-1.9549497916660812,48.341232227488156,29.357142857142858,81.70683386292777,50501.05,351801,82147.9,288.0,0.47426143661692954
2023-08-22,2927,2930,2913,2926,47988,61145,2905.2,2896.4,2893.3,2846.4,21.2927542398661,21.968210372095562,-0.6754561322294634,50.96153846153846,28.857142857142858,99.43001327227921,49327.75,399789,79329.8,131.0,0.2147048218441583
2023-08-23,2927,2984,2915,2960,98935,64654,2921.0,2904.8,2897.35,2848.8695652173915,24.63250389882569,22.50106907744159,2.131434821384101,65.11627906976744,30.428571428571427,140.8309152565958,50315.55,498724,76872.2,3509.0,5.7388175648049655
2023-08-24,2960,2974,2942,2945,72351,63143,2929.6,2911.4,2900.1,2850.9148936170213,25.7718233877672,23.155219939506715,2.6166034482604843,67.96116504854369,30.214285714285715,114.02349017620085,51078.1,426373,74555.55,-1511.0,-2.337055711943581
2023-08-25,2940,2980,2936,2970,69169,61026,2944.6,2918.4,2904.6,2853.3958333333335,28.36505861827436,24.197187675260245,4.167870943014115,70.27027027027026,31.5,107.5965873563004,51746.8,495542,72603.35,-2117.0,-3.352707346815953
2023-08-28,2969,2977,2937,2955,51989,57820,2951.2,2925.6,2908.15,2855.469387755102,28.876965894389286,25.133143319086052,3.743822575303234,68.12227074235807,32.92857142857143,84.32108454401502,52301.75,443553,70823.85,-3206.0,-5.253498508832299
2023-08-29,2962,2962,2941,2958,38911,54944,2957.6,2931.4,2909.6,2857.52,29.188266855511756,25.944168026371194,3.2440988291405617,67.98245614035088,32.57142857142857,71.96794233377359,50464.2,482464,68756.5,-2876.0,-4.9740574195780045
2023-08-30,2955,2983,2955,2976,51352,57293,2960.8,2940.9,2912.3,2859.843137254902,30.535431234106454,26.86242066791825,3.6730105661882035,69.95884773662551,33.57142857142857,88.50929305783897,50374.4,533816,66952.95,2349.0,4.275262085032039
2023-08-31,2981,2997,2965,2981,62592,52081,2968.0,2948.8,2916.6,2862.173076923077,31.641780177631063,27.818292569860816,3.8234876077702467,67.84140969162996,33.214285714285715,88.2796978659931,50693.45,596408,65147.85,-5212.0,-9.097097376642871
2023-09-01,2980,3038,2956,3016,105069,55689,2977.2,2960.9,2923.85,2865.0754716981132,34.94001048748487,29.24263615338563,5.697374334099241,77.14285714285714,36.57142857142857,99.66113720056289,53722.65,701477,63707.65,3608.0,6.92767035963211
2023-09-04,3017,3203,3013,3086,273606,66466,3003.4,2977.3,2934.15,2869.1666666666665,42.70996288993456,31.936101500695415,10.773861389239144,81.20805369127517,47.92857142857143,149.8287665665135,65241.3,975083,63006.45,10777.0,19.352116216847136
2023-09-05,3084,3168,3074,3134,254063,72214,3038.6,2998.1,2947.25,2873.981818181818,52.139869041256134,35.97685500880756,16.163014032448572,88.68501529051989,53.214285714285715,130.37855880082847,76416.75,1229146,62888.25,5748.0,8.648030572021792
2023-09-06,3130,3161,3095,3119,170859,75690,3067.2,3014.0,2959.4,2878.3571428571427,57.73720441290425,40.328924889626904,17.408279523277344,83.80062305295951,55.785714285714285,107.77572598549354,83191.0,1058287,63055.25,3476.0,4.813471072091291
2023-09-07,3111,3135,3084,3093,135076,77011,3089.6,3028.8,2970.1,2882.122807017544,59.39053321504571,44.14124655471066,15.249286660335045,79.11764705882354,57.214285714285715,82.5275214984168,87513.9,923211,63407.3,1321.0,1.7452767868939123
2023-09-08,3091,3099,3010,3042,106839,75268,3094.8,3036.0,2977.2,2884.8793103448274,55.94068503193603,46.50113425015574,9.43955078178029,66.4835164835165,61.07142857142857,44.977684591352286,89877.4,816372,63745.45,-1743.0,-2.2633130332030515
2023-09-11,3053,3079,3027,3070,61948,75472,3091.6,3047.5,2986.55,2888.0169491525426,54.833930073295505,48.16769341478369,6.666236658511814,68.55670103092783,63.57142857142857,45.326608933421014,90119.85,878320,64168.7,204.0,0.2710315140564301
2023-09-12,3069,3127,3051,3060,69368,73934,3076.8,3057.7,2994.55,2890.883333333333,52.54420547523523,49.042995826874005,3.5012096483612254,63.73626373626374,64.07142857142857,52.676466722602285,91885.2,808952,64576.0,-1538.0,-2.0378418486326044
2023-09-13,3068,3077,2999,3033,79122,74193,3059.6,3063.4,3002.15,2896.483333333333,47.99762118359013,48.83392089821723,-0.8362997146271027,61.70212765957447,67.35714285714286,22.26475041348534,94379.15,729830,65081.3,259.0,0.3503124408255953
2023-09-14,3028,3105,3016,3100,81018,75676,3061.0,3075.3,3012.05,2902.633333333333,49.233230400293905,48.91378279863257,0.3194476016613379,65.55023923444976,70.57142857142857,42.36913107957076,96200.45,810848,65772.95,1483.0,1.9988408609976638
2023-09-15,3100,3167,3030,3036,166949,73787,3059.8,3077.3,3019.1,2907.6,44.534824739303986,48.03799118676686,-3.503166447462874,58.67237687366166,77.5,40.98402229129319,102069.85,643899,66426.0,-1889.0,-2.4961678735662574
2023-09-18,3018,3063,3003,3048,69869,73071,3055.4,3073.5,3025.4,2911.7,41.3034832699891,46.69108960341131,-5.387606333422205,59.45378151260504,80.28571428571429,8.897568529558098,103353.65,713768,67028.85,-716.0,-0.9703606326317615
2023-09-19,3050,3093,3023,3070,99425,71725,3057.4,3067.1,3032.6,2916.4,40.05609626958585,45.364090936646214,-5.307994667060363,59.791666666666664,83.28571428571429,23.41421106161372,105925.5,813193,67557.85,-1346.0,-1.842044039358981
2023-09-20,3069,3083,3043,3069,62525,70954,3064.6,3062.1,3038.05,2921.0333333333333,38.54254695280724,43.99978213987842,-5.457235187071177,59.2436974789916,83.85714285714286,22.259743082864443,104105.0,750668,67872.85,-771.0,-1.0749390031369765
2023-09-21,3071,3113,3038,3038,111348,68200,3052.2,3056.6,3042.7,2925.016666666667,34.44455193877502,42.088736099657744,-7.644184160882723,52.33050847457628,83.35714285714286,16.864281337078307,106054.85,639320,68125.7,-2754.0,-3.8813879414832164
2023-09-22,3035,3096,3010,3083,79738,63943,3061.6,3060.7,3048.35,2929.5333333333333,34.43108516779466,40.55720591328513,-6.126120745490468,49.66442953020134,75.92857142857143,13.10834372714556,106583.3,719058,68271.55,-4257.0,-6.241935483870964
2023-09-25,3079,3095,3029,3050,78450,56665,3062.0,3058.7,3053.1,2933.266666666667,31.395678607422724,38.72490045211265,-7.3292218446899255,40.27777777777778,73.92857142857143,3.7506736072161244,107906.35,640608,68213.8,-7278.0,-11.382012104530592
2023-09-26,3063,3065,3030,3033,63907,36421,3054.6,3056.0,3056.85,2936.883333333333,27.303600207046657,36.44064040309945,-9.137040196052794,40.09216589861751,71.71428571428571,-19.88001299873176,109156.15,576701,67287.65,-20244.0,-35.72575663990117
2023-09-27,3106,3106,3005,3040,60698,29752,3048.8,3056.7,3060.05,2940.4666666666667,24.344808295560597,34.02147398159168,-9.676665686031086,43.614457831325296,75.28571428571429,-17.69582498497828,109623.45,637399,65910.6,-6669.0,-18.310864611076028
2023-09-28,3030,3090,3030,3064,38947,25291,3054.0,3053.1,3064.2,2944.3,23.663762686327118,31.94993172253877,-8.286169036211653,52.835051546391746,73.21428571428571,-9.330725921304916,108441.2,676346,64571.1,-4461.0,-14.99394998655552
2023-10-09,3082,3082,3006,3029,19646,22964,3043.2,3052.4,3064.85,2947.65,20.068484642781186,29.573642306587253,-9.505157663806067,44.81012658227848,74.92857142857143,-55.687775722347446,104170.05,656700,62934.85,-2327.0,-9.200901506464753
2023-10-10,3020,3038,2955,2978,69600,63186,3028.8,3045.4,3059.45,2950.3,12.954594612735036,26.249832767816812,-13.295238155081776,40.596330275229356,75.42857142857143,-118.34043945011152,93969.75,587100,62770.85,40222.0,175.15241247169482
2023-10-11,2973,3063,2957,3042,98591,73092,3030.6,3042.6,3054.85,2954.016666666667,12.338816445459543,23.46762950334536,-11.128813057885818,50.95137420718816,77.42857142857143,-65.474736375628,86196.15,685691,62814.75,9906.0,15.677523502041591
2023-10-12,3040,3062,3022,3053,74619,76683,3033.2,3041.0,3051.55,2958.3,12.593248748073165,21.292753352290923,-8.699504604217758,44.36450839328537,73.92857142857143,-17.444759241368345,81384.15,760310,62864.4,3591.0,4.912986373337702
2023-10-13,3052,3071,3006,3035,76651,73748,3027.4,3040.7,3048.65,2962.35,11.213180053562155,19.27683869254517,-8.063658638983014,49.86522911051213,68.78571428571429,-31.856872927640474,78462.9,683659,62701.25,-2935.0,-3.8274454572721495
2023-10-16,3042,3149,3028,3144,120840,92488,3050.4,3046.8,3053.75,2968.3333333333335,18.69930081936036,19.161331117908208,-0.46203029854784816,60.256410256410255,73.14285714285714,109.90322905078962,79162.95,804499,63562.25,18740.0,25.410858599555255
2023-10-17,3152,3192,3060,3095,219647,93614,3073.8,3051.3,3055.0,2973.5666666666666,20.442565797471616,19.41757805382089,1.0249877436507262,52.52525252525253,77.57142857142857,105.79126292046452,87047.9,584852,64469.35,1126.0,1.2174552374362158
2023-10-18,3092,3125,3070,3102,91565,92911,3085.8,3058.2,3057.1,2978.483333333333,22.13381253761645,19.96082495058,2.172987587036449,53.293413173652695,78.64285714285714,71.36339705144492,88157.75,676417,65418.2,-703.0,-0.7509560535817306
2023-10-19,3112,3135,3100,3125,124322,96741,3100.2,3066.7,3061.7,2983.55,25.04138405724416,20.976936771912833,4.064447285331326,58.82352941176471,75.78571428571429,91.64673608809464,90417.75,800739,66545.6,3830.0,4.122224494408622
2023-10-20,3120,3132,3062,3075,118430,87779,3108.2,3067.8,3060.45,2986.7833333333333,23.04542004490395,21.39063342651106,1.6547866183928903,49.196787148594375,74.64285714285714,42.21601150236431,92288.35,682309,67150.75,-8962.0,-9.263910854756519
2023-10-23,3079,3090,3037,3049,108080,84879,3089.2,3069.8,3061.1,2989.8,19.14493063301461,20.941492867811768,-1.7965622347971575,49.89816700610998,73.71428571428571,-4.107877426175638,89344.9,574229,67705.35,-2900.0,-3.3037514667517254
2023-10-24,3049,3082,3035,3082,79777,79752,3086.6,3080.2,3062.8,2993.1833333333334,18.503294419904705,20.453853178230357,-1.950558758325652,54.832347140039445,74.57142857142857,5.66107864454937,89840.3,654006,68039.4,-5127.0,-6.040363340755661
2023-10-25,3084,3108,3076,3100,84635,74029,3086.2,3086.0,3064.3,2996.733333333333,19.225621666956613,20.20820687597561,-0.9825852090189962,55.79150579150579,69.64285714285714,46.49288419510883,89100.8,738641,68154.6,-5723.0,-7.175995586317585
2023-10-26,3109,3144,3080,3094,114522,39628,3080.0,3090.1,3065.55,3000.3166666666666,19.09381969052174,19.98532943888484,-0.8915097483630987,53.0,69.92857142857143,58.39782744907912,91700.65,624119,66588.3,-34401.0,-46.46962676788826
2023-10-27,3082,3096,3062,3082,53069,30407,3081.4,3094.8,3067.75,3003.516666666667,17.8156976897194,19.551403089051753,-1.7357053993323532,55.55555555555556,66.92857142857143,18.717859770262393,88786.7,571050,64698.65,-9221.0,-23.268900777228218
2023-10-30,3070,3088,3050,3074,50236,25592,3086.4,3087.8,3067.3,3006.75,15.973115521686395,18.83574557557868,-2.8626300538922855,61.05990783410139,63.714285714285715,4.435433729302797,87311.6,520814,62781.1,-4815.0,-15.83516953333114
2023-10-31,3082,3086,3030,3046,47589,22610,3079.2,3082.9,3067.1,3009.45,12.113848973835047,17.491366255229956,-5.377517281394908,50.50251256281407,60.142857142857146,-19.734212584746796,85768.55,473225,61078.35,-2982.0,-11.65207877461707
2023-11-01,3039,3048,3015,3030,28067,19807,3065.2,3075.7,3066.95,3011.133333333333,7.675804254306968,15.528253855045358,-7.852449600738391,47.14640198511166,59.642857142857146,-51.8005376254458,83976.55,445158,60247.65,-2803.0,-12.397169394073416
2023-11-02,3025,3041,3008,3032,39515,69280,3052.8,3066.4,3066.55,3012.9666666666667,4.270774297362095,13.276757943508708,-9.005983646146612,49.6124031007752,57.357142857142854,-54.37510781335669,82917.4,484673,62224.05,49473.0,249.77533195334982
2023-11-03,3035,3054,3022,3041,49381,72814,3044.6,3063.0,3065.4,3015.4,2.2722947094730443,11.075865296701576,-8.803570587228531,32.05574912891987,51.0,-35.45619440753552,83439.1,534054,64600.2,3534.0,5.101039260969986
2023-11-06,3045,3085,3035,3070,54807,79571,3043.8,3065.1,3067.45,3018.7166666666667,2.994029565576966,9.459498150476655,-6.465468584899689,45.31835205992509,45.142857142857146,-3.4667538413712697,85197.15,588861,67430.55,6757.0,9.279808827972635
