时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2014-12-19,2800,2834,2784,2793,14562,2464,2793.0,2793.0,2793.0,2793.0,0.0,0.0,0.0,0.0,50.0,0.0,14562.0,0,2464.0,0.0,0.0
2014-12-22,2795,2834,2727,2738,13085,4066,2765.5,2765.5,2765.5,2765.5,-4.387464387464661,-0.8774928774929323,-3.5099715099717286,0.0,78.5,-35.35533905932738,13823.5,-13085,3265.0,1602.0,65.01623376623375
2014-12-23,2736,2760,2715,2740,9363,4332,2757.0,2757.0,2757.0,2757.0,-7.615392732202508,-2.2250728484348476,-5.390319883767661,3.5087719298245617,67.33333333333333,-47.45789978762557,12336.666666666666,-3722,3620.6666666666665,266.0,6.542056074766345
2014-12-24,2747,2760,2741,2752,4142,3861,2755.75,2755.75,2755.75,2755.75,-9.100346361473385,-3.600127551042555,-5.500218810430829,20.289855072463766,55.5,-24.434321203839865,10288.0,420,3680.75,-471.0,-10.872576177285321
2014-12-25,2750,2750,2665,2727,10130,4396,2750.0,2750.0,2750.0,2750.0,-12.154365913050242,-5.310975223444093,-6.843390689606149,14.893617021276597,61.8,-60.81781940400161,10256.4,-9710,3823.8,535.0,13.856513856513853
2014-12-26,2727,2738,2718,2721,4579,4558,2735.6,2745.1666666666665,2745.1666666666665,2745.1666666666665,-14.887237460148299,-7.226227670784935,-7.661009789363364,14.0,54.833333333333336,-37.570314692704734,9310.166666666666,-14289,3946.1666666666665,162.0,3.6851683348498643
2014-12-29,2722,2737,2720,2731,2703,4264,2734.2,2743.1428571428573,2743.1428571428573,2743.1428571428573,-16.061000211177543,-8.993182178863456,-7.0678180323140865,21.818181818181827,49.42857142857143,-28.93379397392223,8366.285714285714,-11586,3991.5714285714284,-294.0,-6.450197455024131
2014-12-30,2727,2733,2710,2721,4528,4098,2730.4,2740.375,2740.375,2740.375,-17.59530435843817,-10.7136066147784,-6.881697743659771,20.0,46.125,-37.884664193532174,7886.5,-16114,4004.875,-166.0,-3.8930581613508486
2014-12-31,2728,2728,2708,2713,2640,3760,2722.6,2737.3333333333335,2737.3333333333335,2737.3333333333335,-19.23505485149508,-12.417896262121735,-6.817158589373344,18.75,43.22222222222222,-41.82230971209467,7303.555555555556,-18754,3977.6666666666665,-338.0,-8.247925817471934
2015-01-01,2728,2728,2713,2713,2640,3760,2719.8,2734.9,2734.9,2734.9,-20.300556749456973,-13.994428359588783,-6.30612838986819,18.75,40.4,-35.980472647133645,6837.2,-18754,3955.9,0.0,0.0
