时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2000-01-04,18840,18880,18810,18830,4222,34422,18830.0,18830.0,18830.0,18830.0,0.0,0.0,0.0,0.0,70.0,0.0,4222.0,0,34422.0,0.0,0.0
2000-01-05,18890,18950,18840,18840,15348,39942,18835.0,18835.0,18835.0,18835.0,0.7977207977201033,0.15954415954402068,0.6381766381760826,99.999999998,95.0,35.35533905932562,9785.0,15348,37182.0,5520.0,16.036255882865614
2000-01-06,18940,18990,18940,18960,8490,40522,18876.666666666668,18876.666666666668,18876.666666666668,18876.666666666668,10.986274462055007,2.324890220046218,8.66138424200879,99.99999999976923,113.33333333333333,55.26315789473911,9353.333333333334,23838,38295.333333333336,580.0,1.45210555305193
2000-01-07,18940,19000,18930,18990,3808,40176,18905.0,18905.0,18905.0,18905.0,21.236722210898733,6.107256618216722,15.129465592682012,99.99999999975,102.5,45.88811651653618,7967.0,27646,38765.5,-346.0,-0.8538571640096748
2000-01-11,18900,18940,18870,18930,5550,41290,18910.0,18910.0,18910.0,18910.0,24.23936107724876,9.73367751002313,14.50568356722563,72.72727272727272,106.0,0.0,7483.6,22096,39270.4,1114.0,2.7727996814018274
2000-01-12,18970,18970,18910,18910,2730,41656,18926.0,18910.0,18910.0,18910.0,24.720182285047485,12.730978465028002,11.989203820019483,66.66666666666666,98.33333333333333,13.591132132879581,6691.333333333333,19366,39668.0,366.0,0.8864131751029403
2000-01-13,18980,19170,18980,19110,14090,43210,18980.0,18938.571428571428,18938.571428571428,18938.571428571428,40.76959853292283,18.33870247860697,22.43089605431586,81.81818181818181,121.42857142857143,91.86402878769135,7748.285714285715,33456,40174.0,1554.0,3.7305550220856576
2000-01-14,19060,19150,19060,19140,5628,43930,19016.0,18963.75,18963.75,18963.75,55.272479085728264,25.72545780003123,29.547021285697035,82.97872340425532,117.5,79.90101507134568,7483.25,39084,40643.5,720.0,1.6662809534829792
2000-01-17,19190,19220,19140,19200,8060,43766,19058.0,18990.0,18990.0,18990.0,70.79157377426964,34.73868099487891,36.052892779390724,84.90566037735849,113.33333333333333,85.03508695903277,7547.333333333333,47144,40990.444444444445,-164.0,-0.3733211928067415
2000-01-18,19240,19350,19230,19340,10618,42940,19140.0,19025.0,19025.0,19025.0,93.31175823082958,46.453296442069046,46.858461788760536,88.05970149253731,117.0,96.00297066452686,7854.4,57762,41185.4,-826.0,-1.887309783850477
2000-01-19,19360,19430,19300,19300,10372,41584,19218.0,19072.0,19050.0,19050.0,106.7015123408928,58.502939621833804,48.198572719059,83.09859154929578,118.18181818181819,85.4586290320401,8083.272727272727,47390,41221.63636363636,-1356.0,-3.157894736842104
2000-01-20,19430,19430,19290,19320,11736,41478,19260.0,19120.0,19072.5,19072.5,117.57153037765238,70.31665777299753,47.25487260465485,83.56164383561644,120.0,73.61850086752212,8387.666666666666,59126,41243.0,-106.0,-0.2549057329742199
2000-01-21,19280,19310,19260,19300,4604,40672,19292.0,19154.0,19090.0,19090.0,123.15263817992673,80.88385385438337,42.26878432554335,81.33333333333333,115.38461538461539,53.285891143926065,8096.615384615385,54522,41199.07692307692,-806.0,-1.9431988041853532
2000-01-24,19270,19340,19270,19340,3260,39798,19320.0,19189.0,19107.85714285714,19107.85714285714,129.31273531071565,90.56963014564984,38.74310516506581,82.27848101265823,112.14285714285714,55.335032849965174,7751.142857142857,57782,41099.0,-874.0,-2.148898505114083
2000-01-25,19200,19230,19150,19220,6900,37966,19296.0,19218.0,19115.333333333332,19115.333333333332,123.09272325864004,97.07424876824788,26.01847449039215,71.42857142857143,120.71428571428571,23.648917417511754,7694.4,50882,40890.13333333333,-1832.0,-4.603246394291172
2000-01-26,19180,19180,19100,19180,5580,35026,19272.0,19245.0,19119.375,19119.375,113.62584517501091,100.38456804960049,13.24127712541042,68.08510638297872,120.71428571428571,10.668871821401655,7562.25,45302,40523.625,-2940.0,-7.743770742243061
2000-01-27,19150,19260,19140,19230,3052,34650,19254.0,19257.0,19125.882352941175,19125.882352941175,108.90249801347454,102.0881540423753,6.814343971099248,65.51724137931035,118.57142857142857,25.560115796993994,7296.941176470588,48354,40178.117647058825,-376.0,-1.0734882658596456
2000-01-28,19500,19500,19440,19470,6010,37256,19288.0,19290.0,19145.0,19145.0,123.10611493234683,106.2917462203696,16.814368711977224,72.22222222222223,132.85714285714286,87.59641279466898,7225.444444444444,54364,40015.77777777778,2606.0,7.520923520923528
2000-01-31,19390,19390,19280,19310,11862,39166,19282.0,19301.0,19153.684210526317,19153.684210526317,120.0678533738319,109.04696765106208,11.020885722769819,66.10169491525424,137.85714285714286,47.01344522765304,7469.473684210527,42502,39971.05263157895,1910.0,5.126691002791506
2000-02-01,19420,19430,19380,19390,5560,39050,19316.0,19306.0,19165.5,19165.5,122.70092077529262,111.7777582759082,10.923162499384418,69.35483870967742,142.14285714285714,62.097545870914715,7374.0,48062,39925.0,-116.0,-0.29617525404688205
2000-02-02,19360,19420,19360,19380,5070,38858,19356.0,19314.0,19193.0,19175.714285714286,122.56784343142135,113.93577530701084,8.632068124410509,62.85714285714286,127.85714285714286,54.21457851302786,7416.4,42992,40146.8,-192.0,-0.4916773367477645
2000-02-14,19480,19560,19460,19540,13628,46030,19418.0,19336.0,19228.0,19192.272727272728,133.83032877817095,117.91468600124287,15.915642776928081,66.94915254237287,134.28571428571428,82.7264293868219,7330.4,56620,40451.2,7172.0,18.456945802666127
2000-02-15,19500,19540,19470,19480,8788,49384,19420.0,19354.0,19254.0,19204.782608695652,136.342756570888,121.6003001151719,14.742456455716109,61.86440677966102,133.57142857142858,69.16608874231382,7345.3,47832,40894.3,3354.0,7.286552248533562
2000-02-16,19210,19320,19180,19190,14498,52426,19396.0,19339.0,19264.0,19204.166666666668,113.6235161626646,120.00494332467045,-6.381427162005849,44.3609022556391,144.28571428571428,-9.413118332419195,7879.8,33334,41506.8,3042.0,6.159889842864086
2000-02-17,19220,19260,19180,19200,5982,52706,19358.0,19337.0,19277.5,19204.0,95.32640739653289,115.06923613904294,-19.742828742510056,46.15384615384615,140.71428571428572,-21.539083350596947,7901.4,39316,42077.6,280.0,0.5340861404646624
2000-02-18,19290,19300,19270,19280,4042,53190,19338.0,19347.0,19296.0,19206.923076923078,86.28649132738065,109.31268717671048,-23.026195849329838,48.52941176470589,137.85714285714286,-4.444073680456824,7967.0,43358,42654.3,484.0,0.9183015216483792
2000-02-21,19210,19250,19200,19220,3716,54250,19274.0,19346.0,19301.5,19207.40740740741,73.43428937773206,102.1370076169148,-28.702718239182744,47.142857142857146,139.28571428571428,-34.317713972195214,7448.3,39642,43206.3,1060.0,1.9928557999624008
