时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2014-03-21,3252,3336,3230,3324,93739,26015,3324.0,3324.0,3324.0,3324.0,0.0,0.0,0.0,0.0,106.0,0.0,93739.0,0,26015.0,0.0,0.0
2014-03-24,3314,3330,3266,3330,43405,23808,3327.0,3327.0,3327.0,3327.0,0.47863247863278957,0.09572649572655792,0.3829059829062317,99.99999999666667,85.0,35.35533905932738,68572.0,43405,24911.5,-2207.0,-8.483567172784934
2014-03-25,3326,3400,3320,3378,59927,30628,3344.0,3344.0,3344.0,3344.0,4.677234762704757,1.0120281491221976,3.665206613582559,99.99999999944444,83.33333333333333,56.97311503306043,65690.33333333333,103332,26817.0,6820.0,28.645833333333325
2014-03-26,3370,3382,3354,3376,18938,30280,3352.0,3352.0,3352.0,3352.0,7.753891996519997,2.3604009186017576,5.393491077918239,96.42857142857143,69.5,45.93909093401554,54002.25,84394,27682.75,-348.0,-1.1362152278960425
2014-03-27,3368,3386,3350,3362,20115,30715,3354.0,3354.0,3354.0,3354.0,8.959205874904455,3.6801619098622975,5.279043965042158,77.14285714285714,62.8,34.036278352438785,47224.8,64279,28289.2,435.0,1.4365918097754227
2014-03-28,3376,3386,3360,3382,17145,31540,3365.6,3358.6666666666665,3358.6666666666665,3358.6666666666665,11.396882493298108,5.22350602654946,6.173376466748648,82.22222222222223,56.666666666666664,40.95126664736025,42211.5,81424,28831.0,825.0,2.685984046882628
2014-03-31,3396,3422,3382,3410,30485,32820,3381.6,3366.0,3366.0,3366.0,15.410482322600728,7.260901285759714,8.149581036841013,86.4406779661017,54.285714285714285,63.64552679320873,40536.28571428572,111909,29400.85714285714,1280.0,4.05833861762841
2014-04-01,3412,3418,3396,3414,8948,32068,3388.8,3372.0,3372.0,3372.0,18.698510880343292,9.54842320467643,9.150087675666862,86.88524590163934,50.25,58.141147366250166,36587.75,120857,29734.25,-752.0,-2.291285801340648
2014-04-02,3410,3426,3388,3390,14285,34350,3391.6,3374.0,3374.0,3374.0,19.14698327310134,11.468135218361413,7.6788480547399285,72.6027397260274,48.888888888888886,43.36807348909414,34109.666666666664,106572,30247.11111111111,2282.0,7.116128227516527
2014-04-03,3384,3414,3382,3410,10353,34205,3401.2,3377.6,3377.6,3377.6,20.8755928882465,13.34962675233843,7.525966135908071,75.90361445783132,47.2,40.45260337229954,31734.0,116925,30642.9,-145.0,-0.42212518195050563
2014-04-04,3412,3440,3402,3440,10680,35047,3412.8,3389.2,3383.2727272727275,3383.2727272727275,24.385180559505898,15.556737513771925,8.828443045733973,79.59183673469389,46.36363636363637,63.17664060827628,29820.0,127605,31043.272727272728,842.0,2.4616284168981206
2014-04-07,3450,3488,3442,3480,20143,40436,3426.8,3404.2,3391.3333333333335,3391.3333333333335,30.047846905255483,18.454959392068638,11.592887513186845,83.05084745762711,46.5,90.73814325593884,29013.583333333332,147748,31826.0,5389.0,15.376494421776465
2014-04-09,3488,3488,3444,3452,16451,40917,3434.4,3411.6,3396.0,3396.0,31.90836501767808,21.14564051719053,10.76272450048755,74.24242424242425,46.30769230769231,71.17865481529518,28047.23076923077,131297,32525.30769230769,481.0,1.1895340785438746
2014-04-10,3450,3470,3442,3446,9815,40616,3445.6,3418.6,3399.5714285714284,3399.5714285714284,32.523775333476806,23.42126748044779,9.102507853029017,72.5925925925926,45.0,57.15487733739355,26744.928571428572,121482,33103.21428571428,-301.0,-0.7356355549038351
2014-04-11,3430,3452,3430,3434,6550,38420,3450.4,3425.8,3401.866666666667,3401.866666666667,31.67802814119932,25.072619612598096,6.605408528601224,69.50354609929079,39.0,41.09578724127953,25398.6,114932,33457.666666666664,-2196.0,-5.406736261571798
2014-04-14,3432,3464,3432,3438,6321,38510,3450.0,3431.4,3404.125,3404.125,30.973490846496134,26.252793859377704,4.72069698711843,69.28571428571428,36.714285714285715,44.29812073288652,24206.25,121253,33773.4375,90.0,0.23425299323269755
2014-04-15,3442,3448,3418,3448,10362,37762,3443.6,3435.2,3406.705882352941,3406.705882352941,30.86624948059989,27.17548498362214,3.6907644969777493,64.46280991735537,33.142857142857146,36.03083958311303,23391.882352941175,131615,34008.05882352941,-748.0,-1.9423526356790455
2014-04-16,3446,3446,3410,3418,9269,34076,3436.8,3435.6,3407.3333333333335,3407.3333333333335,28.037313943437766,27.34785077558527,0.6894631678524981,57.77777777777777,33.857142857142854,21.95217871671969,22607.277777777777,122346,34011.833333333336,-3686.0,-9.761135533075581
2014-04-17,3428,3428,3410,3412,2795,33702,3430.0,3437.8,3407.5789473684213,3407.5789473684213,25.022765429212086,26.882833706310635,-1.8600682770985486,59.54198473282443,32.57142857142857,13.374452798184437,21564.526315789473,119551,33995.52631578947,-374.0,-1.0975466604061457
2014-04-18,3410,3412,3346,3354,25880,33249,3414.0,3432.2,3404.9,3404.9,17.74899932343169,25.05606682973485,-7.307067506303159,45.33333333333333,35.42857142857143,-33.7857994877276,21780.3,93671,33958.2,-453.0,-1.3441338792949953
2014-04-21,3340,3364,3340,3340,4146,32418,3394.4,3422.2,3405.7,3401.809523809524,10.731102809518688,22.19107402569162,-11.459971216172931,37.76223776223777,34.285714285714285,-67.91888932110719,17300.65,89525,34278.35,-831.0,-2.4993232879184313
2014-04-22,3340,3366,3324,3354,11979,30475,3375.6,3409.6,3406.9,3399.6363636363635,6.227268186828951,18.99831285791909,-12.771044671090138,39.86486486486487,35.714285714285715,-77.74627651213083,15729.35,101504,34611.7,-1943.0,-5.993583811462766
2014-04-23,3358,3388,3336,3380,9922,29460,3368.0,3402.4,3407.0,3398.782608695652,4.70173088202273,16.13899646273982,-11.437265580717089,48.322147651006716,36.714285714285715,-51.60063615576169,13229.1,111426,34553.3,-1015.0,-3.330598851517641
2014-04-24,3376,3396,3366,3390,6324,29043,3363.6,3396.8,3407.7,3398.4166666666665,4.250649165926006,13.761327003377056,-9.51067783745105,46.52777777777778,36.57142857142857,-31.75059612503689,12598.4,117750,34491.45,-417.0,-1.4154786150712861
2014-04-25,3398,3400,3372,3378,4283,29285,3368.4,3391.2,3408.5,3397.6,2.8915321613953893,11.587368034980724,-8.695835873585334,38.51851851851852,35.857142857142854,-34.58426051695446,11806.8,113467,34419.95,242.0,0.8332472540715452
2014-04-28,3372,3372,3334,3336,8677,28315,3367.6,3381.0,3406.2,3395.230769230769,-1.55668238245471,8.958557951493638,-10.515240333948348,23.529411764705884,35.57142857142857,-78.13732814368156,11383.4,104790,34258.7,-970.0,-3.312275909168516
2014-04-29,3334,3374,3334,3360,4368,27846,3368.8,3372.2,3403.7,3393.925925925926,-3.1094808725661096,6.544950186681689,-9.654431059247798,32.83582089552239,35.285714285714285,-60.9419486813535,10077.55,109158,34010.0,-469.0,-1.6563658838071649
2014-04-30,3370,3370,3338,3344,4974,27605,3361.6,3364.8,3400.2,3392.1428571428573,-5.5669784830793105,4.122564452729489,-9.689542935808799,31.654676258992808,35.57142857142857,-61.25852662707544,9878.85,104184,33786.85,-241.0,-0.8654743948861565
2014-05-01,3334,3362,3224,3352,5784,26863,3354.0,3358.8,3398.3,3390.7586206896553,-6.790750360455149,1.9399014900925613,-8.73065185054771,35.036496350364956,43.857142857142854,-91.63932113865866,9453.8,109968,33412.5,-742.0,-2.687918855279836
2014-05-06,3342,3364,3336,3344,2361,26490,3347.2,3357.8,3395.0,3389.2,-8.310335160559134,-0.11014584003777772,-8.200189320521357,33.093525179856115,43.57142857142857,-49.07552322880368,9054.2,107607,33026.75,-373.0,-1.3885269701820357
2014-05-07,3338,3358,3330,3332,4766,26392,3346.4,3357.0,3389.6,3387.3548387096776,-10.363453335448867,-2.1608073391199953,-8.202645996328872,29.285714285714292,43.42857142857143,-51.99217066830633,8758.5,102841,32594.0,-98.0,-0.36995092487731585
2014-05-08,3330,3338,3310,3312,6649,24822,3336.8,3352.8,3381.2,3385.0,-13.449361269218116,-4.41851812513962,-9.030843144078496,30.370370370370367,42.714285714285715,-66.92468318781262,8083.8,96192,31813.3,-1570.0,-5.948772355259169
2014-05-09,3312,3330,3302,3318,4806,24675,3331.6,3346.6,3374.5,3382.969696969697,-15.235193852436169,-6.5818532705989305,-8.653340581837238,32.592592592592595,43.42857142857143,-65.04813000902402,7501.55,100998,31001.2,-147.0,-0.5922165820642977
2014-05-12,3332,3336,3298,3336,5756,24132,3328.4,3341.2,3369.0,3381.5882352941176,-15.024832556068759,-8.270449127692896,-6.7543834283758635,46.086956521739125,41.42857142857143,-53.40423263360719,7298.6,106754,30177.0,-543.0,-2.200607902735563
2014-05-13,3336,3346,3320,3326,3347,23913,3324.8,3336.0,3363.6,3380.0,-15.486517209273643,-9.713662744009046,-5.772854465264597,46.902654867256636,41.57142857142857,-40.918372448222065,7138.45,103407,29451.65,-219.0,-0.9075087021382378
2014-05-14,3326,3330,3314,3324,3872,22508,3323.2,3334.8,3357.9,3378.4444444444443,-15.831295587604927,-10.937189312728222,-4.894106274876705,42.99065420560748,39.714285714285715,-47.91179563425855,7016.0,99535,28651.55,-1405.0,-5.875465228118593
2014-05-15,3324,3328,3298,3300,2333,22369,3320.8,3328.8,3350.5,3376.324324324324,-17.835537387293698,-12.316858927641317,-5.5186784596523815,31.132075471698116,38.142857142857146,-65.04735976259082,6614.55,97202,27881.9,-139.0,-0.6175582015283454
2014-05-16,3294,3300,3240,3272,5949,22089,3311.6,3321.6,3343.2,3373.5789473684213,-21.436176547878404,-14.140722451688735,-7.295454096189669,24.34782608695653,40.285714285714285,-112.04889780291673,6448.55,91253,27282.55,-280.0,-1.2517323081049692
2014-05-19,3262,3284,3250,3264,3701,21930,3297.2,3312.8,3335.8,3370.769230769231,-24.651079861180733,-16.242793933587137,-8.408285927593596,24.778761061946895,40.714285714285715,-109.11946349070635,6493.85,87552,26693.95,-159.0,-0.7198152926796153
2014-05-20,3260,3276,3254,3262,1613,21896,3284.4,3304.6,3331.2,3368.05,-27.048498925891636,-18.40393493204804,-8.644563993843597,30.107526881720432,39.142857142857146,-95.92889067037315,5280.5,85939,26126.3,-34.0,-0.15503875968991832
2014-05-21,3264,3284,3254,3274,2538,22028,3274.4,3298.8,3327.9,3365.756097560976,-27.661308746666236,-20.25540969497168,-7.405899051694558,25.28735632183907,38.42857142857143,-75.92958741377217,5200.1,88477,25606.8,132.0,0.6028498355864054
2014-05-22,3272,3314,3272,3280,2835,22015,3270.4,3295.6,3324.2,3363.714285714286,-27.347569332781404,-21.673841622533622,-5.673727710247782,30.487804878048777,39.142857142857146,-46.7289687768781,4742.9,91312,25183.8,-13.0,-0.059015798075179315
2014-05-23,3286,3294,3276,3282,1239,21923,3272.4,3292.0,3319.3,3361.813953488372,-26.630564728366608,-22.665186243700223,-3.9653784846663847,27.84810126582279,30.571428571428573,-48.042242728988505,4308.75,92551,24806.95,-92.0,-0.4178968884851253
2014-05-26,3288,3330,3286,3326,3263,21979,3284.8,3291.0,3316.1,3361.0,-22.25535525506939,-22.58322004597406,0.3278647909046697,45.36082474226804,32.0,-2.8306229231737077,4155.7,95814,24453.75,56.0,0.25543949277015976
2014-05-27,3332,3370,3320,3340,8607,23904,3300.4,3292.4,3314.2,3360.5333333333333,-17.457053186189114,-21.557986674017073,4.100933487827959,52.0408163265306,33.57142857142857,48.455052456579615,4371.9,104421,24184.7,1925.0,8.758360252968744
2014-05-28,3300,3342,3300,3312,3344,23700,3308.0,3291.2,3313.0,3359.478260869565,-15.732377169987558,-20.392864773211173,4.660487603223615,50.0,34.57142857142857,9.478778499069904,4105.25,101077,23953.95,-204.0,-0.8534136546184734
2014-05-29,3308,3324,3300,3308,2848,23502,3313.6,3292.0,3310.4,3358.3829787234044,-14.520937246524227,-19.218479267873786,4.697542021349559,47.524752475247524,34.285714285714285,0.9085843052248757,4029.25,98229,23736.75,-198.0,-0.8354430379746813
