时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2013-11-11,4050,4078,3970,3976,132275,19471,3976.0,3976.0,3976.0,3976.0,0.0,0.0,0.0,0.0,108.0,0.0,132275.0,0,19471.0,0.0,0.0
2013-11-12,3982,3983,3932,3941,74430,22066,3958.5,3958.5,3958.5,3958.5,-2.7920227920226353,-0.5584045584045271,-2.2336182336181083,0.0,79.5,-35.35533905932738,103352.5,-74430,20768.5,2595.0,13.327512711211554
2013-11-13,3940,3970,3932,3951,46698,19406,3956.0,3956.0,3956.0,3956.0,-4.149966315208076,-1.2767169097652369,-2.873249405442839,22.22222222222223,65.66666666666667,-29.63042708093934,84467.66666666667,-27732,20314.333333333332,-2660.0,-12.054744856340072
2013-11-14,3946,3970,3935,3952,31074,18300,3955.0,3955.0,3955.0,3955.0,-5.0868170377589195,-2.0387369353639735,-3.048080102394946,23.913043478260875,58.0,-24.006982469867012,71119.25,3342,19810.75,-1106.0,-5.69926826754612
2013-11-15,3958,3963,3939,3957,18659,16116,3955.4,3955.4,3955.4,3955.4,-5.363987067816652,-2.7037869618545094,-2.6602001059621423,31.372549019607845,51.2,-20.51929381966446,60627.2,22001,19071.8,-2184.0,-11.9344262295082
2013-11-18,3955,4015,3954,4013,66756,21549,3962.8,3965.0,3965.0,3965.0,-1.0527785492827206,-2.3735852793401517,1.320806730057431,67.28971962616822,52.833333333333336,49.917179145149646,61648.666666666664,88757,19484.666666666668,5433.0,33.71183916604616
2013-11-19,4015,4039,4003,4029,54093,25088,3980.4,3974.1428571428573,3974.1428571428573,3974.1428571428573,3.613299675201233,-1.1762082884318747,4.789507963633108,71.54471544715447,50.42857142857143,75.48636386132146,60569.28571428572,142850,20285.14285714286,3539.0,16.423035871734193
2013-11-20,4025,4036,4012,4023,31133,21500,3994.8,3980.25,3980.25,3980.25,6.749249284980124,0.4088832262505251,6.3403660587295985,68.2170542635659,47.125,61.806413225912834,56889.75,111717,20437.0,-3588.0,-14.301658163265307
2013-11-21,4025,4048,4016,4036,29806,21762,4011.6,3986.4444444444443,3986.4444444444443,3986.4444444444443,10.16631237771253,2.3603690565429263,7.805943321169603,71.12676056338029,45.44444444444444,63.64327041084826,53880.444444444445,141523,20584.222222222223,262.0,1.2186046511627913
2013-11-22,4039,4039,4005,4010,20370,17962,4022.2,3988.8,3988.8,3988.8,10.653569075691848,4.019009060372711,6.6345600153191375,60.11904761904762,44.3,38.73476619530959,50529.4,121153,20322.0,-3800.0,-17.461630364856173
