时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2007-08-01,12780,12900,12435,12580,18165,0,12580.0,12580.0,12580.0,12580.0,0.0,0.0,0.0,0.0,465.0,0.0,18165.0,0,0.0,0.0,0.0
2007-08-02,12650,12650,12390,12450,3531,0,12515.0,12515.0,12515.0,12515.0,-10.370370370370438,-2.0740740740740877,-8.296296296296351,0.0,362.5,-35.35533905932738,10848.0,-3531,0.0,0.0,0.0
2007-08-03,12410,12490,12300,12460,3305,0,12496.666666666666,12496.666666666666,12496.666666666666,12496.666666666666,-17.57940276458976,-5.175139812177222,-12.404262952412537,7.142857142857139,305.0,-44.7893587623085,8333.666666666666,-226,0.0,0.0,0.0
2007-08-06,12440,12560,12410,12495,3011,0,12496.25,12496.25,12496.25,12496.25,-20.23514720148887,-8.187141290039552,-12.04800591144932,25.714285714285722,266.25,-11.67560014011932,7003.0,2785,0.0,0.0,0.0
2007-08-07,12420,12670,12420,12550,3887,0,12507.0,12507.0,12507.0,12507.0,-17.697794299327143,-10.08927189189707,-7.608522407430073,43.47826086956522,263.0,17.88374098077366,6379.8,6672,0.0,0.0,0.0
2007-08-08,12455,12570,12440,12515,2105,0,12494.0,12508.333333333334,12508.333333333334,12508.333333333334,-18.30017827285519,-11.731453168088695,-6.5687251047664965,37.73584905660377,240.83333333333334,-5.1058621719021176,5667.333333333333,4567,0.0,0.0,0.0
2007-08-09,12540,12640,12540,12580,1616,0,12520.0,12518.57142857143,12518.57142857143,12518.57142857143,-13.378397303136808,-12.060841995098318,-1.3175553080384894,50.0,224.28571428571428,42.049676479665756,5088.571428571428,6183,0.0,0.0,0.0
2007-08-10,12575,12795,12560,12770,2948,0,12582.0,12550.0,12550.0,12550.0,5.786854423033219,-8.491302711472011,14.27815713450523,68.26923076923077,225.625,85.91579032311529,4821.0,9131,0.0,0.0,0.0
2007-08-13,12710,12850,12620,12700,4677,0,12623.0,12566.666666666666,12566.666666666666,12566.666666666666,15.152372391707104,-3.7625676908361885,18.914940082543293,60.16949152542372,226.11111111111111,74.20579782787264,4805.0,4454,0.0,0.0,0.0
2007-08-14,12745,12780,12660,12685,1958,0,12650.0,12578.5,12578.5,12578.5,21.120771114834497,1.2141000702979485,19.906671044536548,58.67768595041322,215.5,58.36052680077424,4520.3,2496,0.0,0.0,0.0
2007-08-15,12665,12680,12525,12530,2181,0,12653.0,12573.5,12574.09090909091,12574.09090909091,13.191502067544207,3.6095804697472005,9.581921597797006,46.71052631578947,210.45454545454547,-1.6990636018513003,4307.636363636364,315,0.0,0.0,0.0
2007-08-16,12530,12600,12520,12565,1895,0,12650.0,12585.0,12573.333333333334,12573.333333333334,9.620804072459578,4.811825190289676,4.808978882169901,49.056603773584904,199.58333333333334,-9.429181461553144,4106.583333333333,2210,0.0,0.0,0.0
2007-08-17,12595,12620,12510,12515,1949,0,12599.0,12590.5,12568.846153846154,12568.846153846154,2.725005881751713,4.394461328582084,-1.669455446830371,46.15384615384615,192.69230769230768,-15.583939261173015,3940.6153846153848,261,0.0,0.0,0.0
2007-08-20,12480,12555,12320,12495,2767,0,12558.0,12590.5,12563.57142857143,12563.57142857143,-4.3041808019261225,2.654732902480443,-6.958913704406566,45.08670520231214,195.71428571428572,-58.46634409082171,3856.785714285714,-2506,0.0,0.0,0.0
2007-08-21,12520,12580,12505,12555,2228,0,12532.0,12591.0,12563.0,12563.0,-4.976003066327394,1.1285857087188753,-6.104588775046269,48.64864864864865,168.57142857142858,-11.255818888697746,3748.2,-278,0.0,0.0,0.0
2007-08-22,12530,12550,12500,12530,1538,0,12532.0,12592.5,12560.9375,12560.9375,-7.439954947934893,-0.5851224226118784,-6.854832525323015,54.878048780487816,153.92857142857142,-21.24294027139341,3610.0625,-1816,0.0,0.0,0.0
2007-08-23,12495,12550,12485,12545,1452,0,12528.0,12589.0,12560.0,12560.0,-8.089034570870353,-2.0859048522635737,-6.00312971860678,55.151515151515156,145.0,-20.533099270920843,3483.1176470588234,-364,0.0,0.0,0.0
