时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2021-01-08,29500,30680,26385,26810,91056,14984,26810.0,26810.0,26810.0,26810.0,0.0,0.0,0.0,0.0,4295.0,0.0,91056.0,0,14984.0,0.0,0.0
2021-01-11,26225,26720,26030,26030,23026,17600,26420.0,26420.0,26420.0,26420.0,-62.222222222222626,-12.444444444444526,-49.7777777777781,0.0,2537.5,-35.355339059327335,57041.0,-23026,16292.0,2616.0,17.458622530699408
2021-01-12,25760,26210,25205,25560,39402,17194,26133.333333333332,26133.333333333332,26133.333333333332,26133.333333333332,-147.75561886673313,-39.50667932890225,-108.24893953783088,0.0,2026.6666666666667,-40.544884866812126,51161.333333333336,-62428,16592.666666666668,-406.0,-2.306818181818182
2021-01-13,25830,26350,25715,25870,16470,17050,26067.5,26067.5,26067.5,26067.5,-188.35579437035994,-69.27650233719379,-119.07929203316615,19.871794871794876,1717.5,-23.64982732476775,42488.5,-45958,16707.0,-144.0,-0.8375014539955816
2021-01-14,25805,26155,24860,24890,24216,18719,25832.0,25832.0,25832.0,25832.0,-296.1951820798058,-114.6602382857162,-181.5349437940896,12.204724409448815,1633.0,-45.14877014235264,38834.0,-70174,17109.4,1669.0,9.788856304985337
2021-01-15,25155,25155,24460,24725,20257,18594,25415.0,25647.5,25647.5,25647.5,-390.4716803469819,-169.82252669796935,-220.64915364901253,11.46025878003698,1476.6666666666667,-55.22507858382179,35737.833333333336,-90431,17356.833333333332,-125.0,-0.6677707142475509
2021-01-18,24825,25780,24805,25140,19855,18535,25237.0,25575.0,25575.0,25575.0,-426.7798008657446,-221.2139815315244,-205.5658193342202,23.23717948717949,1416.4285714285713,-30.85077424705175,33468.857142857145,-70576,17525.14285714286,-59.0,-0.3173066580617445
2021-01-19,25185,25390,24880,25025,8816,17800,25130.0,25506.25,25506.25,25506.25,-459.53653573524934,-268.8784923722694,-190.65804336297992,22.41112828438949,1303.125,-34.28121566086354,30387.25,-79392,17559.5,-735.0,-3.9654707310493698
2021-01-20,25005,25090,24500,24910,7832,17573,24938.0,25440.0,25440.0,25440.0,-489.13754982691535,-312.9303038631986,-176.20724596371673,21.641791044776113,1223.888888888889,-42.76946801443201,27881.11111111111,-87224,17561.0,-227.0,-1.2752808988764075
2021-01-21,24910,25185,24800,24870,6694,17278,24934.0,25383.0,25383.0,25383.0,-509.94589363289197,-352.3334218171373,-157.61247181575465,21.38643067846607,1140.0,-34.091247053407564,25762.4,-93918,17532.7,-295.0,-1.6787116599328522
2021-01-22,24860,25045,24530,24565,8147,17412,24902.0,25158.5,25308.636363636364,25308.636363636364,-544.7678622144122,-390.8203098965923,-153.94755231781988,19.621109607577807,1083.1818181818182,-42.73642781859257,24161.0,-102065,17521.727272727272,134.0,0.7755527260099537
2021-01-25,24510,25300,24510,24930,10872,16900,24860.0,25048.5,25277.083333333332,25277.083333333332,-536.7250414482041,-420.00125620691466,-116.72378524128948,26.847290640394093,1058.75,-30.390501157554628,23053.583333333332,-91193,17469.916666666668,-512.0,-2.940500804043189
2021-01-26,25100,25770,24925,25555,17784,17980,24966.0,25048.0,25298.46153846154,25298.46153846154,-474.44961160062303,-430.8909272856564,-43.55868431496663,36.60618996798292,1042.3076923076924,-2.9970286445277483,22648.23076923077,-73409,17509.153846153848,1080.0,6.390532544378691
2021-01-27,25610,25645,25200,25275,8352,17942,25039.0,24988.5,25296.785714285714,25296.785714285714,-442.5876695650477,-433.2302757415347,-9.357393823513007,34.541792547834845,999.6428571428571,-5.264748359050125,21627.071428571428,-81761,17540.071428571428,-38.0,-0.21134593993326067
2021-01-28,25150,25535,25020,25190,8710,17581,25103.0,25018.5,25289.666666666668,25289.666666666668,-419.3615022201957,-430.4565210372669,11.095018817071207,33.960396039603964,729.6428571428571,-12.200811717310069,20765.933333333334,-90471,17542.8,-361.0,-2.0120387916620186
2021-01-29,25295,25620,25280,25570,8596,17760,25304.0,25103.0,25307.1875,25307.1875,-366.07192379080516,-417.5796015879746,51.507677797169436,45.053763440860216,704.6428571428571,2.45845445973092,20005.3125,-81875,17556.375,179.0,1.0181445879074102
2021-02-01,25600,25970,25420,25685,6161,18539,25455.0,25157.5,25329.41176470588,25329.41176470588,-310.97528059067554,-396.25873738851476,85.28345679783922,51.455180442374854,672.1428571428571,14.71753185114847,19190.941176470587,-75714,17614.176470588234,779.0,4.386261261261271
2021-02-02,25700,26040,25300,25380,11849,18831,25420.0,25193.0,25332.222222222223,25332.222222222223,-288.5950013815673,-374.7259901871253,86.13098880555805,44.28904428904429,668.5714285714286,6.837326950391584,18783.055555555555,-87563,17681.777777777777,292.0,1.575057985867634
2021-02-03,25300,25555,25210,25315,7046,18399,25428.0,25233.5,25331.315789473683,25331.315789473683,-272.9569478544108,-354.3721817205825,81.41523386617166,56.2962962962963,600.7142857142857,-7.252979032729695,18165.315789473683,-94609,17719.526315789473,-432.0,-2.2940895332165034
