时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2020-06-22,2570,2763,2570,2599,130439,24859,2599.0,2599.0,2599.0,2599.0,0.0,0.0,0.0,0.0,193.0,0.0,130439.0,0,24859.0,0.0,0.0
2020-06-23,2611,2679,2602,2649,144505,33377,2624.0,2624.0,2624.0,2624.0,3.9886039886041544,0.7977207977208309,3.1908831908833237,99.9999999996,136.5,-35.35533905933943,137472.0,144505,29118.0,8518.0,34.26525604408865
2020-06-24,2660,2672,2588,2603,79323,34207,2617.0,2617.0,2617.0,2617.0,3.3986087775260785,1.3178983936818804,2.080710383844198,52.08333333333333,119.0,-57.71630710428439,118089.0,65182,30814.333333333332,830.0,2.4867423674985734
2020-06-29,2577,2577,2486,2514,63816,42496,2591.25,2591.25,2591.25,2591.25,-4.20208386679451,0.21390194158660236,-4.415985808381112,27.027027027027017,118.5,-73.6333736805339,104520.75,1366,33734.75,8289.0,24.231882363258972
2020-06-30,2540,2568,2522,2534,42512,40329,2579.8,2579.8,2579.8,2579.8,-8.513713900188122,-1.5316212267683427,-6.98209267341978,34.14634146341464,105.6,-46.94647385007246,92119.0,43878,35053.6,-2167.0,-5.099303463855421
2020-07-01,2526,2568,2516,2553,28865,39329,2570.6,2575.3333333333335,2575.3333333333335,2575.3333333333335,-10.279079722360166,-3.2811129258867076,-6.997966796473458,39.73214285714286,96.66666666666667,-37.413181575818406,81576.66666666667,72743,35766.166666666664,-1000.0,-2.479605246844707
2020-07-02,2526,2575,2526,2553,39078,41683,2551.4,2572.1428571428573,2572.1428571428573,2572.1428571428573,-11.545060583351187,-4.933902457379604,-6.611158125971583,39.732142857142854,89.85714285714286,-29.267119634018293,75505.42857142857,72743,36611.42857142857,2354.0,5.9854051717562085
2020-07-03,2560,2613,2560,2589,43286,39595,2548.6,2574.25,2574.25,2574.25,-9.533563416511242,-5.853834649205932,-3.6797287673053107,48.07692307692308,86.125,5.060378363547084,71478.0,116029,36984.375,-2088.0,-5.009236379339299
2020-07-06,2576,2612,2565,2601,30837,37478,2566.0,2577.222222222222,2577.222222222222,2577.222222222222,-6.891694543157428,-6.061406627996232,-0.8302879151611959,50.367647058823536,81.77777777777777,10.040878199476847,66962.33333333333,146866,37039.22222222222,-2117.0,-5.346634676095463
2020-07-07,2600,2609,2555,2574,26882,37095,2574.0,2576.9,2576.9,2576.9,-6.897162582060901,-6.228557818809166,-0.6686047632517349,45.819397993311036,79.0,-4.496817651179138,62954.3,119984,37044.8,-383.0,-1.0219328672821382
