时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2015-03-27,101870,102710,100650,101080,14430,7182,101080.0,101080.0,101080.0,101080.0,0.0,0.0,0.0,0.0,2060.0,0.0,14430.0,0,7182.0,0.0,0.0
2015-03-30,99010,100000,96820,98430,33342,17093,99755.0,99755.0,99755.0,99755.0,-211.39601139602019,-42.27920227920404,-169.11680911681614,0.0,3160.0,-35.355339059327456,23886.0,-33342,12137.5,9911.0,137.99777220829853
2015-03-31,98000,98200,93840,95040,52800,27444,98183.33333333333,98183.33333333333,98183.33333333333,98183.33333333333,-645.0379461205739,-162.830951047478,-482.20699507309587,0.0,3636.6666666666665,-48.992556426717144,33524.0,-86142,17239.666666666668,10351.0,60.55695313871175
2015-04-01,93940,94130,91270,92500,79476,35480,96762.5,96762.5,96762.5,96762.5,-1180.0561235130735,-366.27598554059716,-813.7801379724764,0.0,3670.0,-58.51585934434615,45012.0,-165618,21799.75,8036.0,29.281445853374134
2015-04-02,92870,96600,92550,96160,101424,40362,96642.0,96642.0,96642.0,96642.0,-1293.8161642221676,-551.7840212769113,-742.0321429452563,29.90196078431373,3756.0,-23.05806073759205,56294.4,-64194,25512.2,4882.0,13.75986471251409
2015-04-03,96000,97800,95660,97300,75141,40499,95886.0,96751.66666666667,96751.66666666667,96751.66666666667,-1277.2598865529726,-696.8791943321236,-580.380692220849,35.87443946188341,3486.6666666666665,3.50051564365777,59435.5,10947,28010.0,137.0,0.3394281750161099
2015-04-07,97500,97980,95950,96420,37844,41771,95484.0,96704.28571428571,96704.28571428571,96704.28571428571,-1319.9322059112455,-821.489796647948,-498.4424092632976,33.66058906030855,3278.5714285714284,1.1701142713578623,56351.0,-26897,29975.85714285714,1272.0,3.140818291809677
2015-04-08,94500,95630,93300,93950,91544,47551,95266.0,96360.0,96360.0,96360.0,-1535.3600093297136,-964.2638391843012,-571.0961701454124,28.69097429766886,3258.75,-39.27270780251412,60750.125,-118441,32172.75,5780.0,13.837351272413878
2015-04-09,94450,95260,93880,94300,80487,49542,95626.0,96131.11111111111,96131.11111111111,96131.11111111111,-1658.7252683119295,-1103.156125009827,-555.5691433021025,30.15222482435597,3050.0,-32.97902949221849,62943.11111111111,-37954,34102.666666666664,1991.0,4.187083342095854
2015-04-10,94500,94970,93180,94540,68861,52814,95302.0,95972.0,95972.0,95972.0,-1717.3308100408758,-1225.9910620160367,-491.3397480248391,31.120092378752886,2924.0,-34.951898933308165,63534.9,30907,35973.8,3272.0,6.604497194299785
2015-04-13,94280,95670,93700,95230,90107,56429,94888.0,95387.0,95904.54545454546,95904.54545454546,-1688.6333762383147,-1318.5195248604923,-370.11385137782236,33.759022765130496,2837.2727272727275,-21.253969649066033,65950.54545454546,121014,37833.36363636364,3615.0,6.844776006361952
2015-04-14,94780,95070,92810,93100,99575,63845,94224.0,94854.0,95670.83333333333,95670.83333333333,-1816.8204765213304,-1418.17971519266,-398.64076132867035,30.188679245283026,2802.5,-42.665768542759906,68752.58333333333,21439,40001.0,7416.0,13.142178666997474
2015-04-15,92700,95000,92640,94730,110053,66129,94380.0,94823.0,95598.46153846153,95598.46153846153,-1766.518968463628,-1487.8475658468537,-278.67140261677423,35.41570969223703,2768.4615384615386,-31.28496775914245,71929.53846153847,131492,42010.846153846156,2284.0,3.577414049651506
2015-04-16,94610,95900,94260,95400,97960,65812,94600.0,95113.0,95584.28571428571,95584.28571428571,-1653.530391284934,-1520.9841309344697,-132.5462603504643,37.3440285204991,2687.8571428571427,-8.320806013672783,73788.85714285714,229452,43710.92857142857,-317.0,-0.47936608749564735
2015-04-17,96280,96660,95010,95850,84351,63642,94862.0,95082.0,95602.0,95602.0,-1510.2654901758797,-1518.8404027827517,8.574912606871976,38.57579729139362,2658.5714285714284,5.960701436220929,74493.0,313803,45039.666666666664,-2170.0,-3.297271014404668
2015-04-20,95980,96550,95200,95410,74052,58205,94898.0,94893.0,95590.0,95590.0,-1415.9096218975465,-1498.2542466057107,82.34462470816425,42.698259187620884,2450.714285714286,3.1073294087480106,74465.4375,239751,45862.5,-5437.0,-8.543100468244235
2015-04-21,95330,96800,94900,95880,70465,55276,95454.0,94839.0,95607.05882352941,95607.05882352941,-1288.3554843928869,-1456.274494163146,167.9190097702592,52.36486486486486,2258.5714285714284,6.254442144457299,74230.11764705883,310216,46416.23529411765,-2929.0,-5.032213727343016
2015-04-22,95910,96720,95750,96330,61951,55258,95774.0,95077.0,95647.22222222222,95647.22222222222,-1137.8403568961512,-1392.5876667097473,254.74730981359608,62.2208040842374,2058.5714285714284,15.76117466704943,73547.94444444444,372167,46907.444444444445,-18.0,-0.032563861350309864
2015-04-23,96120,96500,95600,95860,50533,55323,95866.0,95233.0,95658.42105263157,95658.42105263157,-1044.441435274537,-1322.9584204227053,278.51698514816826,48.79807692307692,1830.0,8.470003386982283,72336.63157894737,321634,47350.36842105263,65.0,0.11763002642151132
2015-04-24,95840,97900,95700,97830,59090,56908,96262.0,95562.0,95767.0,95767.0,-802.2121783314069,-1218.8091720044458,416.5969936730389,51.99098422238917,1834.2857142857142,36.98117603197321,71674.3,380724,47828.25,1585.0,2.8649928601124364
2015-04-27,98000,101490,97990,101490,120952,58145,97478.0,96188.0,95787.5,96039.52380952382,-311.3235903750319,-1037.312055678563,725.988465303531,65.75512740832815,1950.7142857142858,134.2220215561518,77000.4,501676,50376.4,1237.0,2.173683840584806
