时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2019-08-12,9805,10175,9720,9820,43809,9728,9820.0,9820.0,9820.0,9820.0,0.0,0.0,0.0,0.0,455.0,0.0,43809.0,0,9728.0,0.0,0.0
2019-08-13,9780,9980,9775,9855,9478,8932,9837.5,9837.5,9837.5,9837.5,2.7920227920221805,0.5584045584044361,2.2336182336177446,99.99999999942857,330.0,-35.35533905932738,26643.5,9478,9330.0,-796.0,-8.182565789473683
2019-08-14,9840,10220,9785,9995,18558,11507,9890.0,9890.0,9890.0,9890.0,16.11577828102054,3.669879302927657,12.445898978092881,99.99999999982857,365.0,55.74706096853747,23948.333333333332,28036,10055.666666666666,2575.0,28.828929690998663
2019-08-15,9935,9980,9850,9865,6098,11523,9883.75,9883.75,9883.75,9883.75,16.000592088286794,6.1360218599994845,9.86457022828731,57.37704918032787,310.0,-17.693034738587667,19485.75,21938,10422.5,16.0,0.13904579820978036
2019-08-16,9860,9940,9830,9875,5077,11352,9882.0,9882.0,9882.0,9882.0,16.525724363627887,8.213962360725166,8.311762002902721,58.730158730158735,270.0,-28.412238389748264,16604.0,27015,10608.4,-171.0,-1.483988544649828
2019-08-19,9885,10080,9885,10030,6610,12748,9924.0,9906.666666666666,9906.666666666666,9906.666666666666,29.113497805978113,12.393869449775757,16.719628356202357,72.34042553191489,259.1666666666667,62.37925500935069,14938.333333333334,33625,10965.0,1396.0,12.29739252995068
2019-08-20,10030,10035,9945,9975,2545,12504,9948.0,9916.42857142857,9916.42857142857,9916.42857142857,34.25647132569793,16.766389824960193,17.490081500737737,64.76190476190476,235.0,44.07798153312139,13167.857142857143,31080,11184.857142857143,-244.0,-1.914025729526203
2019-08-21,9960,9975,9835,9890,4546,11878,9927.0,9913.125,9913.125,9913.125,31.11485261521375,19.636082383010905,11.478770232202844,55.73770491803279,223.125,-27.158476697531743,12090.125,26534,11271.5,-626.0,-5.006397952655151
2019-08-22,9890,9925,9815,9910,1828,11574,9936.0,9912.777777777777,9912.777777777777,9912.777777777777,29.89432681508697,21.68773126942612,8.20659554566085,57.14285714285714,210.55555555555554,-38.52864679198549,10949.888888888889,28362,11305.111111111111,-304.0,-2.559353426502775
2019-08-23,9860,9905,9780,9815,3156,10851,9924.0,9903.0,9903.0,9903.0,21.019050740173043,21.553995163575507,-0.5349444234024645,49.6551724137931,202.5,-70.59814660371586,10170.5,25206,11259.7,-723.0,-6.246759979263872
2019-08-26,9840,9940,9700,9915,5260,10781,9901.0,9912.5,9904.09090909091,9904.09090909091,21.8031614992542,21.60382843071125,0.19933306854295196,55.75757575757576,205.9090909090909,-49.62768928273042,9724.09090909091,30466,11216.181818181818,-70.0,-0.64510183393236
2019-08-27,9915,9980,9860,9900,2362,10983,9886.0,9917.0,9903.75,9903.75,20.972443017062687,21.47755134798154,-0.5051083309188513,54.76190476190476,198.75,2.9892849534467754,9110.583333333334,28104,11196.75,202.0,1.8736666357480836
2019-08-28,9930,10095,9860,9970,7170,12287,9902.0,9914.5,9908.846153846154,9908.846153846154,25.66663858780157,22.315368795945545,3.3512697918560264,58.241758241758234,201.53846153846155,53.24527268904239,8961.307692307691,35274,11280.615384615385,1304.0,11.872894473276885
2019-08-29,9965,10030,9905,9940,2039,12453,9908.0,9922.0,9911.07142857143,9911.07142857143,26.65876744136949,23.184048525030335,3.4747189163391567,56.38297872340426,196.07142857142858,36.34375632164417,8466.857142857143,33235,11364.357142857143,166.0,1.3510214047367075
2019-08-30,9925,10080,9925,10065,3655,12369,9958.0,9941.0,9921.333333333334,9921.333333333334,37.10378272617345,25.967995365258957,11.135787360914492,61.502347417840376,174.64285714285714,82.03532228616163,8146.066666666667,36890,11431.333333333334,-84.0,-0.6745362563237767
2019-09-02,10080,10195,10000,10045,6053,12059,9984.0,9942.5,9929.0625,9929.0625,43.26892253362348,29.428180798931862,13.840741734691619,59.047619047619044,173.92857142857142,104.31376731722355,8015.25,30837,11470.5625,-310.0,-2.506265664160401
2019-09-03,10025,10135,10010,10135,2567,12248,10031.0,9958.5,9941.176470588236,9941.176470588236,54.785554319705625,34.499655503086615,20.28589881661901,56.99999999999999,151.78571428571428,96.156745557575,7694.764705882353,33404,11516.29411764706,189.0,1.56729413715897
2019-09-04,10110,10475,9900,10395,9723,13091,10116.0,10009.0,9966.388888888889,9966.388888888889,83.92496037068486,44.384716476606265,39.54024389407859,73.45132743362832,182.5,140.13224479931117,7807.444444444444,43127,11603.777777777777,843.0,6.882756368386667
2019-09-05,10405,10455,10210,10310,3706,13305,10190.0,10049.0,9984.473684210527,9984.473684210527,99.01794277107183,55.311361735499375,43.706581035572455,68.04979253112033,192.14285714285714,130.41983446232905,7591.578947368421,39421,11693.315789473685,214.0,1.6347108700633939
2019-09-06,10325,10400,10160,10190,5078,13308,10215.0,10086.5,9994.75,9994.75,100.14186980532395,64.2774633494643,35.86440645585965,56.83760683760684,194.64285714285714,90.15884560645581,7465.9,34343,11774.05,3.0,0.022547914317927464
2019-09-09,10195,10300,10115,10265,2301,13502,10259.0,10121.5,10017.0,10007.619047619048,105.86412751244279,72.59479618206001,33.269331330382784,62.184873949579824,201.42857142857142,72.48960916646024,5390.5,36644,11962.75,194.0,1.4577697625488328
2019-09-10,10280,10315,10155,10270,2282,13418,10286.0,10158.5,10037.75,10019.545454545454,109.53980944807518,79.98379883526304,29.55601061281213,67.11711711711712,202.85714285714286,70.49232468997639,5030.7,38926,12187.05,-84.0,-0.622130054806691
2019-09-11,10260,10270,10155,10220,2402,13518,10251.0,10183.5,10049.0,10028.260869565218,107.18269632701413,85.42357833361326,21.759117993400864,63.59649122807018,203.21428571428572,54.882257445892385,4222.9,36524,12287.6,100.0,0.7452675510508211
2019-09-12,10190,10250,10120,10145,2057,13520,10218.0,10204.0,10063.0,10033.125,98.13159406604427,87.96518148009947,10.166412585944798,64.73214285714286,203.21428571428572,37.27630075839972,4020.85,34467,12387.45,2.0,0.014795088030772341
2019-09-16,10225,10380,10200,10255,2501,13375,10231.0,10223.0,10082.0,10042.0,98.69689464145631,90.11152411237084,8.585370529085466,65.04424778761063,202.85714285714286,63.77302286622356,3892.05,36968,12488.6,-145.0,-1.072485207100593
2019-09-17,10275,10415,10210,10255,3081,13496,10229.0,10244.0,10093.25,10050.192307692309,98.01504301659224,91.69222789321512,6.322815123377126,65.91928251121075,208.92857142857142,61.488257630081314,3715.6,36968,12526.0,121.0,0.9046728971962681
2019-09-18,10250,10260,10050,10145,3659,12694,10204.0,10245.0,10101.75,10053.703703703704,87.5889194584579,90.87156620626368,-3.282646747805785,57.57575757575758,207.14285714285714,16.695561202955208,3771.3,33309,12535.5,-802.0,-5.94250148192057
2019-09-19,10145,10195,10080,10105,1438,12502,10181.0,10216.0,10112.5,10055.535714285714,75.23125661993981,87.7435042889989,-12.512247669059093,57.081545064377686,206.42857142857142,5.967277092639702,3615.9,31871,12566.7,-192.0,-1.5125256026469192
