时间,开盘,最高,最低,收盘,成交量,持仓量,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2019-08-12,9805,10175,9720,9820,43809,9728,,,,9820.0,9820.0,9820.0,9820.0,9820.0,455.0,0.0,0.0,0.0,0.0,9820.0,9820.0,9820.0,0.0,21.978021978021978,21.978021978021978,21.97802197802197,-78.02197802197803,0.0,0.0,43809.0,0,9728.0,0.0,0.0
2019-08-13,9780,9980,9775,9855,9478,8932,,,,9837.5,9837.5,9837.5,9837.5,9823.333333333334,330.0,99.99999999942857,2.7920227920221805,0.5584045584044361,2.2336182336177446,9886.997474683058,9788.002525316942,9837.5,98.99494936611518,24.54212454212454,22.83272283272283,27.96092796092796,-70.32967032967034,-35.35533905932738,100.0,26643.5,9478,9330.0,-796.0,-8.182565789473683
2019-08-14,9840,10220,9785,9995,18558,11507,,,,9890.0,9890.0,9890.0,9890.0,9839.68253968254,365.0,99.99999999982857,16.11577828102054,3.669879302927657,12.445898978092881,10075.202591774521,9704.797408225479,9890.0,370.4051835490427,34.69474969474969,26.78673178673178,50.5107855107855,-45.0,55.74706096853747,100.0,23948.333333333332,28036,10055.666666666666,2575.0,28.828929690998663
2019-08-15,9935,9980,9850,9865,6098,11523,,,,9883.75,9883.75,9883.75,9883.75,9842.093726379442,310.0,57.37704918032787,16.000592088286794,6.1360218599994845,9.86457022828731,10037.01991442115,9730.48008557885,9883.75,306.53982884229845,32.79649979649979,28.789987789987784,40.809523809523796,-71.0,-17.693034738587667,57.37704918042623,19485.75,21938,10422.5,16.0,0.13904579820978036
2019-08-16,9860,9940,9830,9875,5077,11352,,,,9882.0,9882.0,9882.0,9882.0,9845.227657200448,270.0,58.730158730158735,16.525724363627887,8.213962360725166,8.311762002902721,10014.966161108758,9749.033838891242,9882.0,265.9323222175153,32.19766653099986,29.925880703658475,36.741238185682626,-69.0,-28.412238389748264,58.73015873025942,16604.0,27015,10608.4,-171.0,-1.483988544649828
2019-08-19,9885,10080,9885,10030,6610,12748,,,,9924.0,9906.666666666666,9906.666666666666,9906.666666666666,9862.825023181358,259.1666666666667,72.34042553191489,29.113497805978113,12.393869449775757,16.719628356202357,10076.215086496126,9737.118246837206,9906.666666666666,339.09683965891963,42.13177768733324,33.99451303155006,58.406306998899595,-38.0,62.37925500935069,72.34042553203889,14938.333333333334,33625,10965.0,1396.0,12.29739252995068
2019-08-20,10030,10035,9945,9975,2545,12504,,,,9948.0,9916.42857142857,9916.42857142857,9916.42857142857,9873.508354306943,235.0,64.76190476190476,34.25647132569793,16.766389824960193,17.490081500737737,10079.596612183523,9753.260530673619,9916.42857142857,326.33608150990403,45.087851791555494,37.69229261821854,59.878970138229406,-49.0,44.07798153312139,64.76190476201577,13167.857142857143,31080,11184.857142857143,-244.0,-1.914025729526203
2019-08-21,9960,9975,9835,9890,4546,11878,,,,9927.0,9913.125,9913.125,9913.125,9875.07898723009,223.125,55.73770491803279,31.11485261521375,19.636082383010905,11.478770232202844,10065.340777293759,9760.909222706241,9913.125,304.4315545875179,41.39190119437033,38.9254954769358,46.324712629239386,-66.0,-27.158476697531743,55.73770491812834,12090.125,26534,11271.5,-626.0,-5.006397952655151
2019-08-22,9890,9925,9815,9910,1828,11574,,,,9936.0,9912.777777777777,9912.777777777777,9912.777777777777,9878.40479797008,210.55555555555554,57.14285714285714,29.89432681508697,21.68773126942612,8.20659554566085,10055.177840199736,9770.377715355819,9912.777777777777,284.80012484391773,40.26126746291355,39.370752805595046,42.04229677755056,-62.0,-38.52864679198549,57.142857142955094,10949.888888888889,28362,11305.111111111111,-304.0,-2.559353426502775
2019-08-23,9860,9905,9780,9815,3156,10851,,,,9924.0,9903.0,9903.0,9903.0,9872.366245782454,202.5,49.6551724137931,21.019050740173043,21.553995163575507,-0.5349444234024645,10050.813696553767,9755.186303446233,9903.0,295.62739310753386,29.837099656923645,36.19286842270458,17.125562125361782,-81.0,-70.59814660371586,49.655172413878226,10170.5,25206,11259.7,-723.0,-6.246759979263872
