时间,开盘,最高,最低,收盘,成交量,持仓量,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2011-03-25,19315,19655,18915,19020,36720,0,,,,19020.0,19020.0,19020.0,19020.0,19020.0,740.0,0.0,0.0,0.0,0.0,19020.0,19020.0,19020.0,0.0,14.18918918918919,14.18918918918919,14.189189189189186,-85.8108108108108,0.0,0.0,36720.0,0,0.0,0.0,0.0
2011-03-28,19020,19220,18945,19035,12429,0,,,,19027.5,19027.5,19027.5,19027.5,19021.42857142857,507.5,99.99999999866667,1.196581196581974,0.23931623931639479,0.9572649572655791,19048.713203435596,19006.286796564404,19027.5,42.42640687119274,14.864864864864867,14.414414414414416,15.765765765765764,-83.78378378378379,-35.35533905932737,100.0,24574.5,12429,0.0,0.0,0.0
2011-03-29,18985,19120,18585,18690,8480,0,,,,18915.0,18915.0,18915.0,18915.0,18989.86394557823,516.6666666666666,4.166666666666657,-25.400930187253834,-4.888733045997651,-20.512197141256184,19305.0,18525.0,18915.0,780.0,13.180937947293089,14.00325559204064,11.536302657797986,-90.18691588785046,-54.69934908093591,4.166666666722213,19209.666666666668,3949,0.0,0.0,0.0
2011-03-30,18615,18820,18570,18760,5309,0,,,,18876.25,18876.25,18876.25,18876.25,18967.972141237446,450.0,19.767441860465112,-40.36592138328342,-11.984170713454805,-28.381750669828616,19230.403921339297,18522.096078660703,18876.25,708.3078426785942,14.624465543971123,14.210325576017468,15.45274547987843,-82.48847926267281,-50.66309214201249,19.767441860728677,15734.5,9258,0.0,0.0,0.0
2011-03-31,18885,18935,18780,18845,4043,0,,,,18870.0,18870.0,18870.0,18870.0,18956.26050873864,395.0,33.009708737864074,-44.849992304578336,-18.55733503167951,-26.292657272898825,19177.97727188869,18562.02272811131,18870.0,615.9545437773777,18.198184402585973,15.539611851540304,23.51532950467731,-74.65437788018433,-18.33923884022254,33.009708738304205,13396.2,13301,0.0,0.0,0.0
2011-04-01,18785,18805,18665,18750,1528,0,,,,18816.0,18850.0,18850.0,18850.0,18936.61665076353,359.1666666666667,27.86885245901638,-55.430389837736584,-25.931945992890927,-29.498443844845657,19142.369629065674,18557.630370934326,18850.0,584.739258131347,17.662076852108008,16.247100185062873,20.492030186198278,-83.41013824884793,-40.10537569317199,27.868852459387963,11418.166666666666,11773,0.0,0.0,0.0
2011-04-04,18865,18865,18655,18725,1275,0,,,,18754.0,18832.14285714286,18832.14285714286,18832.14285714286,18916.462684024147,337.85714285714283,26.77165354330708,-65.08249172453725,-33.762055139220195,-31.320436585317054,19115.271634842873,18549.014079442844,18832.14285714286,566.2575554000287,16.5366226633101,16.34360767781195,16.92265263430641,-85.71428571428571,-33.996671066902145,26.77165354366404,9969.142857142857,10498,0.0,0.0,0.0
2011-04-07,18760,19445,18760,19305,7700,0,,,,18877.0,18891.25,18891.25,18891.25,18953.46623792661,385.625,61.72839506172839,-25.635192727309914,-32.13668265683814,6.501489929528226,19316.111321912387,18466.388678087613,18891.25,849.7226438247744,33.60506027016372,22.097425208595872,56.62033039329941,-32.25806451612903,64.41156225049927,61.728395062551435,9685.5,18198,0.0,0.0,0.0
2011-04-08,19285,19385,19120,19160,5213,0,,,,18957.0,18921.11111111111,18921.11111111111,18921.11111111111,18973.136120028837,372.22222222222223,55.147058823529406,-6.0040018579456955,-26.910146497059653,20.906144639113958,19357.051983758356,18485.170238463863,18921.11111111111,871.8817452944932,40.52933357488641,28.24139466402605,65.10521139660713,-45.6221198156682,64.32065428069276,55.1470588242647,9188.555555555555,12985,0.0,0.0,0.0
2011-04-11,19175,19335,19090,19260,4217,0,,,,19040.0,18955.0,18955.0,18955.0,19000.4564895499,359.5,58.21917808219178,17.422190439796395,-18.043679109688444,35.465869549484836,19418.53712544592,18491.46287455408,18955.0,927.0742508918411,53.30527000230522,36.596019776785774,86.7237704533441,-36.40552995391705,57.51793708012534,58.21917808296804,8691.4,17202,0.0,0.0,0.0
2011-04-12,19335,19525,19230,19295,6969,0,,,,19149.0,18982.5,18985.909090909092,18985.909090909092,19028.50825244991,353.6363636363636,59.197324414715716,38.36952411535458,-6.761038464679839,45.13056258003442,19471.106332900803,18500.71184891738,18985.909090909092,970.3944839834221,60.84225679036753,44.678098781313025,93.17057280847655,-33.17972350230415,71.68331218686623,59.19732441550501,8534.818181818182,24171,0.0,0.0,0.0
2011-04-13,19085,19210,18875,18885,4628,0,,,,19181.0,18967.5,18977.5,18977.5,19014.84079983563,359.1666666666667,46.45669291338583,21.637440537906514,-1.0813426641625687,22.718783202069083,19443.77147769201,18511.22852230799,18977.5,932.5429553840222,51.556268924817445,46.97082216248116,60.727162449489995,-70.96774193548387,-3.6648168082492902,46.45669291400525,8209.25,19543,0.0,0.0,0.0
2011-04-14,18695,18830,18625,18800,2783,0,,,,19080.0,18978.5,18963.846153846152,18963.846153846152,18994.379771279855,351.53846153846155,44.472361809045225,1.5010509483072383,-0.5648639416686074,2.0659148899758457,19420.99590768607,18506.696400006236,18963.846153846152,914.2995076798325,40.85232743135978,44.931323918774034,32.69433445653128,-78.80184331797236,-51.414996919190344,44.47236180963819,7791.846153846154,16760,0.0,0.0,0.0
2011-04-15,18640,18775,18625,18665,1923,0,,,,18981.0,18969.0,18942.5,18942.5,18963.010269253202,338.92857142857144,41.64705882352942,-25.061659424722166,-5.46422303827932,-19.597436386442844,19409.861661967392,18475.138338032608,18942.5,934.7233239347843,28.71636643572134,39.526338091089805,7.096423124984412,-91.2442396313364,-59.27737499283434,41.647058824084716,7372.642857142857,14837,0.0,0.0,0.0
2011-04-18,18690,18865,18590,18665,4996,0,,,,18862.0,18951.0,18924.0,18924.0,18934.628338848135,305.7142857142857,41.64705882352942,-45.58729678906457,-13.48883778843637,-32.098459000628196,19396.609775607743,18451.390224392257,18924.0,945.2195512154867,21.818041081924743,33.623572421368124,-1.7930215969620207,-90.05235602094241,-51.404885405683146,39.10997442509658,7214.2,14837,0.0,0.0,0.0
2011-04-19,18660,18735,18610,18665,1667,0,,,,18736.0,18942.5,18907.8125,18907.8125,18908.949449434025,295.0,41.23222748815166,-61.14912325070691,-23.02089488089048,-38.128228369816426,19382.406624840725,18433.218375159275,18907.8125,949.1882496814505,17.219157512727012,28.155434118487754,-4.653395698794469,-90.05235602094241,-54.92819589955411,64.39271692311603,6867.5,14837,0.0,0.0,0.0
2011-04-20,18385,18435,18035,18065,4195,0,,,,18572.0,18876.5,18858.235294117647,18858.235294117647,18828.57331139269,301.7857142857143,36.78646934460888,-120.50782918788536,-42.51828174228946,-77.9895474455959,19473.295668963794,18243.1749192715,18858.235294117647,1230.1207496922943,12.150579281415324,22.82048250613028,-9.18922716801459,-97.98657718120805,-120.60275599213952,40.559201318695,6710.294117647059,10642,0.0,0.0,0.0
2011-04-21,18150,18265,18150,18250,1465,0,,,,18462.0,18771.0,18824.444444444445,18824.444444444445,18773.471091260053,298.2142857142857,39.71774193548387,-150.88279447555396,-64.19118428894237,-86.6916101866116,19486.454653081644,18162.434235807246,18824.444444444445,1324.020417274398,12.910229588057643,19.517064866772735,-0.30344096937254506,-85.57046979865771,-96.57494366234334,37.03459713301519,6418.888888888889,12107,0.0,0.0,0.0
