时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2020-10-12,5798,5832,5750,5832,51327,19362,5832.0,5832.0,5832.0,5832.0,0.0,0.0,0.0,0.0,82.0,0.0,51327.0,0,19362.0,0.0,0.0
2020-10-13,5932,6042,5900,6042,538024,77665,5937.0,5937.0,5937.0,5937.0,16.75213675213672,3.3504273504273443,13.401709401709377,99.99999999990476,146.0,35.35533905932738,294675.5,538024,48513.5,58303.0,301.120751988431
2020-10-14,6054,6138,5992,6104,309822,89404,5992.666666666667,5992.666666666667,5992.666666666667,5992.666666666667,34.631991623444264,9.606740205030729,25.025251418413536,99.99999999988971,146.0,42.43226306844668,299724.3333333333,847846,62143.666666666664,11739.0,15.11491662911222
2020-10-15,6126,6270,6112,6266,559919,167776,6061.0,6061.0,6061.0,6061.0,61.1688352790452,19.919159219833624,41.24967605921157,99.99999999990783,151.0,56.009715336014196,364773.0,1407765,88551.75,78372.0,87.66050735984967
2020-10-16,6224,6454,6224,6454,1300979,251716,6139.6,6139.6,6139.6,6139.6,96.25987990632166,35.187303357131235,61.07257654919042,99.99999999991961,166.8,65.14243390030829,552014.2,2708744,121184.6,83940.0,50.030993705893565
2020-10-19,6462,6596,6432,6596,1458246,316768,6292.4,6215.666666666667,6215.666666666667,6215.666666666667,133.9835202279046,54.946546731285906,79.03697349661869,99.99999999992147,166.33333333333334,69.86521955384582,703052.8333333334,4166990,153781.83333333334,65052.0,25.843410828076085
2020-10-20,6602,6618,6482,6564,1388290,306556,6396.8,6265.428571428572,6265.428571428572,6265.428571428572,159.45949460831343,75.8491363066914,83.61035830162203,95.97989949748744,162.0,58.2838335726533,800943.8571428572,2778700,175606.7142857143,-10212.0,-3.2238104859076633
2020-10-21,6536,6586,6488,6500,794840,288029,6476.0,6294.75,6294.75,6294.75,172.49668827264213,95.17864669988155,77.31804157276058,88.83720930232558,154.0,46.43018646495803,800180.875,1983860,189659.5,-18527.0,-6.043593992614726
2020-10-22,6530,6546,6274,6274,1221706,224512,6477.6,6292.444444444444,6292.444444444444,6292.444444444444,162.7167495393087,108.68626726776698,54.030482271541715,70.34990791896868,167.11111111111111,17.160831397526827,847017.0,762154,193532.0,-63517.0,-22.052293345461738
2020-10-23,6252,6314,6214,6238,646077,174759,6434.4,6287.0,6287.0,6287.0,150.32828757399875,117.01467132901334,33.31361624498541,68.09269162210339,160.4,-3.132772571517479,826923.0,116077,191654.7,-49753.0,-22.160508124287347
2020-10-26,6236,6326,6228,6254,479646,172231,6366.0,6329.2,6284.0,6284.0,140.18543802768454,121.6488246687476,18.536613358936947,68.54130052724076,154.72727272727272,-0.34200245885762676,795352.3636363636,595723,189888.9090909091,-2528.0,-1.4465635532361687
2020-10-27,6218,6286,6136,6144,453060,170317,6282.0,6339.4,6272.333333333333,6272.333333333333,121.86627740846143,121.69231521669036,0.17396219177106786,62.50000000000001,154.33333333333334,-16.44863288059838,766828.0,142663,188257.91666666666,-1914.0,-1.111298198349886
2020-10-28,6150,6206,6126,6178,356361,163360,6217.6,6346.8,6265.076923076923,6265.076923076923,108.83711991581185,119.12127615651467,-10.284156240702814,63.494539781591264,148.6153846153846,-19.6439334853115,735253.6153846154,499024,186342.6923076923,-6957.0,-4.0847361097248065
2020-10-29,6130,6176,6052,6058,315482,152349,6174.4,6326.0,6250.285714285715,6250.285714285715,87.81613190970893,112.86024730715353,-25.0441153974446,58.059914407988586,147.0,-34.59665678351893,705269.9285714285,183542,183914.57142857142,-11011.0,-6.740328109696381
