时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2021-02-01,9866,10630,9866,10504,521558,45054,10504.0,10504.0,10504.0,10504.0,0.0,0.0,0.0,0.0,764.0,0.0,521558.0,0,45054.0,0.0,0.0
2021-02-02,10504,10754,10352,10414,566353,44592,10459.0,10459.0,10459.0,10459.0,-7.179487179486387,-1.4358974358972774,-5.7435897435891095,0.0,583.0,35.35533905932738,543955.5,-566353,44823.0,-462.0,-1.0254361432947112
2021-02-03,10330,10396,10124,10304,365639,39129,10407.333333333334,10407.333333333334,10407.333333333334,10407.333333333334,-21.49755277960321,-5.448228504638465,-16.049324274964746,0.0,485.3333333333333,-40.15938544529893,484516.6666666667,-931992,42925.0,-5463.0,-12.251076426264795
2021-02-04,10348,10416,10232,10302,163381,34081,10381.0,10381.0,10381.0,10381.0,-32.629968246596036,-10.884576453029979,-21.745391793566057,0.0,410.0,-20.13110136121542,404232.75,-1095373,40714.0,-5048.0,-12.900917478085304
2021-02-05,10340,10400,10266,10288,102226,27237,10362.4,10362.4,10362.4,10362.4,-42.096903803394525,-17.127041923102887,-24.96986188029164,0.0,354.8,-17.640562343432084,343831.4,-1197599,38018.6,-6844.0,-20.081570376456092
2021-02-08,10290,10466,10284,10346,92351,25857,10330.8,10359.666666666666,10359.666666666666,10359.666666666666,-44.40750113360809,-22.58313376520393,-21.824367368404165,21.16788321167884,326.0,7.9528680409835735,301918.0,-1105248,35991.666666666664,-1380.0,-5.066637294856258
2021-02-09,10380,10444,10354,10376,67913,21307,10323.2,10362.0,10362.0,10362.0,-43.31856740504918,-26.73022049317298,-16.5883469118762,28.94736842105263,293.42857142857144,22.0988134493263,268488.71428571426,-1037335,33893.857142857145,-4550.0,-17.59678230266466
2021-02-10,10398,10424,10290,10354,43182,18297,10333.2,10361.0,10361.0,10361.0,-43.72674106609156,-30.1295246077567,-13.597216458334863,26.993865030674854,273.5,-1.2530816941376528,240325.375,-1080517,31944.25,-3010.0,-14.126812784530907
2021-02-18,10398,10498,10380,10400,29513,18231,10352.8,10365.333333333334,10365.333333333334,10365.333333333334,-39.87870913595543,-32.07936151339645,-7.799347622558983,36.02150537634409,259.1111111111111,43.85554900743958,216901.77777777778,-1051004,30420.555555555555,-66.0,-0.3607148712903796
2021-02-19,10416,10422,10216,10368,26687,18047,10368.8,10365.6,10365.6,10365.6,-38.962117633585876,-33.45591273743433,-5.506204896151544,33.16831683168317,253.8,-20.486446458848864,197880.3,-1077691,29183.2,-184.0,-1.0092699248532733
2021-02-22,10408,10732,10404,10650,56427,21270,10429.6,10380.2,10391.454545454546,10391.454545454546,-15.30425115584876,-29.82558042111722,14.52132926526846,60.64139941690962,263.8181818181818,112.62105401790569,185020.9090909091,-1021264,28463.81818181818,3223.0,17.85892392087327
2021-02-23,10700,10966,10520,10702,91217,21664,10494.8,10409.0,10417.333333333334,10417.333333333334,7.553669886889111,-22.349730359515956,29.903400246405067,63.41463414634146,279.0,118.12102904126407,177203.91666666666,-930047,27897.166666666668,394.0,1.8523742360131656
2021-02-24,10750,10798,10564,10710,42202,20897,10566.0,10449.6,10439.846153846154,10439.846153846154,26.014392414541362,-12.676905804704493,38.69129821924585,63.806970509383376,275.53846153846155,85.7092620741398,166819.15384615384,-887845,27358.69230769231,-767.0,-3.5404357459379643
2021-02-25,10732,10920,10732,10862,36914,21839,10658.4,10505.6,10470.0,10470.0,52.30681727336196,0.31983881090879684,51.98697846245316,69.93318485523386,270.85714285714283,104.25758525293755,157540.2142857143,-850931,26964.428571428572,942.0,4.507824089582235
