时间,开盘,最高,最低,收盘,成交量,持仓量,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2021-02-01,9866,10630,9866,10504,521558,45054,,,,10504.0,10504.0,10504.0,10504.0,10504.0,764.0,0.0,0.0,0.0,0.0,10504.0,10504.0,10504.0,0.0,83.50785340314137,83.50785340314137,83.50785340314135,-16.49214659685864,0.0,0.0,521558.0,0,45054.0,0.0,0.0
2021-02-02,10504,10754,10352,10414,566353,44592,,,,10459.0,10459.0,10459.0,10459.0,10495.42857142857,583.0,0.0,-7.179487179486387,-1.4358974358972774,-5.7435897435891095,10586.279220613578,10331.720779386422,10459.0,254.55844122715644,76.24247283933148,81.0860598818714,66.55529875425165,-38.288288288288285,35.35533905932738,0.0,543955.5,-566353,44823.0,-462.0,-1.0254361432947112
2021-02-03,10330,10396,10124,10304,365639,39129,,,,10407.333333333334,10407.333333333334,10407.333333333334,10407.333333333334,10477.197278911564,485.3333333333333,0.0,-21.49755277960321,-5.448228504638465,-16.049324274964746,10607.66638935089,10207.000277315778,10407.333333333334,400.66611203511275,67.26975666766243,76.48062547713508,48.84801904871716,-50.67567567567568,-40.15938544529893,0.0,484516.6666666667,-931992,42925.0,-5463.0,-12.251076426264795
2021-02-04,10348,10416,10232,10302,163381,34081,,,,10381.0,10381.0,10381.0,10381.0,10460.51182377713,410.0,0.0,-32.629968246596036,-10.884576453029979,-21.745391793566057,10575.552477924766,10186.447522075234,10381.0,389.1049558495324,61.21287081147466,71.39137392191493,40.85586459059411,-50.9009009009009,-20.13110136121542,0.0,404232.75,-1095373,40714.0,-5048.0,-12.900917478085304
2021-02-05,10340,10400,10266,10288,102226,27237,,,,10362.4,10362.4,10362.4,10362.4,10444.082126274545,354.8,0.0,-42.096903803394525,-17.127041923102887,-24.96986188029164,10550.302102170252,10174.497897829748,10362.4,375.80420434050393,56.64942138182394,66.4773897418846,36.99348466170264,-52.47747747747748,-17.640562343432084,0.0,343831.4,-1197599,38018.6,-6844.0,-20.081570376456092
2021-02-08,10290,10466,10284,10346,92351,25857,,,,10330.8,10359.666666666666,10359.666666666666,10359.666666666666,10434.740971391255,326.0,21.16788321167884,-44.40750113360809,-22.58313376520393,-21.824367368404165,10528.264017377365,10191.069315955967,10359.666666666666,337.19470142139835,55.78429893923398,62.913026141001055,41.52684453569984,-45.945945945945944,7.9528680409835735,100.0,301918.0,-1105248,35991.666666666664,-1380.0,-5.066637294856258
2021-02-09,10380,10444,10354,10376,67913,21307,,,,10323.2,10362.0,10362.0,10362.0,10429.146593163518,293.42857142857144,28.94736842105263,-43.31856740504918,-26.73022049317298,-16.5883469118762,10516.40207252495,10207.59792747505,10362.0,308.8041450499004,56.33367677030013,60.71990968410075,47.56121094269888,-42.567567567567565,22.0988134493263,100.0,268488.71428571426,-1037335,33893.857142857145,-4550.0,-17.59678230266466
2021-02-10,10398,10424,10290,10354,43182,18297,,,,10333.2,10361.0,10361.0,10361.0,10421.989774766993,273.5,26.993865030674854,-43.72674106609156,-30.1295246077567,-13.597216458334863,10504.060426793316,10217.939573206684,10361.0,286.1208535866317,55.874102831851744,59.10464073335108,49.41302702885305,-45.04504504504504,-1.2530816941376528,93.25153374233132,240325.375,-1080517,31944.25,-3010.0,-14.126812784530907
2021-02-18,10398,10498,10380,10400,29513,18231,,,,10352.8,10365.333333333334,10365.333333333334,10365.333333333334,10419.895510503471,259.1111111111111,36.02150537634409,-39.87870913595543,-32.07936151339645,-7.799347622558983,10501.65647883695,10229.010187829717,10365.333333333334,272.64629100723323,57.2944469329462,58.50124279988279,54.88085519907304,-39.86486486486486,43.85554900743958,100.0,216901.77777777778,-1051004,30420.555555555555,-66.0,-0.3607148712903796
2021-02-19,10416,10422,10216,10368,26687,18047,,,,10368.8,10365.6,10365.6,10365.6,10414.953080931711,253.8,33.16831683168317,-38.962117633585876,-33.45591273743433,-5.506204896151544,10494.137759259898,10237.062240740102,10365.6,257.0755185197959,51.10635086535038,56.03627882170532,41.246494952640504,-43.468468468468465,-20.486446458848864,92.07920792079207,197880.3,-1077691,29183.2,-184.0,-1.0092699248532733
2021-02-22,10408,10732,10404,10650,56427,21270,,,,10429.6,10380.2,10391.454545454546,10391.454545454546,10437.338501795357,263.8181818181818,60.64139941690962,-15.30425115584876,-29.82558042111722,14.52132926526846,10601.887173412026,10181.021917497066,10391.454545454546,420.86525591495956,62.90861987514586,58.32705917285216,72.07174127973326,-11.711711711711711,112.62105401790569,100.00000000000001,185020.9090909091,-1021264,28463.81818181818,3223.0,17.85892392087327
2021-02-23,10700,10966,10520,10702,91217,21664,,,,10494.8,10409.0,10417.333333333334,10417.333333333334,10462.544358767227,279.0,63.41463414634146,7.553669886889111,-22.349730359515956,29.903400246405067,10686.410319050106,10148.256347616561,10417.333333333334,538.1539714335449,63.5390799167639,60.06439942082274,70.48844090864623,-24.0,118.12102904126407,100.0,177203.91666666666,-930047,27897.166666666668,394.0,1.8523742360131656
2021-02-24,10750,10798,10564,10710,42202,20897,,,,10566.0,10449.6,10439.846153846154,10439.846153846154,10486.111562694157,275.53846153846155,63.806970509383376,26.014392414541362,-12.676905804704493,38.69129821924585,10744.35214300876,10135.340164683548,10439.846153846154,609.0119783252121,64.3149421667315,61.48124700279233,69.98233249460984,-23.272727272727273,85.7092620741398,100.0,166819.15384615384,-887845,27358.69230769231,-767.0,-3.5404357459379643
2021-02-25,10732,10920,10732,10862,36914,21839,,,,10658.4,10505.6,10470.0,10470.0,10521.910461485191,270.85714285714283,69.93318485523386,52.30681727336196,0.31983881090879684,51.98697846245316,10839.471972497966,10100.528027502034,10470.0,738.9439449959318,71.58773922226544,64.8500777426167,85.06306218156291,-9.454545454545455,104.25758525293755,100.0,157540.2142857143,-850931,26964.428571428572,942.0,4.507824089582235
2021-02-26,10764,10860,10654,10816,27362,19360,,,,10748.0,10558.4,10493.066666666668,10493.066666666668,10549.918988962792,231.14285714285714,66.52542372881356,68.64069068385288,13.984009185497614,54.65668149835527,10891.417170381077,10094.716162952258,10493.066666666668,796.7010074288191,74.39182614817696,68.03066054447012,87.11415735559063,-17.81472684085511,76.53331558267438,95.12711864406779,148861.66666666666,-878293,26457.466666666667,-2479.0,-11.351252346719177
2021-03-01,10898,11288,10896,11128,71843,21879,,,,10843.6,10636.6,10532.75,10532.75,10604.974323347287,236.14285714285714,80.61749571183533,105.54454374695706,32.29611609778951,73.24842764916755,11031.638097005063,10033.861902994937,10532.75,997.7761940101263,77.95275972067519,71.33802693653848,91.18222528894859,-13.745704467353951,120.46717703204463,100.0,144048.0,-806450,26171.3125,2519.0,13.011363636363637
2021-03-02,11050,11210,10830,10922,47500,20169,,,,10887.6,10691.2,10555.64705882353,10555.64705882353,10635.167244933258,242.57142857142858,74.48494453248811,116.82198368247191,49.201289614725994,67.62069406774592,11074.284186869947,10037.009930777112,10555.64705882353,1037.2742560928345,73.92124279885809,72.19909889064502,77.36553061528423,-34.14179104477612,84.31234473833558,92.39302694136292,138368.70588235295,-853950,25818.235294117647,-1710.0,-7.81571369806664
2021-03-03,10960,11018,10788,10902,30513,19245,,,,10926.0,10746.0,10574.888888888889,10574.888888888889,10660.579888272947,245.85714285714286,73.4375,122.73083851876072,63.90719939553294,58.82363912322778,11103.868767918611,10045.909009859166,10574.888888888889,1057.9597580594454,70.61167430371634,71.66995736166879,68.49510818781144,-36.007462686567166,62.85750978770685,91.09375,132376.72222222222,-884463,25453.055555555555,-924.0,-4.581288115424664
2021-03-04,10920,11022,10840,10936,29730,19203,,,,10940.8,10799.6,10593.894736842105,10593.894736842105,10686.810375104094,249.28571428571428,74.92307692307692,128.67389186891342,76.86053789020905,51.81335397870437,11134.012376183282,10053.777097500928,10593.894736842105,1080.235278682354,67.1347813608486,70.15823202806206,61.087880026421715,-32.83582089552239,63.54778187589287,90.42143665992201,126974.26315789473,-854733,25124.105263157893,-42.0,-0.21823850350740637
2021-03-05,10910,10940,10602,10786,21467,16699,,,,10934.8,10841.4,10603.5,10603.5,10696.257006046562,260.42857142857144,65.80459770114942,119.8979491447426,85.46802014111576,34.42992900362684,11136.185549585158,10070.814450414842,10603.5,1065.3710991703156,56.30165979612129,65.53937461741513,37.8262301535336,-46.82835820895522,33.37736137507846,72.37617478987653,121698.9,-876200,24702.85,-2504.0,-13.039629224600324
2021-03-08,11250,11300,10950,11060,36395,19003,,,,10921.2,10882.4,10631.3,10625.238095238095,10730.899195946891,290.14285714285717,70.90464547677261,133.51340200592313,95.07709651407723,38.4363054918459,11199.003814548247,10063.596185451752,10631.3,1135.407629096495,59.9982079800229,63.69231907161772,52.60998579683326,-22.14022140221402,82.83535467223629,81.88699625205513,97440.75,-839805,23400.3,2304.0,13.797233367267502
2021-03-09,11000,11064,10796,10812,20262,16718,,,,10899.2,10893.4,10651.2,10633.727272727272,10738.623082047188,299.7142857142857,62.29860365198711,122.8757835694596,100.6368339251537,22.238949644305904,11214.718869062495,10087.681130937506,10651.2,1127.0377381249891,50.02745861514421,59.13736558612655,31.80764467317954,-45.018450184501845,41.1616226806877,61.39260469371166,70136.2,-860067,22006.6,-2285.0,-12.024417197284642
2021-03-10,10856,10980,10772,10898,21550,16936,,,,10898.4,10912.2,10680.9,10645.217391304348,10753.801836137933,304.2857142857143,63.09148264984227,120.00157216118168,104.5097815723593,15.491790588822383,11229.793585698588,10132.006414301411,10680.9,1097.7871713971763,47.48726467370646,55.25399861531986,31.953796790479657,-37.08487084870849,35.86678177929484,63.06361147732287,52931.75,-838517,20896.95,218.0,1.3039837301112467
2021-03-11,10818,10880,10720,10844,17917,16393,,,,10880.0,10910.4,10708.0,10653.5,10762.39213745813,302.2857142857143,62.370062370062364,112.07446553462796,106.02271836481303,6.051747169814931,11231.037283565905,10184.962716434095,10708.0,1046.074567131811,43.215005484476706,51.2410009050388,27.16301464335251,-50.892857142857146,19.797413393688515,8.653657489585962,45658.55,-856434,20012.55,-543.0,-3.206188001889465
2021-03-12,10956,10956,10804,10852,10752,15939,,,,10893.2,10914.0,10736.2,10661.44,10770.926219604975,287.14285714285717,56.12121212121212,105.22474421143124,105.86312353413668,-0.6383793227054326,11223.486622668406,10248.913377331595,10736.2,974.5732453368109,40.748876626709404,47.74362614559567,26.75937758893687,-57.43589743589744,26.72187343258344,0.0,41084.85,-845682,19447.65,-454.0,-2.7694747758189475
2021-03-15,10864,10890,10800,10868,10809,15810,,,,10854.8,10888.0,10762.3,10669.384615384615,10780.171341547357,261.7142857142857,55.14250309789343,99.93536432332803,104.67757169197495,-4.742207368646916,11216.374002779285,10308.225997220714,10762.3,908.1480055585707,39.86887859163626,45.11871029427587,29.36921518635704,-58.69565217391305,19.343029740269454,0.0,37007.75,-834873,18945.3,-129.0,-0.8093355919442824
2021-03-16,10880,10940,10766,10774,15695,15539,,,,10847.2,10873.2,10782.2,10673.25925925926,10779.583594733323,257.42857142857144,51.88235294117647,87.15382322212463,101.17282199800489,-14.018998775880263,11198.286833042794,10366.113166957208,10782.2,832.1736660855859,34.79319699805359,41.676872528868444,21.025845936423877,-75.35816618911174,9.767223405071222,0.0,34396.85,-850568,18656.9,-271.0,-1.71410499683744
2021-03-17,10738,10762,10630,10702,9253,14948,,,,10808.0,10853.2,10799.6,10674.285714285714,10772.194680949198,252.71428571428572,45.06172839506173,70.40299958759897,95.01885751592371,-24.615857928324743,11166.48756344489,10432.71243655511,10799.6,733.775126889781,27.971013853525697,37.108252970420864,9.696535619735357,-85.67335243553009,-27.03142209063451,0.0,32700.4,-859821,18489.45,-591.0,-3.803333547847354
2021-03-18,10662,10702,10560,10596,13815,14242,,,,10758.4,10819.2,10809.4,10671.586206896553,10755.414235144513,248.0,43.45238095238095,48.020981075218515,85.61928222778268,-37.59830115256416,11140.023907818319,10478.77609218168,10809.4,661.2478156366378,20.268964190638755,31.495156710493497,-2.1834208490707283,-95.13513513513513,-54.52008485859816,0.0,31915.5,-873636,18290.0,-706.0,-4.7230398715547235
2021-03-19,10558,10560,10410,10468,12619,12394,,,,10681.6,10787.4,10814.4,10664.8,10728.041450845038,227.57142857142858,27.941176470588232,19.72713772705538,72.44085332763723,-52.71371560058185,11118.910927986437,10509.889072013562,10814.4,609.0218559728746,16.468809970109834,26.486374463698944,-3.5663190170683805,-93.48314606741573,-107.6270027571476,0.0,31212.1,-886255,18007.35,-1848.0,-12.975705659317516
2021-03-22,10510,10600,10454,10480,8503,12264,,,,10604.0,10729.4,10805.9,10658.838709677419,10704.418455526464,210.85714285714286,33.026113671274956,-1.7079490867727145,57.61109284475524,-59.319041931527956,11137.976021733773,10473.823978266226,10805.9,664.1520434675476,15.072773898201879,22.68184094186659,-0.145360189127544,-92.13483146067416,-91.93236182939408,10.823183293381161,28815.9,-877752,17557.05,-130.0,-1.0488946264321397
2021-03-23,10630,10638,10506,10570,9629,11929,,,,10563.2,10705.2,10799.3,10656.0625,10691.616697857276,205.71428571428572,37.90087463556851,-11.302869535364152,43.82830036873136,-55.131169904095515,11145.036802845903,10453.563197154095,10799.3,691.4736056918082,19.816525700144354,21.72673586129251,15.996105377848039,-82.02247191011236,-68.07504567534525,21.199010829824157,24736.5,-868123,17070.3,-335.0,-2.7315720808871458
2021-03-24,10504,10556,10458,10544,5431,11276,,,,10531.6,10669.8,10791.0,10652.666666666666,10677.557964728014,200.71428571428572,35.630498533724335,-20.765523795251283,30.909535535934836,-51.67505933118612,11153.335116766382,10428.664883233618,10791.0,724.6702335327645,21.39172531413775,21.61506567890759,20.94504458459808,-84.9438202247191,-76.23293900893819,17.897349168963203,22897.95,-873554,16589.25,-653.0,-5.474054824377572
2021-03-25,10552,10684,10536,10642,9441,10707,,,,10540.8,10649.6,10780.0,10652.35294117647,10674.171491896774,187.14285714285714,44.51219512195122,-20.124976291799612,20.702633170387948,-40.82760946218756,11146.592273154856,10413.407726845144,10780.0,733.1845463097125,28.852345177978627,24.027492178597935,38.502051176740004,-73.93258426966293,-44.5740676875695,38.570020146598665,21524.3,-864113,16032.65,-569.0,-5.046115643845339
2021-03-26,10550,10582,10462,10510,9028,10014,,,,10549.2,10615.4,10764.7,10648.285714285714,10658.53611171613,163.28571428571428,26.4957264957265,-29.923692905427743,10.577367955224812,-40.50106086065256,11150.02944209776,10379.37055790224,10764.7,770.6588841955199,25.524204961419713,24.526396439538527,27.519822005182085,-84.70948012232417,-65.29930380589772,0.0,20607.6,-873141,15565.35,-693.0,-6.472401232838331
2021-03-29,10460,10514,10334,10356,9960,10736,,,,10524.4,10564.2,10726.1,10640.166666666666,10629.723148695546,157.0,28.810408921933075,-49.5446396208863,-1.4470335599974113,-48.09760606088889,11112.860853622416,10339.339146377584,10726.1,773.5217072448322,18.72953227957576,22.594108386217606,11.000380066292067,-96.59442724458205,-85.76996974465328,6.325002321194697,17513.45,-883101,15008.2,722.0,7.209906131416011
2021-03-30,10374,10430,10350,10422,6630,10256,,,,10494.8,10529.0,10701.1,10634.27027027027,10609.939991676923,147.85714285714286,27.462121212121218,-59.087607678629865,-12.975148383723901,-46.11245929490596,11099.021917757218,10303.178082242783,10701.1,795.8438355144353,20.457369345804132,21.881862039413114,17.608383958586167,-85.85209003215434,-76.65821489164203,2.693833050400986,15469.95,-876471,14512.55,-480.0,-4.470938897168408
2021-03-31,10378,10426,10310,10400,6516,9686,,,,10466.0,10498.8,10676.0,10628.105263157895,10589.945706755312,143.42857142857142,28.3203125,-67.64591475887028,-23.90930165875318,-43.7366131001171,11083.772898611604,10268.227101388396,10676.0,815.545797223207,21.65963660486764,21.80778689456462,21.36333602547367,-86.06811145510837,-72.90093048408406,6.158839140526631,14270.1,-882987,14034.6,-570.0,-5.557722308892354
2021-04-01,10496,10574,10454,10516,10939,9389,,,,10440.8,10490.8,10655.0,10625.23076923077,10582.903258492901,145.0,35.15901060070671,-64.32668623474092,-31.99277857395073,-32.33390766079019,11049.436039775383,10260.563960224617,10655.0,788.8720795507652,32.7998290378262,25.47180094231848,47.45588522884164,-67.3015873015873,-36.30879972334567,30.24174141925933,13330.55,-872048,13543.9,-297.0,-3.066281230642165
