时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2014-03-03,10490,10500,10348,10368,46229,8226,10368.0,10368.0,10368.0,10368.0,0.0,0.0,0.0,0.0,152.0,0.0,46229.0,0,8226.0,0.0,0.0
2014-03-04,10696,10790,10602,10632,22363,9164,10500.0,10500.0,10500.0,10500.0,21.059829059830008,4.211965811966002,16.847863247864005,99.99999999992424,287.0,35.35533905932737,34296.0,22363,8695.0,938.0,11.402868952103095
2014-03-05,10632,10717,10602,10706,11936,10892,10568.666666666666,10568.666666666666,10568.666666666666,10568.666666666666,43.22283098351727,12.014138846276257,31.208692137241012,99.99999999991124,229.66666666666666,28.921054406883837,26842.666666666668,34299,9427.333333333334,1728.0,18.856394587516377
2014-03-06,10359,10360,10262,10299,8828,11617,10501.25,10501.25,10501.25,10501.25,27.627201938161306,15.136751464653269,12.490450473508037,45.36912751677852,283.25,-55.360514900459435,22339.0,25471,9974.75,725.0,6.656261476312886
2014-03-07,10700,10700,10560,10640,18584,14449,10529.0,10529.0,10529.0,10529.0,42.29584354720464,20.568569881163548,21.727273666041093,62.52302025782689,306.8,27.501468932363487,21588.0,44055,10869.6,2832.0,24.37806662649564
2014-03-10,10200,10200,10129,10175,22665,18923,10490.4,10470.0,10470.0,10470.0,16.212348015289535,19.697325507988744,-3.4849774926992083,43.778207607994844,340.8333333333333,-71.74038492086189,21767.5,21390,12211.833333333334,4474.0,30.964080559208252
2014-03-11,10025,10150,10000,10077,39680,23268,10379.4,10413.857142857143,10413.857142857143,10413.857142857143,-12.22585900276681,13.312688605837634,-25.538547608604446,41.17647058823529,317.14285714285717,-69.26005371024311,24326.428571428572,-18290,13791.285714285714,4345.0,22.961475453152257
2014-03-12,10096,10350,10050,10180,34706,19642,10274.2,10384.625,10384.625,10384.625,-26.150655281840955,5.420019828301917,-31.570675110142872,44.63470319634703,315.0,-40.685270063287426,25623.875,16416,14522.625,-3626.0,-15.583634175691941
2014-03-13,10090,10193,10061,10191,23107,24658,10252.6,10363.111111111111,10363.111111111111,10363.111111111111,-35.88488991322811,-2.8409621200040878,-33.04392779322402,44.98014747589337,294.6666666666667,-44.69453152222433,25344.222222222223,39523,15648.777777777777,5016.0,25.537114346807854
2014-03-14,10200,10236,10165,10209,12901,24972,10166.4,10347.7,10347.7,10347.7,-41.66658496729906,-10.606086689463083,-31.060498277835976,45.536215609208305,272.3,-31.04442801152422,24099.9,52424,16581.1,314.0,1.2734203909481767
2014-03-17,10200,10210,10120,10171,22764,26012,10165.6,10328.0,10331.636363636364,10331.636363636364,-48.75290918382416,-18.235451188335297,-30.51745799548886,44.5849367784497,255.72727272727272,-36.116413197866585,23978.454545454544,29660,17438.454545454544,1040.0,4.164664424155062
2014-03-18,10165,10290,10140,10171,13060,26322,10184.4,10281.9,10318.25,10318.25,-53.7492838926828,-25.3382177292048,-28.411066163477997,44.5849367784497,246.91666666666666,-27.291717413025687,23068.583333333332,29660,18178.75,310.0,1.1917576503152283
2014-03-19,10125,10290,10125,10284,28443,25906,10205.2,10239.7,10315.615384615385,10315.615384615385,-48.03705001623166,-29.877984186610174,-18.159065829621486,47.82608695652174,240.6153846153846,-19.05972811899597,23482.0,58103,18773.153846153848,-416.0,-1.5804270192234626
2014-03-20,10300,10348,10214,10214,18105,24335,10209.8,10231.2,10308.357142857143,10308.357142857143,-48.598267919112914,-33.622040933110725,-14.976226986002189,46.15384615384615,233.0,-12.563807972756662,23097.928571428572,39998,19170.428571428572,-1571.0,-6.064232224195165
2014-03-21,10220,10260,10195,10240,12559,21901,10216.0,10191.2,10303.8,10303.8,-46.41006806616497,-36.17964635972157,-10.230421706443394,46.84418145956608,226.78571428571428,-18.44595622503223,22395.333333333332,52557,19352.466666666667,-2434.0,-10.002054653790838
2014-03-24,10206,10295,10202,10285,11884,22044,10238.8,10202.2,10302.625,10302.625,-40.577033217661665,-37.05912373130959,-3.5179094863520746,40.40906578220011,203.28571428571428,-10.801276634824559,21738.375,64441,19520.6875,143.0,0.6529382219989888
2014-03-25,10280,10324,10241,10310,12417,23742,10266.6,10225.5,10303.058823529413,10303.058823529413,-33.55027334242186,-36.357353653532044,2.807080311110184,38.75,201.0,-2.664065720959642,21190.058823529413,76858,19769.0,1698.0,7.702776265650524
2014-03-26,10315,10436,10290,10406,26464,22585,10291.0,10248.1,10308.777777777777,10308.777777777777,-20.004518188401562,-33.08678656050595,13.082268372104387,53.69220151828847,179.71428571428572,19.703775749192538,21483.055555555555,103322,19925.444444444445,-1157.0,-4.873220453205285
2014-03-27,10389,10560,10385,10527,59410,26345,10353.6,10281.7,10320.263157894737,10320.263157894737,0.4886463133334473,-26.371699985738072,26.86034629907152,45.402766476810406,163.57142857142858,48.263126281604315,23479.21052631579,162732,20263.315789473683,3760.0,16.648217843701563
2014-03-28,10530,10530,10474,10492,23114,25841,10404.0,10310.0,10328.85,10328.85,13.746953016252519,-18.347969385339955,32.09492240159247,69.83729662077597,131.07142857142858,47.984897975486184,23460.95,139618,20542.2,-504.0,-1.9130764851015392
2014-03-31,10500,10625,10492,10620,37613,29211,10471.0,10354.9,10341.45,10342.714285714286,34.1886810254764,-7.840639303176684,42.029320328653085,82.7503015681544,128.07142857142858,64.86689001905852,23030.15,177231,21591.45,3370.0,13.041290971711629
2014-04-01,10618,10650,10563,10582,20699,29017,10525.4,10396.0,10338.95,10353.59090909091,46.78332626318115,3.084153810094884,43.69917245308627,76.30890052356021,112.85714285714286,73.53887059234344,22946.95,156532,22584.1,-194.0,-0.6641333744137445
2014-04-02,10590,10724,10555,10705,50014,35867,10585.2,10438.1,10338.9,10368.869565217392,65.9297483011178,15.653272708299468,50.27647559281833,79.337899543379,115.5,91.63399287616657,24850.85,206546,23832.85,6850.0,23.606851156218767
2014-04-03,10681,10707,10650,10672,24210,38138,10614.2,10483.9,10357.55,10381.5,77.54669151259623,28.03195646915882,49.514735043437405,75.98204264870931,114.5,83.42639794651338,25619.95,182336,25158.9,2271.0,6.331725541584188
2014-04-04,10680,10705,10606,10685,35068,40253,10652.8,10528.4,10359.8,10393.64,86.8015992536366,39.78588502605437,47.01571422758222,79.67667436489607,115.14285714285714,79.2045797167306,26444.15,217404,26449.1,2115.0,5.545650007866176
2014-04-07,10685,10832,10685,10818,47299,43914,10692.4,10581.7,10391.95,10409.961538461539,103.67308994244377,52.56332600933226,51.10976393311151,82.38238238238239,114.92857142857143,92.09791973363177,27675.85,264703,27698.65,3661.0,9.09497428763073
2014-04-09,10810,10838,10725,10756,35997,45333,10727.2,10626.3,10425.9,10422.777777777777,110.76416566794978,64.20349394105577,46.560671726894014,74.89451476793249,111.21428571428571,81.09237287931961,27491.7,228706,28801.9,1419.0,3.231315753518249
2014-04-10,10790,10790,10660,10733,43156,46295,10732.8,10659.0,10453.55,10433.857142857143,113.22282424869809,74.00736000258424,39.215464246113854,78.80133185349611,110.92857142857143,63.613546232675795,27914.2,185550,30134.55,962.0,2.1220744270178393
2014-04-11,10750,10805,10682,10682,37681,47248,10734.8,10674.5,10478.1,10442.413793103447,109.79045904274608,81.16397981061661,28.62647923212947,73.86609071274299,115.07142857142857,56.87372089467828,28642.9,147869,31264.05,953.0,2.0585376390539034
2014-04-14,10670,10720,10619,10701,31274,47866,10738.0,10695.4,10502.7,10451.033333333333,107.36578021708374,86.40433989191004,20.961440325173697,73.11111111111111,115.64285714285714,42.73824579916313,29561.55,179143,32408.75,618.0,1.3079918726718542
