时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2024-08-30,6550,6648,6454,6600,156347,21214,6600.0,6600.0,6600.0,6600.0,0.0,0.0,0.0,0.0,194.0,0.0,156347.0,0,21214.0,0.0,0.0
2024-09-02,6622,6624,6360,6376,159115,33748,6488.0,6488.0,6488.0,6488.0,-17.868945868945957,-3.5737891737891916,-14.295156695156766,0.0,229.0,-35.35533905932738,157731.0,-159115,27481.0,12534.0,59.08362402187235
2024-09-03,6378,6444,6332,6386,130244,36159,6454.0,6454.0,6454.0,6454.0,-30.86747672502679,-9.032526684036712,-21.83495004099008,4.2735042735042725,190.0,-45.02505064651429,148568.66666666666,-28871,30373.666666666668,2411.0,7.1441270593813
2024-09-04,6338,6366,6238,6290,125894,39747,6413.0,6413.0,6413.0,6413.0,-48.357864413123934,-16.897594229854157,-31.460270183269778,3.030303030303031,179.5,-56.6419546356583,142900.0,-154765,32717.0,3588.0,9.922840786526166
2024-09-05,6290,6350,6216,6226,87080,38031,6375.6,6375.6,6375.6,6375.6,-66.61548594182477,-26.841172572248283,-39.77431336957649,2.538071065989854,170.4,-53.194172974095586,131736.0,-241845,33779.8,-1716.0,-4.317306966563517
2024-09-06,6242,6298,6158,6220,159227,40265,6299.6,6349.666666666667,6349.666666666667,6349.666666666667,-80.63937191511741,-37.60081244082211,-43.0385594742953,2.499999999999986,165.33333333333334,-54.40461375730603,136317.83333333334,-401072,34860.666666666664,2234.0,5.874155294365124
2024-09-09,6228,6228,6040,6090,146204,50279,6242.4,6312.571428571428,6312.571428571428,6312.571428571428,-101.07815013447635,-50.29627997955296,-50.78187015492338,1.8867924528301785,168.57142857142858,-70.30455315357466,137730.14285714287,-547276,37063.28571428572,10014.0,24.870234695144667
2024-09-10,6080,6094,5914,5914,168541,53283,6148.0,6262.75,6262.75,6262.75,-129.97943620224214,-66.2329112240908,-63.74652497815134,1.416430594900845,170.0,-83.09506535637895,141581.5,-715817,39090.75,3004.0,5.974661389446889
2024-09-11,5912,6374,5736,6002,501473,63054,6090.4,6233.777777777777,6233.777777777777,6233.777777777777,-144.1217037914921,-81.81066973757106,-62.31103405392105,12.342569269521405,222.0,-56.91552864413693,181569.44444444444,-214344,41753.333333333336,9771.0,18.33793142278024
2024-09-12,6000,6076,5880,6048,360488,61361,6054.8,6215.2,6215.2,6215.2,-149.88989972276795,-95.42651573461045,-54.4633839881575,17.14285714285714,219.4,-57.74228279865784,199461.3,146144,43714.1,-1693.0,-2.6850001585942196
2024-09-13,6086,6160,6012,6092,258605,49785,6029.2,6164.4,6204.0,6204.0,-149.19102303390628,-106.17941719446962,-43.011605839436655,21.266968325791865,212.9090909090909,-33.73126239117229,204838.0,404749,44266.0,-11576.0,-18.865403106207523
