时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2012-12-31,2430,2458,2385,2398,210558,0,2398.0,2398.0,2398.0,2398.0,0.0,0.0,0.0,0.0,73.0,0.0,210558.0,0,0.0,0.0,0.0
2013-01-01,2399,2399,2336,2340,118597,0,2369.0,2369.0,2369.0,2369.0,-4.626780626781056,-0.9253561253562111,-3.7014245014248446,0.0,68.0,-35.35533905932738,164577.5,-118597,0.0,0.0,0.0
2013-01-07,2322,2380,2316,2370,96941,0,2369.3333333333335,2369.3333333333335,2369.3333333333335,2369.3333333333335,-5.805861965406621,-1.9014572933662932,-3.9044046720403274,34.09090909090909,66.66666666666667,-31.12071048628281,142032.0,-21656,0.0,0.0,0.0
2013-01-08,2365,2457,2360,2455,203030,0,2390.75,2390.75,2390.75,2390.75,0.11714680878048966,-1.4977364729369367,1.6148832817174263,66.47398843930637,74.25,50.14200156198817,157281.5,181374,0.0,0.0,0.0
2013-01-09,2470,2500,2438,2480,449791,0,2408.6,2408.6,2408.6,2408.6,6.75064773660506,0.1519403689714629,6.598707367633597,70.7070707070707,71.8,69.05337990743094,215783.4,631165,0.0,0.0,0.0
2013-01-10,2488,2514,2472,2478,348402,0,2424.6,2420.1666666666665,2420.1666666666665,2420.1666666666665,11.71136045513822,2.463824386204814,9.247536068933405,70.0,66.83333333333333,62.408737834988536,237886.5,282763,0.0,0.0,0.0
2013-01-11,2473,2490,2459,2462,295543,0,2449.0,2426.1428571428573,2426.1428571428573,2426.1428571428573,14.188142665326268,4.808688042029106,9.379454623297162,64.81481481481481,61.714285714285715,40.75003668125353,246123.14285714287,-12780,0.0,0.0,0.0
2013-01-14,2465,2525,2463,2509,810735,0,2476.8,2436.5,2436.5,2436.5,19.716241061737946,7.790198645970873,11.926042415767073,71.10266159695817,61.875,56.455683784296056,316699.625,797955,0.0,0.0,0.0
2013-01-15,2527,2548,2505,2541,649880,0,2494.0,2448.1111111111113,2448.1111111111113,2448.1111111111113,26.375392328878206,11.50723738255234,14.868154946325866,74.23728813559322,59.77777777777778,69.11543422860638,353719.6666666667,1447835,0.0,0.0,0.0
2013-01-16,2549,2618,2542,2562,837167,0,2510.4,2459.5,2459.5,2459.5,32.96731548884418,15.799253003810708,17.16806248503347,75.9493670886076,61.5,81.21717651031207,402064.4,2285002,0.0,0.0,0.0
2013-01-17,2565,2595,2542,2586,535434,0,2532.0,2478.3,2471.0,2471.0,39.67076166273364,20.573554735595295,19.097206927138345,77.64705882352942,60.72727272727273,69.31351409325265,414188.9090909091,2820436,0.0,0.0,0.0
2013-01-18,2602,2612,2565,2571,407703,0,2553.8,2501.4,2479.3333333333335,2479.3333333333335,43.2740797572319,25.113659739922618,18.160420017309285,74.36619718309859,59.583333333333336,65.51196814205649,413648.4166666667,2412733,0.0,0.0,0.0
2013-01-21,2580,2612,2561,2573,473696,0,2566.6,2521.7,2486.5384615384614,2486.5384615384614,45.76358447790972,29.24364468752004,16.519939790389678,74.50980392156862,58.92307692307692,58.71995236470801,418267.46153846156,2886429,0.0,0.0,0.0
2013-01-22,2575,2591,2562,2573,284420,0,2573.0,2533.5,2492.714285714286,2492.714285714286,47.19252880917702,32.83342151185144,14.359107297325579,74.50980392156862,56.785714285714285,50.50644365606378,408706.9285714286,2886429,0.0,0.0,0.0
2013-01-23,2574,2595,2574,2591,271763,0,2578.8,2544.6,2499.266666666667,2499.266666666667,49.210162928441605,36.10876979516948,13.101393133272126,75.73333333333333,53.142857142857146,53.183117129504254,399577.3333333333,3158192,0.0,0.0,0.0
2013-01-24,2591,2604,2573,2576,205813,0,2576.8,2554.4,2504.0625,2504.0625,49.033549626686636,38.69372576147291,10.339823865213724,85.5421686746988,50.857142857142854,48.52159014547071,387467.0625,2952379,0.0,0.0,0.0
2013-01-25,2569,2569,2486,2493,385763,0,2561.2,2557.5,2503.4117647058824,2503.4117647058824,41.71530787030679,39.29804218323969,2.4172656870671005,65.97402597402598,52.714285714285715,6.789971283535224,387366.82352941175,2566616,0.0,0.0,0.0
2013-01-28,2500,2518,2493,2504,297785,0,2547.4,2557.0,2503.4444444444443,2503.4444444444443,36.3837474301763,38.71518323262701,-2.331435802450713,57.87781350482315,47.57142857142857,-0.1077735508801573,382390.05555555556,2864401,0.0,0.0,0.0
2013-01-29,2513,2524,2484,2521,277468,0,2537.0,2555.0,2504.3684210526317,2504.3684210526317,33.14809469297779,37.60176552469717,-4.4536708317193785,56.76567656765676,46.0,2.83638820056464,376867.84210526315,3141869,0.0,0.0,0.0
2013-01-30,2521,2528,2506,2515,187622,0,2521.8,2550.3,2504.9,2504.9,29.756650586136402,36.03274253698502,-6.276091950848617,56.02605863192183,44.57142857142857,7.093642804209306,367405.55,2954247,0.0,0.0,0.0
2013-01-31,2518,2538,2516,2531,150737,0,2512.8,2544.8,2511.55,2506.1428571428573,28.036782404580663,34.43355051050415,-6.396768105923485,61.237785016286644,44.0,11.89289298197888,364414.5,3104984,0.0,0.0,0.0
2013-02-01,2542,2550,2533,2537,87179,0,2521.6,2541.4,2521.4,2507.5454545454545,26.848432320403845,32.91652687248409,-6.068094552080247,55.26315789473684,40.857142857142854,15.98868239298014,362843.6,3192163,0.0,0.0,0.0
2013-02-04,2530,2532,2477,2521,319802,0,2525.0,2536.2,2528.95,2508.1304347826085,24.33507049011814,31.200235596010902,-6.8651651058927605,46.0,42.07142857142857,-20.08808163025592,373986.65,2872361,0.0,0.0,0.0
2013-02-05,2521,2579,2520,2561,248182,0,2533.0,2535.0,2534.25,2510.3333333333335,25.2794728112317,30.016083039055065,-4.736610227823366,49.81412639405204,40.785714285714285,23.446761584761518,376244.25,3120543,0.0,0.0,0.0
2013-02-06,2558,2614,2549,2586,493112,0,2547.2,2534.5,2539.55,2513.36,27.725605993742647,29.55798762999258,-1.8323816362499343,50.0,41.642857142857146,56.43061629494139,378410.3,3613655,0.0,0.0,0.0
2013-02-07,2600,2609,2576,2579,154408,0,2556.8,2534.8,2544.6,2515.8846153846152,28.767726225126353,29.399935349019337,-0.6322091238929843,51.52671755725191,40.642857142857146,57.50337196464248,368710.6,3459247,0.0,0.0,0.0
2013-02-08,2576,2586,2563,2567,86485,0,2562.8,2542.2,2549.85,2517.777777777778,28.2990998967216,29.17976825855979,-0.8806683618381896,48.897058823529406,38.642857142857146,32.620890405467115,358257.7,3372762,0.0,0.0,0.0
2013-02-11,2572,2602,2572,2586,68615,0,2575.8,2550.4,2553.7,2520.214285714286,29.12511516766699,29.16883764038123,-0.04372247271424001,52.23367697594502,39.07142857142857,50.46036074483384,321151.7,3441377,0.0,0.0,0.0
