时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2000-01-05,10055,10075,10050,10075,552,0,10075.0,10075.0,10075.0,10075.0,0.0,0.0,0.0,0.0,25.0,0.0,552.0,0,0.0,0.0,0.0
2000-01-06,10050,10185,10050,10115,653,0,10095.0,10095.0,10095.0,10095.0,3.190883190882232,0.6381766381764464,2.5527065527057857,99.9999999995,80.0,35.35533905932737,602.5,653,0.0,0.0,0.0
2000-01-07,10070,10115,10070,10110,448,0,10100.0,10100.0,10100.0,10100.0,5.255639158771373,1.5616691422954319,3.6939700164759417,88.88888888888889,68.33333333333333,8.785375735906788,551.0,205,0.0,0.0,0.0
2000-01-10,10070,10250,10070,10220,909,0,10130.0,10130.0,10130.0,10130.0,15.588360909583571,4.36700749575306,11.22135341383051,96.7741935483871,96.25,67.62264824809594,640.5,1114,0.0,0.0,0.0
2000-01-12,10195,10335,10185,10255,1241,0,10155.0,10155.0,10155.0,10155.0,26.298175832189372,8.753241163040322,17.54493466914905,97.36842105263158,107.0,75.09408692052935,760.6,2355,0.0,0.0,0.0
2000-01-13,10265,10300,10255,10265,665,0,10193.0,10173.333333333334,10173.333333333334,10173.333333333334,35.18708295580109,14.040009521592475,21.147073434208615,97.5,96.66666666666667,62.542909523943706,744.6666666666666,3020,0.0,0.0,0.0
2000-01-14,10260,10395,10260,10385,1273,0,10247.0,10203.57142857143,10203.57142857143,10203.57142857143,51.32298360301138,21.496604337876256,29.826379265135124,98.4375,102.14285714285714,74.43911888671532,820.1428571428571,4293,0.0,0.0,0.0
2000-01-17,10385,10490,10375,10460,1666,0,10317.0,10235.625,10235.625,10235.625,69.36309968156093,31.069903406613193,38.29319627494773,98.73417721518987,103.75,83.6065395335176,925.875,5959,0.0,0.0,0.0
2000-01-18,10460,10525,10380,10415,1742,0,10356.0,10255.555555555555,10255.555555555555,10255.555555555555,79.1168874960149,40.67930022449353,38.437587271521366,88.63636363636364,108.33333333333333,67.86598804823382,1016.5555555555555,4217,0.0,0.0,0.0
2000-01-19,10415,10440,10385,10390,846,0,10383.0,10269.0,10269.0,10269.0,83.86282509998091,49.316005199591004,34.546819900389906,83.87096774193549,103.0,49.704058061417236,999.5,3371,0.0,0.0,0.0
2000-01-20,10375,10615,10375,10565,2181,0,10443.0,10318.0,10295.90909090909,10295.90909090909,100.58556453214624,59.56991706610206,41.01564746604418,88.28125,115.45454545454545,74.40789188820277,1106.909090909091,5552,0.0,0.0,0.0
2000-01-21,10575,10605,10495,10555,1594,0,10477.0,10362.0,10317.5,10317.5,111.74343087322086,70.00461982752583,41.73881104569503,86.92307692307692,115.0,72.71354471719337,1147.5,3958,0.0,0.0,0.0
2000-01-24,10570,10580,10515,10535,850,0,10492.0,10404.5,10334.23076923077,10334.23076923077,117.61647793960947,79.52699144994256,38.08948648966691,84.32835820895522,111.15384615384616,62.71445893883455,1124.6153846153845,3108,0.0,0.0,0.0
2000-01-25,10510,10515,10300,10345,2833,0,10478.0,10417.0,10335.0,10335.0,105.72081421168514,84.76575600229107,20.955058209394068,65.69767441860465,120.0,16.809313596027955,1246.642857142857,275,0.0,0.0,0.0
2000-01-26,10335,10370,10215,10230,1551,0,10446.0,10414.5,10328.0,10328.0,86.02226497514494,85.01705779686185,1.0052071782830865,57.94871794871795,129.28571428571428,-16.964555511308113,1266.9333333333334,-1276,0.0,0.0,0.0
2000-01-27,10190,10260,10155,10220,1459,0,10377.0,10410.0,10321.25,10321.25,68.8108971690217,81.77582567129383,-12.96492850227213,55.55555555555556,127.14285714285714,-33.89036738148797,1278.9375,-2735,0.0,0.0,0.0
2000-01-28,10190,10325,10190,10310,1263,0,10328.0,10402.5,10320.588235294117,10320.588235294117,61.72152470360743,77.76496547775655,-16.04344077414912,59.70873786407767,133.57142857142858,-13.53913321001457,1278.0,-1472,0.0,0.0,0.0
2000-01-31,10320,10375,10300,10325,891,0,10286.0,10389.0,10320.833333333334,10320.833333333334,56.66037505459644,73.54404739312453,-16.883672338528086,55.61497326203209,126.07142857142857,5.227102177651584,1256.5,-581,0.0,0.0,0.0
2000-02-01,10310,10365,10205,10360,588,0,10289.0,10383.5,10322.894736842105,10322.894736842105,54.84140738024689,69.80351939054901,-14.962112010302121,55.61497326203209,126.78571428571429,-2.502367989380212,1221.3157894736842,7,0.0,0.0,0.0
2000-02-02,10365,10455,10360,10450,881,0,10333.0,10389.5,10329.25,10329.25,59.9708041324775,67.83697633893472,-7.866172206457222,59.11330049261084,130.35714285714286,34.551127225814604,1204.3,888,0.0,0.0,0.0
2000-02-03,10395,10405,10300,10300,859,0,10349.0,10363.0,10340.5,10327.857142857143,51.34032233855396,64.53764553885857,-13.19732320030461,45.933014354066984,131.42857142857142,-0.3518541614151512,1219.65,29,0.0,0.0,0.0
2000-02-15,10285,10595,10285,10585,1006,0,10404.0,10366.0,10364.0,10339.545454545454,66.72851668988551,64.97581976906396,1.752696920821549,54.9800796812749,145.35714285714286,54.10351994714743,1237.3,1035,0.0,0.0,0.0
2000-02-16,10575,10580,10505,10535,817,0,10446.0,10366.0,10385.25,10348.04347826087,74.03575139033092,66.78780609331736,7.247945297013558,54.76190476190476,140.71428571428572,71.27645320791385,1255.75,218,0.0,0.0,0.0
2000-02-17,10490,10520,10415,10425,1151,0,10459.0,10374.0,10395.5,10351.25,70.14215178081758,67.4586752308174,2.6834765500001794,51.301115241635685,145.35714285714286,29.77638289863155,1267.85,-933,0.0,0.0,0.0
2000-02-18,10405,10505,10345,10460,700,0,10461.0,10397.0,10405.75,10355.6,69.08429280720156,67.78379874609425,1.3004940611073152,45.64315352697095,139.64285714285714,18.44392739498653,1240.8,-233,0.0,0.0,0.0
2000-02-21,10445,10505,10435,10440,450,0,10489.0,10419.0,10414.5,10358.846153846154,65.87275893548212,67.40159078397183,-1.5288318484897019,45.267489711934154,136.78571428571428,26.275022236874953,1230.05,-683,0.0,0.0,0.0
2000-02-22,10435,10450,10400,10445,335,0,10461.0,10432.5,10417.5,10362.037037037036,63.004773606522576,66.52222734848198,-3.5174537419594003,46.25000000000001,135.71428571428572,9.749117957477445,1183.15,-348,0.0,0.0,0.0
2000-02-23,10435,10465,10345,10375,401,0,10429.0,10437.5,10413.25,10362.5,54.45572785185141,64.10892744915587,-9.653199597304464,51.388888888888886,127.5,-7.959348374434663,1119.9,-749,0.0,0.0,0.0
