时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2019-12-06,1580.0,1585.0,1546.0,1561.0,159015,19461,1561.0,1561.0,1561.0,1561.0,0.0,0.0,0.0,0.0,39.0,0.0,159015.0,0,19461.0,0.0,0.0
2019-12-09,1564.0,1591.0,1556.0,1572.0,83739,15784,1566.5,1566.5,1566.5,1566.5,0.8774928774928412,0.17549857549856826,0.7019943019942729,99.99999999818182,37.0,35.35533905932738,121377.0,83739,17622.5,-3677.0,-18.894198653717687
2019-12-10,1572.0,1634.0,1570.0,1634.0,110836,34088,1589.0,1589.0,1589.0,1589.0,6.5008563242183754,1.4405701252425298,5.060286198975845,99.99999999958904,46.0,56.856480825705425,117863.33333333333,194575,23111.0,18304.0,115.96553471870249
2019-12-11,1649.0,1674.0,1637.0,1649.0,229577,33010,1604.0,1604.0,1604.0,1604.0,12.029122770237109,3.558280654241446,8.470842115995662,99.99999999954545,44.5,64.22390471419946,145791.75,424152,25585.75,-1078.0,-3.162403191739027
2019-12-12,1642.0,1654.0,1625.0,1630.0,122811,35024,1609.2,1609.2,1609.2,1609.2,14.707632119451318,5.7881509472834205,8.919481172167899,82.24299065420561,41.4,36.626664948596506,141195.6,301341,27473.4,2014.0,6.101181460163585
2019-12-13,1633.0,1639.0,1623.0,1630.0,66160,34693,1623.0,1612.6666666666667,1612.6666666666667,1612.6666666666667,16.638570987132653,7.958234955253267,8.680336031879385,82.24299065420561,37.166666666666664,26.401567582933268,128689.66666666667,301341,28676.666666666668,-331.0,-0.9450662402923693
2019-12-16,1634.0,1659.0,1626.0,1632.0,138825,38749,1635.0,1615.4285714285713,1615.4285714285713,1615.4285714285713,18.12134564429448,9.99085709306151,8.130488551232968,82.56880733944953,36.57142857142857,34.01963597200958,130137.57142857143,440166,30115.571428571428,4056.0,11.691119245957404
2019-12-17,1629.0,1636.0,1578.0,1623.0,111870,35298,1632.8,1616.375,1616.375,1616.375,18.3586039011102,11.66440645467125,6.694197446438951,76.27118644067797,39.25,-4.440941595245404,127854.125,328296,30763.375,-3451.0,-8.90603628480735
2019-12-18,1623.0,1650.0,1622.0,1628.0,97596,35900,1628.6,1617.6666666666667,1617.6666666666667,1617.6666666666667,18.734135539343697,13.07835227160574,5.655783267737958,77.23577235772358,38.0,26.517502576678318,124492.11111111111,425892,31334.11111111111,602.0,1.7054790639696282
2019-12-19,1628.0,1641.0,1623.0,1626.0,65476,37415,1627.8,1618.5,1618.5,1618.5,18.655316902183586,14.19374519772131,4.461571704462276,76.0,36.0,19.89098585157014,118590.5,360416,31942.2,1515.0,4.220055710306414
2019-12-20,1626.0,1630.0,1611.0,1611.0,67218,42062,1624.0,1623.5,1617.8181818181818,1617.8181818181818,17.18438700808747,14.791873559794542,2.3925134482929273,67.85714285714286,34.45454545454545,-1.8728874087955218,113920.27272727272,293198,32862.181818181816,4647.0,12.42015234531606
2019-12-23,1610.0,1616.0,1596.0,1601.0,56529,41684,1617.8,1626.4,1616.4166666666667,1616.4166666666667,15.038394788974074,14.84117780563045,0.19721698334362436,63.333333333333336,33.25,-24.232779780323593,109137.66666666667,236669,33597.333333333336,-378.0,-0.8986733869050467
2019-12-24,1603.0,1614.0,1600.0,1604.0,31042,41534,1614.0,1623.4,1615.4615384615386,1615.4615384615386,13.425000374694491,14.557942319443258,-1.132941944748767,64.05228758169935,31.76923076923077,-20.18555452429877,103130.30769230769,267711,34207.846153846156,-150.0,-0.3598503022742561
2019-12-25,1602.0,1610.0,1599.0,1603.0,28939,44016,1609.0,1618.8,1614.5714285714287,1614.5714285714287,11.928181384877917,14.031990132530192,-2.103808747652275,63.63636363636363,30.285714285714285,-23.078650589300906,97830.92857142857,238772,34908.42857142857,2482.0,5.9758270332739505
2019-12-26,1602.0,1617.0,1602.0,1609.0,27865,42882,1605.6,1616.7,1614.2,1614.2,11.098158741746602,13.445223854373474,-2.347065112626872,65.0,28.571428571428573,-11.917397663196224,93166.53333333334,266637,35440.0,-1134.0,-2.57633587786259
2019-12-27,1609.0,1629.0,1607.0,1608.0,51132,43038,1605.0,1614.5,1613.8125,1613.8125,10.241609277849193,12.804500939068618,-2.5628916612194246,62.0,27.642857142857142,-0.7649736975962366,90539.375,215505,35914.875,156.0,0.36378900237861167
2019-12-30,1609.0,1636.0,1608.0,1633.0,39558,40143,1611.4,1614.6,1614.9411764705883,1614.9411764705883,11.448112013794344,12.533223154013765,-1.0851111402194213,49.557522123893804,25.071428571428573,22.20451411153779,87540.4705882353,255063,36163.58823529412,-2895.0,-6.7266136902272455
2019-12-31,1633.0,1643.0,1629.0,1633.0,39573,36698,1617.2,1615.6,1615.9444444444443,1615.9444444444443,12.262914875132537,12.47916149823752,-0.21624662310498266,41.83673469387755,23.214285714285715,40.873960273778216,84875.61111111111,255063,36193.27777777778,-3445.0,-8.581819993523155
2020-01-02,1633.0,1641.0,1618.0,1625.0,26179,34862,1621.6,1615.3,1616.421052631579,1616.421052631579,12.123368229455764,12.40800284448117,-0.2846346150254053,47.12643678160919,22.785714285714285,24.41295782345191,81786.31578947368,228884,36123.21052631579,-1836.0,-5.002997438552514
2020-01-03,1626.0,1634.0,1620.0,1629.0,23178,33974,1625.6,1615.6,1617.05,1617.05,12.19496708849033,12.365395693283002,-0.1704286047926722,49.45054945054945,22.642857142857142,22.949327101409153,78855.9,252062,36015.75,-888.0,-2.5471860478457953
2020-01-06,1629.0,1646.0,1628.0,1638.0,40966,33327,1631.6,1618.3,1620.9,1618.047619047619,12.830037794702548,12.458324113566913,0.37171368113563474,53.06122448979592,21.571428571428573,44.7962152489581,72953.45,293028,36709.05,-647.0,-1.904397480426212
2020-01-07,1636.0,1640.0,1624.0,1627.0,19256,32570,1630.4,1620.9,1623.65,1618.4545454545455,12.303896179402273,12.427438526733987,-0.1235423473317141,52.0,18.571428571428573,21.994893179362396,69729.3,273772,37548.35,-757.0,-2.2714315719986833
2020-01-08,1626.0,1638.0,1624.0,1630.0,19972,32306,1629.8,1623.5,1623.45,1618.9565217391305,11.990777863376252,12.34010639406244,-0.3493285306861882,51.020408163265316,17.571428571428573,20.23695669184505,65186.1,293744,37459.25,-264.0,-0.8105618667485381
2020-01-09,1629.0,1635.0,1621.0,1632.0,27286,29476,1631.2,1626.4,1622.6,1619.5,11.768354363772914,12.225755988004535,-0.4574016242316201,53.06122448979592,17.285714285714285,22.58880752980953,55071.55,321030,37282.55,-2830.0,-8.759982665758681
2020-01-10,1633.0,1675.0,1633.0,1658.0,173405,39616,1637.0,1631.3,1624.0,1621.04,13.534052711790082,12.487415332761646,1.0466373790284358,71.55963302752293,19.0,113.46201303144217,57601.25,494435,37512.15,10140.0,34.400868503189045
2020-01-13,1659.0,1661.0,1646.0,1653.0,30481,37522,1640.0,1635.8,1625.15,1622.2692307692307,14.364339990586586,12.862800264326635,1.501539726259951,75.0,18.642857142857142,92.1273781444722,55817.3,463954,37653.6,-2094.0,-5.285743134087239
2020-01-14,1657.0,1660.0,1648.0,1653.0,23832,36145,1645.2,1637.8,1626.2,1623.4074074074074,14.851153784622966,13.260470968385903,1.590682816237063,74.25742574257426,18.5,84.99453949210861,50067.65,463954,37523.4,-1377.0,-3.6698470230797975
2020-01-15,1654.0,1691.0,1652.0,1665.0,129730,39110,1652.2,1641.0,1628.3,1624.892857142857,16.02058164280379,13.812493103269482,2.208088539534309,77.67857142857143,20.5,110.10219262636042,50960.65,593684,37714.0,2965.0,8.203070964172078
2020-01-16,1667.0,1679.0,1665.0,1668.0,34266,36492,1659.4,1645.3,1630.3,1626.3793103448277,16.993545558554615,14.44870359432651,2.5448419642281053,77.06422018348624,20.428571428571427,96.79518768087809,47794.15,627950,37743.6,-2618.0,-6.693940168754797
2020-01-17,1674.0,1684.0,1667.0,1677.0,40310,37576,1663.2,1650.1,1632.85,1628.0666666666666,18.280129303845797,15.214988736230367,3.0651405676154297,79.48717948717949,20.071428571428573,93.64459777921044,46535.85,668260,37751.65,1084.0,2.9705140852789746
2020-01-20,1678.0,1680.0,1658.0,1667.0,31571,33031,1666.0,1653.0,1635.65,1629.3225806451612,18.282095152107104,15.828410019405716,2.4536851327013878,66.66666666666666,19.642857142857142,68.19900367122798,44753.5,636689,37300.1,-4545.0,-12.095486480732387
2020-01-21,1668.0,1674.0,1655.0,1655.0,17726,32381,1666.4,1655.8,1638.35,1630.125,17.118027424652382,16.086333500455048,1.0316939241973344,59.64912280701754,20.0,48.4910819354561,42813.35,618963,36834.95,-650.0,-1.96784838485059
2020-01-22,1657.0,1657.0,1631.0,1642.0,33941,26024,1661.8,1657.0,1640.25,1630.4848484848485,14.973894277220325,15.863845655808102,-0.889951378587778,57.14285714285714,20.214285714285715,5.07887555747463,42958.3,585022,36059.45,-6357.0,-19.631882894289866
2020-01-23,1644.0,1651.0,1591.0,1615.0,24597,22223,1651.2,1655.3,1640.85,1630.0294117647059,10.969529055987778,14.88498233584404,-3.915453279856262,45.070422535211264,23.5,-56.759041655833414,42741.2,560425,34969.8,-3801.0,-14.605748539809404
2020-02-03,1517.0,1546.0,1509.0,1519.0,30443,18012,1619.6,1641.4,1636.35,1626.857142857143,0.04907734070866354,11.917801336816966,-11.868723996108303,24.017467248908304,29.785714285714285,-173.8630354613324,42870.1,529982,33726.3,-4211.0,-18.94883679071232
2020-02-04,1528.0,1570.0,1528.0,1561.0,19994,18788,1598.4,1632.2,1634.0,1625.0277777777778,-5.156964058335689,8.502848257786436,-13.659812316122125,37.307692307692314,32.285714285714285,-109.20253913936848,41313.2,549976,32513.8,776.0,4.308238951809895
2020-02-05,1558.0,1569.0,1551.0,1560.0,18788,21591,1579.4,1622.9,1630.35,1623.2702702702702,-9.25677468085405,4.950923670058339,-14.20769835091239,36.434108527131784,32.57142857142857,-87.17254249250374,40274.7,531188,31586.2,2803.0,14.919097296146466
2020-02-06,1562.0,1577.0,1561.0,1574.0,13995,19533,1565.8,1613.8,1627.4,1621.9736842105262,-11.24657759387128,1.7114234172724152,-12.958001011143695,39.25925925925927,32.785714285714285,-66.6703137507213,38995.8,545183,30727.95,-2058.0,-9.531749340002783
2020-02-07,1574.0,1609.0,1571.0,1574.0,10599,19840,1557.6,1604.4,1624.85,1620.7435897435898,-12.677373863684124,-1.1663360389188928,-11.511037824765232,32.786885245901644,32.42857142857143,-46.730120052150184,38216.8,545183,29976.85,307.0,1.57169917575386
2020-02-10,1573.0,1577.0,1562.0,1568.0,6875,20067,1567.4,1593.5,1621.8,1619.425,-14.132529073780233,-3.7595746458911607,-10.372954427889074,32.65306122448979,32.42857142857143,-58.765366920642265,37401.65,538308,29281.5,227.0,1.1441532258064546
2020-02-11,1569.0,1581.0,1564.0,1579.0,10022,19745,1571.0,1584.7,1618.85,1618.439024390244,-14.234060602217369,-5.854471837156403,-8.379588765060966,35.546875,32.785714285714285,-48.04392778560692,35854.45,548330,28602.4,-322.0,-1.6046245078985444
2020-02-12,1578.0,1588.0,1572.0,1578.0,9233,20825,1574.6,1577.0,1616.4,1617.4761904761904,-14.231168658944853,-7.529811201514093,-6.70135745743076,32.244897959183675,31.142857142857142,-39.71580250576873,35353.3,539097,28015.15,1080.0,5.469739174474553
2020-02-13,1579.0,1587.0,1573.0,1581.0,8057,21245,1576.0,1570.9,1613.95,1616.6279069767443,-13.827408091891357,-8.789330579589546,-5.038077512301811,32.244897959183675,31.142857142857142,-35.605836613530556,34757.55,547154,27462.1,420.0,2.0168067226890685
2020-02-14,1580.0,1583.0,1572.0,1578.0,5604,20935,1576.8,1567.2,1611.25,1615.75,-13.592810404406237,-9.750026544552885,-3.842783859853352,29.288702928870293,30.714285714285715,-35.28435300354507,33673.45,541550,27035.05,-310.0,-1.4591668627912502
2020-02-17,1578.0,1588.0,1577.0,1586.0,7310,21231,1580.4,1573.9,1607.65,1615.088888888889,-12.615928336953175,-10.323206903032943,-2.2927214339202315,32.91139240506328,29.928571428571427,-25.869428175353224,25368.7,548860,26115.8,296.0,1.4139001671841456
2020-02-18,1590.0,1595.0,1581.0,1583.0,5105,20735,1581.2,1576.1,1604.15,1614.391304347826,-11.946109870008968,-10.64778749642815,-1.2983223735808185,34.21052631578948,29.571428571428573,-20.029619448623098,24099.9,543755,25276.45,-496.0,-2.336206490509163
2020-02-19,1583.0,1590.0,1583.0,1587.0,4483,20201,1583.0,1578.8,1600.85,1613.8085106382978,-10.966096998528428,-10.711449396848206,-0.2546476016802224,37.44292237442922,28.214285714285715,-16.574718777219008,23132.45,548238,24479.25,-534.0,-2.575355678803959
2020-02-20,1588.0,1590.0,1565.0,1586.0,12495,21448,1584.0,1580.0,1596.9,1613.2291666666667,-10.153082959635867,-10.59977610940574,0.44669314976987273,42.487046632124354,25.714285714285715,-19.747393563645236,17270.7,535743,23596.15,1247.0,6.172961734567606
2020-02-21,1580.0,1588.0,1570.0,1579.0,15823,22350,1584.2,1580.5,1592.45,1612.530612244898,-9.958806057829634,-10.471582099090519,0.512776041260885,78.84615384615384,19.428571428571427,-17.37728028251462,16348.55,519920,22889.05,902.0,4.2055203282357345
2020-02-24,1575.0,1590.0,1567.0,1587.0,16435,23054,1584.4,1582.4,1587.95,1612.02,-9.054927504473426,-10.1882511801671,1.1333236756936742,68.57142857142857,17.428571428571427,-9.783553179528093,15154.8,536355,22162.95,704.0,3.149888143176738
2020-02-25,1585.0,1637.0,1584.0,1605.0,55706,26495,1588.8,1585.0,1584.85,1611.8823529411766,-6.807673053787084,-9.512135554891097,2.704462501104013,75.86206896551724,19.928571428571427,39.26808778770167,16361.55,592061,21836.15,3441.0,14.925826320812007
2020-02-26,1604.0,1607.0,1577.0,1581.0,25077,23636,1587.6,1585.3,1581.15,1611.2884615384614,-6.883953207194963,-8.986499085351872,2.102545878156908,53.60824742268041,20.857142857142858,14.174238183404404,16729.1,566984,21398.9,-2859.0,-10.79071522928855
2020-02-27,1582.0,1585.0,1567.0,1575.0,14567,23227,1585.4,1584.7,1577.8,1610.6037735849056,-7.343899729583427,-8.657979214198184,1.3140794846147568,50.48543689320388,19.428571428571427,-6.506902224472146,15760.4,552417,21259.05,-409.0,-1.7304112370959523
2020-02-28,1564.0,1574.0,1542.0,1565.0,16218,23638,1582.6,1583.4,1575.3,1609.7592592592594,-8.418286324280189,-8.610040636214585,0.19175431193439607,48.598130841121495,20.714285714285715,-44.16155498155412,15341.45,536199,21329.8,411.0,1.7694924010849489
2020-03-02,1564.0,1592.0,1563.0,1587.0,15366,24188,1582.6,1583.5,1578.7,1609.3454545454545,-7.409121561443726,-8.369856821260413,0.960735259816687,53.389830508474574,21.571428571428573,11.088837363493116,14587.6,551565,21638.6,550.0,2.32676199340045
2020-03-03,1589.0,1600.0,1568.0,1571.0,17940,26232,1575.8,1582.3,1579.2,1608.6607142857142,-7.810384250829202,-8.257962307174171,0.4475780563449696,47.368421052631575,22.714285714285715,1.522782147902456,14484.9,533625,22010.8,2044.0,8.450471308086648
2020-03-04,1578.0,1580.0,1569.0,1574.0,6538,26030,1574.4,1581.0,1579.9,1608.0526315789473,-7.796440383528989,-8.165657922445135,0.3692175389161463,47.368421052631575,22.5,-30.354511182696427,13872.4,540163,22232.75,-202.0,-0.7700518450747151
2020-03-05,1574.0,1575.0,1550.0,1556.0,22192,30653,1570.6,1578.0,1579.0,1607.155172413793,-9.132564813609633,-8.359039300678035,-0.7735255129315988,42.56756756756757,23.5,-93.87877384172432,14282.25,517971,22788.75,4623.0,17.760276603918545
2020-03-06,1555.0,1558.0,1544.0,1553.0,15316,30629,1568.2,1575.4,1577.95,1606.2372881355932,-10.314627374913698,-8.750156915525167,-1.5644704593885308,38.46153846153846,23.714285714285715,-110.29496172111678,14518.1,502655,23328.2,-24.0,-0.07829576224186452
2020-03-09,1506.0,1538.0,1501.0,1527.0,28000,28458,1556.2,1569.4,1575.9,1604.9166666666667,-13.197273229212897,-9.639580178262714,-3.557693050950183,33.13253012048192,26.428571428571427,-155.6502834848063,15574.35,474655,23747.75,-2171.0,-7.088053805217276
2020-03-10,1530.0,1549.0,1529.0,1539.0,12592,27834,1549.8,1562.8,1573.9,1604.55,-14.348095215011881,-10.581283185612548,-3.7668120293993326,36.206896551724135,27.5,-91.26001139744574,15702.85,487247,24152.2,-624.0,-2.1927050390048497
2020-03-11,1538.0,1600.0,1534.0,1542.0,17821,29006,1543.4,1558.9,1572.1,1604.05,-14.8469090760791,-11.43440836370586,-3.412500712373241,37.5,30.428571428571427,-36.46235167910656,16132.25,505068,24561.25,1172.0,4.210677588560752
2020-03-12,1542.0,1542.0,1521.0,1522.0,11058,28249,1536.6,1553.6,1569.15,1602.1833333333334,-16.66396370710254,-12.480319432385196,-4.183644274717343,34.920634920634924,30.642857142857142,-96.85093146170811,16282.3,494010,24911.45,-757.0,-2.609804867958354
2020-03-13,1518.0,1528.0,1512.0,1518.0,12744,27301,1529.6,1548.9,1566.15,1600.0,-18.216767606541453,-13.627609067216447,-4.589158539325005,31.351351351351354,30.142857142857142,-98.60315861361869,16639.3,481266,25229.75,-948.0,-3.3558710042833395
2020-03-16,1523.0,1527.0,1505.0,1505.0,12752,26933,1525.2,1540.7,1562.1,1597.9166666666667,-20.262790404032785,-14.954645334579716,-5.308145069453069,22.222222222222214,27.928571428571427,-95.59231843425923,16911.4,468514,25514.85,-368.0,-1.347935973041281
2020-03-17,1498.0,1504.0,1485.0,1486.0,18207,26308,1514.6,1532.2,1557.25,1595.5166666666667,-23.15055424361708,-16.59382711638719,-6.556727127229891,22.85714285714286,27.214285714285715,-109.52634172038856,17566.5,450307,25793.5,-625.0,-2.320573274421711
2020-03-18,1483.0,1498.0,1465.0,1466.0,20790,24613,1499.4,1521.4,1551.2,1592.75,-26.744664895785718,-18.623994672266896,-8.120670223518822,21.164021164021165,28.285714285714285,-109.92058488400768,18381.85,429517,26014.1,-1695.0,-6.442907100501749
2020-03-19,1470.0,1470.0,1417.0,1441.0,30540,18124,1483.2,1509.9,1543.95,1589.7166666666667,-31.250083043259338,-21.149212346465387,-10.100870696793951,19.607843137254903,29.714285714285715,-122.8601183946986,19284.1,398977,25847.9,-6489.0,-26.36411652378824
2020-03-20,1449.0,1461.0,1438.0,1450.0,10459,18107,1469.6,1499.6,1537.5,1586.75,-33.705894035801066,-23.660548684332525,-10.04534535146854,14.136125654450254,29.285714285714285,-96.78257510972044,19015.9,409436,25635.75,-17.0,-0.0937982785257141
2020-03-23,1428.0,1437.0,1414.0,1427.0,16260,17809,1454.0,1489.6,1529.5,1583.4333333333334,-37.08060755946417,-26.344560459358853,-10.736047100105317,13.63636363636364,29.571428571428573,-102.04967146288521,19007.15,393176,25373.5,-298.0,-1.6457723532335544
2020-03-24,1436.0,1436.0,1409.0,1424.0,10593,17939,1441.6,1478.1,1520.45,1580.3166666666666,-39.54135909442016,-28.983920186371115,-10.557438908049043,12.121212121212125,30.714285714285715,-92.17447861108162,16751.5,382583,24945.7,130.0,0.7299679937110559
2020-03-25,1430.0,1436.0,1416.0,1419.0,8409,19100,1432.2,1465.8,1512.35,1577.2833333333333,-41.41754495121563,-31.47064513934002,-9.94689981187561,12.972972972972983,30.357142857142858,-80.95522403884392,15918.1,374174,24718.9,1161.0,6.4719326606834215
2020-03-26,1415.0,1415.0,1390.0,1396.0,17336,19349,1423.2,1453.2,1503.4,1573.8166666666666,-44.250254155813536,-34.02656694263473,-10.223687213178806,11.707317073170742,31.428571428571427,-88.31430704115894,16056.55,356838,24525.0,249.0,1.3036649214659635
2020-03-27,1397.0,1398.0,1373.0,1383.0,17010,17179,1409.8,1439.7,1494.3,1570.15,-47.00237385564583,-36.62172832523695,-10.380645530408877,12.5,29.5,-87.70317967132678,16096.15,339828,24202.05,-2170.0,-11.215049873378469
2020-03-30,1378.0,1378.0,1336.0,1339.0,16340,15509,1392.2,1423.1,1481.9,1565.65,-52.13292491556422,-39.72396764330241,-12.408957272261809,5.357142857142861,31.285714285714285,-97.87900815078339,16144.85,323488,23768.1,-1670.0,-9.721171197392165
2020-03-31,1341.0,1385.0,1338.0,1365.0,17787,14244,1380.4,1411.0,1471.6,1561.6,-53.48440594637714,-42.476055303917356,-11.008350642459781,14.170040485829958,29.928571428571427,-79.78197676801443,16137.2,341275,23168.7,-1265.0,-8.156554258817462
2020-04-01,1358.0,1376.0,1358.0,1371.0,9293,13715,1370.8,1401.5,1461.45,1557.2333333333333,-53.45511722753963,-44.67186768864181,-8.78324953889782,17.596566523605162,29.714285714285715,-68.67154052256319,16274.95,350568,22552.95,-529.0,-3.713844425723112
2020-04-02,1375.0,1395.0,1366.0,1385.0,14396,13511,1368.6,1395.9,1452.9,1553.1,-51.70618598369197,-46.07873134765184,-5.627454636040127,22.63374485596708,30.642857142857142,-53.70449118073719,15885.15,364964,21695.85,-204.0,-1.4874225300765542
2020-04-03,1390.0,1390.0,1358.0,1371.0,10470,12316,1366.2,1388.0,1443.8,1548.8666666666666,-50.86350553926809,-47.035686185975095,-3.8278193532929947,22.540983606557376,31.357142857142858,-54.990922384451565,15642.85,354494,20780.2,-1195.0,-8.844645103989347
2020-04-07,1385.0,1394.0,1365.0,1372.0,17635,14424,1372.8,1382.5,1436.05,1544.5833333333333,-49.54387264931461,-47.537323478643,-2.0065491706716045,24.778761061946895,32.0,-47.114713397099365,15124.6,372129,20078.5,2108.0,17.115946735953223
2020-04-08,1375.0,1385.0,1366.0,1371.0,13159,14944,1374.0,1377.2,1427.65,1540.1333333333334,-48.02514177941566,-47.63488713879754,-0.3902546406181244,27.05314009661835,31.0,-45.079366336355605,15152.95,358970,19434.0,520.0,3.605102606766497
2020-04-09,1381.0,1387.0,1372.0,1384.0,11607,15957,1376.6,1373.7,1419.75,1536.0833333333333,-45.25092082118249,-47.15809387527453,1.9071730540920413,35.38461538461539,28.357142857142858,-36.40757089827716,14842.25,370577,18781.55,1013.0,6.778640256959312
2020-04-10,1380.0,1382.0,1354.0,1360.0,15982,14764,1371.6,1370.1,1411.65,1531.5833333333333,-44.476235787567475,-46.62172225773312,2.1454864701656433,28.57142857142857,28.857142857142858,-46.721539901207606,15088.45,354595,18107.3,-1193.0,-7.4763426709281156
2020-04-13,1360.0,1371.0,1333.0,1335.0,21407,14757,1364.4,1365.3,1402.5,1526.6333333333334,-45.35673912832431,-46.36872563185136,1.011986503527055,28.30188679245282,29.0,-61.514034397456,15521.6,333188,17480.1,-7.0,-0.04741262530479906
2020-04-14,1338.0,1350.0,1322.0,1347.0,17725,13995,1359.4,1366.1,1394.6,1521.45,-44.5724412998195,-46.00946876544499,1.4370274656254907,32.579185520362,29.071428571428573,-66.25506467423287,15770.25,350913,16833.2,-762.0,-5.16365114860744
2020-04-15,1342.0,1388.0,1339.0,1388.0,27746,17123,1362.8,1368.4,1389.7,1517.0333333333333,-40.179359624497465,-44.84344693725549,4.664087312758028,43.96887159533073,31.142857142857142,-25.81844681770658,16247.2,378659,16373.95,3128.0,22.350839585566273
2020-04-16,1410.0,1429.0,1353.0,1355.0,94765,16569,1357.0,1366.8,1384.15,1512.0666666666666,-38.91208070936477,-43.65717369167735,4.745092982312578,42.32209737827715,34.5,-11.212775258482187,19945.95,283894,15971.75,-554.0,-3.2354143549611636
2020-04-17,1352.0,1369.0,1345.0,1356.0,25382,14278,1356.2,1363.9,1379.9,1506.9166666666667,-37.395983773470334,-42.40493570803595,5.008951934565616,44.70588235294118,34.42857142857143,-43.12990966156053,19688.05,309276,15779.45,-2291.0,-13.827026374554896
2020-04-20,1465.0,1518.0,1465.0,1494.0,66396,22265,1388.0,1376.2,1382.1,1504.0166666666667,-24.77344647300083,-38.87863786102893,14.105191388028096,72.20630372492838,42.642857142857146,153.88760693101946,22484.9,375672,15987.35,7987.0,55.939207171872816
2020-04-21,1488.0,1496.0,1466.0,1475.0,37925,17617,1413.6,1386.5,1384.5,1500.65,-16.11734520940786,-34.32637933070471,18.209034121296853,66.08187134502924,41.42857142857143,114.97252543119886,23568.15,337747,15977.75,-4648.0,-20.87581405793847
2020-04-22,1470.0,1474.0,1448.0,1467.0,24142,16069,1429.4,1396.1,1386.65,1497.3166666666666,-9.790002678565543,-29.419104000276878,19.629101321711335,63.95348837209302,42.07142857142857,86.5519535335741,24245.6,313605,15884.25,-1548.0,-8.786967134018276
2020-04-23,1470.0,1498.0,1464.0,1481.0,37329,18384,1454.6,1405.8,1389.75,1494.4166666666667,-3.6043069329930404,-24.25614458682011,20.65183765382707,63.95348837209302,42.42857142857143,94.93362669760168,25691.6,350934,15848.45,2315.0,14.406621445018363
2020-04-24,1478.0,1487.0,1467.0,1479.0,19080,16657,1479.2,1417.7,1393.9,1491.7,1.12356645095133,-19.180202379265822,20.30376883021715,66.26506024096386,41.57142857142857,80.81973694211915,25778.8,331854,15713.85,-1727.0,-9.394038294168839
2020-04-27,1473.0,1491.0,1473.0,1477.0,22680,18012,1475.8,1431.9,1398.6,1489.4,4.655392418987958,-14.413083419615067,19.068475838603025,65.76576576576576,40.785714285714285,73.91203352069022,26062.3,309174,15755.5,1355.0,8.134718136519181
