时间,开盘,最高,最低,收盘,成交量,持仓量,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2018-03-26,440.0,447.1,426.3,429.9,20328,1557,,,,429.9,429.9,429.9,429.9,429.9,20.80000000000001,0.0,0.0,0.0,0.0,429.9,429.9,429.9,0.0,17.307692307692133,17.307692307692133,17.30769230769213,-82.69230769230786,0.0,0.0,20328.0,0,1557.0,0.0,0.0
2018-03-27,429.9,431.7,412.6,424.0,20301,1968,,,,426.95,426.95,426.95,426.95,429.3380952380952,19.94999999999999,0.0,-0.47065527065524293,-0.0941310541310486,-0.3765242165241943,435.2938600180012,418.60613998199875,426.95,16.687720036002474,22.552954292084586,19.05611296915628,29.546636937941187,-66.9565217391305,-35.35533905932738,0.0,20314.5,-20301,1762.5,411.0,26.39691714836223
2018-03-28,429.0,429.2,406.5,410.4,33599,3037,,,,421.43333333333334,421.43333333333334,421.43333333333334,421.43333333333334,427.5344671201814,20.866666666666656,0.0,-1.9189389696511512,-0.45909263723506916,-1.459846332416082,441.43366666388897,401.4330000027777,421.43333333333334,40.00066666111127,18.237273304739457,18.783166414350674,17.14548708551702,-90.3940886699508,-45.88899327640802,0.0,24742.666666666668,-53900,2187.3333333333335,1069.0,54.31910569105691
2018-03-29,410.5,412.0,401.6,409.7,33334,3866,,,,418.5,418.5,418.5,418.5,425.83594644206886,18.249999999999986,0.0,-3.087606380891259,-0.9847953859663072,-2.102810994924952,438.60837304872445,398.39162695127555,418.5,40.21674609744889,18.092248137225546,18.55286032197563,17.17102376772538,-82.19780219780228,-54.21619859581559,0.0,26890.5,-87234,2607.0,829.0,27.296674349687187
2018-03-30,407.4,421.7,405.0,420.3,29281,3529,,,,418.86,418.86,418.86,418.86,425.3087134475861,17.939999999999987,34.415584415584476,-3.122458553448155,-1.4123280194626768,-1.710130533985478,436.348624874472,401.371375125528,418.86,34.97724974894402,25.761132457784054,20.955617700578436,35.372161972195286,-58.90109890109892,-17.607876249557417,100.0,27368.6,-57953,2791.4,-337.0,-8.717020175892397
2018-04-02,420.5,421.3,413.8,416.6,12322,3268,,,,416.2,418.48333333333335,418.48333333333335,418.48333333333335,424.4793121668636,16.19999999999999,30.724637681159493,-3.4093375085460025,-1.811729917279342,-1.5976075912666605,434.2341005104161,402.7325661562506,418.48333333333335,31.50153435416553,28.163099294200357,23.358111565119074,37.77307475236293,-67.03296703296704,-9.09485302618921,89.27536231884064,24860.833333333332,-70275,2870.8333333333335,-261.0,-7.395862850665913
2018-04-03,414.3,414.3,400.5,402.5,26413,4273,,,,411.9,416.2,416.2,416.2,422.38604434144804,16.18571428571428,21.810699588477405,-4.72003369834016,-2.393390673491506,-2.326643024848654,434.9808413017096,397.4191586982904,416.2,37.56168260341917,20.206014693987647,22.307412608075268,16.003218865812407,-95.70815450643777,-58.498599247055914,63.37448559670782,25082.571428571428,-96688,3071.1428571428573,1005.0,30.752753977968172
2018-04-04,403.8,406.9,399.0,401.5,22117,4582,,,,410.12,414.3625,414.3625,414.3625,420.39689726131013,15.149999999999991,21.370967741935516,-5.772914944494062,-3.069295527692017,-2.7036194168020447,434.62024983978796,394.10475016021206,414.3625,40.515499679575896,15.203178195160165,19.9393344704369,5.730865644606695,-94.80249480249479,-61.92752848039526,62.09677419354837,24711.875,-118805,3260.0,309.0,7.231453311490754
2018-04-09,398.2,403.5,397.7,402.3,7735,4752,,,,408.64,413.0222222222222,413.0222222222222,413.0222222222222,418.67338323642343,14.111111111111105,22.619047619047677,-6.468216035418152,-3.7490796292372446,-2.7191364061809074,433.6073570961495,392.4370873482949,413.0222222222222,41.170269747854604,13.23936576033621,17.706011567070004,4.3060741468686174,-90.6882591093117,-58.32758296941975,65.72327044025162,22825.555555555555,-111070,3425.777777777778,170.0,3.7101702313400153
2018-04-10,404.2,415.2,403.8,413.5,30845,4496,,,,407.28000000000003,413.07,413.07,413.07,418.1806800710498,13.989999999999991,36.688311688311714,-6.045808445282603,-4.208425392446316,-1.8373830528362864,432.480203502282,393.659796497718,413.07,38.820407004564004,24.31643991865552,19.909487684265173,33.13034438743621,-68.01619433198381,-12.432096933115574,100.0,23627.5,-80225,3532.8,-256.0,-5.387205387205385
2018-04-11,415.0,421.8,414.1,417.8,33217,6231,,,,407.52000000000004,411.86,413.5,413.5,418.1444248261879,13.472727272727267,40.819423368740544,-5.302944282694568,-4.427329170495967,-0.8756151121986013,432.13373285200794,394.86626714799206,413.5,37.267465704015876,37.480801215611635,25.766592194713994,60.90921925740692,-59.311740890688235,21.365059964874455,100.0,24499.272727272728,-47008,3778.090909090909,1735.0,38.589857651245566
2018-04-12,421.0,429.9,416.9,428.7,55038,7237,,,,412.75999999999993,412.33000000000004,414.76666666666665,414.76666666666665,419.14971769988426,13.433333333333328,49.21875,-3.7909801179011424,-4.300059359977002,0.5090792420758596,434.5824240941344,394.9509092391989,414.76666666666665,39.63151485493552,57.07829811889637,36.203827502774786,98.82723935113953,-37.24696356275308,53.31303728596595,100.0,27044.166666666668,8030,4066.3333333333335,1006.0,16.145081046380994
2018-04-13,425.3,428.7,423.3,427.0,31546,6740,,,,417.85999999999996,413.99000000000007,415.7076923076923,415.7076923076923,419.8973636332286,12.815384615384609,48.15286624203823,-2.6988032922892558,-3.979808146439453,1.281004854150197,435.85687947714763,395.55850513823697,415.7076923076923,40.29837433891066,68.38346168588951,46.93037223047969,111.28964059670915,-40.68825910931176,54.03923862356781,97.83439490445862,27390.46153846154,-23516,4272.0,-497.0,-6.867486527566669
2018-04-16,427.7,431.0,423.5,424.4,32642,6747,,,,422.28000000000003,415.46000000000004,416.3285714285715,416.3285714285715,420.3261861443497,12.43571428571428,46.60912453760789,-2.0197610124817515,-3.5877987196479126,1.568037707166161,436.2370433123513,396.42009954479164,416.3285714285715,39.81694376755968,72.31570118398639,55.392148548315255,106.16280645532866,-45.95141700404864,49.874116447591035,94.69790382244142,27765.571428571428,-56158,4448.785714285715,7.0,0.1038575667655861
2018-04-17,426.0,427.5,421.5,427.4,27500,6501,,,,425.05999999999995,416.16999999999996,417.06666666666666,417.06666666666666,420.9998827020307,11.378571428571421,48.51367419738407,-1.2254143714646943,-3.115321850011269,1.8899074785465748,437.0847537262188,397.0485796071145,417.06666666666666,40.03617411910432,77.94019718572063,62.90816476078372,108.00426203559445,-12.647058823529445,42.9832075490052,98.56746503595494,27747.866666666665,-28658,4585.6,-246.0,-3.6460649177412208
2018-04-18,422.8,431.4,420.6,429.7,40169,7314,,,,427.43999999999994,417.48,417.85625,417.85625,421.82846530183724,10.785714285714278,53.54037267080744,-0.40562239492470553,-2.5733819589939566,2.167759564069251,438.20100771953713,397.51149228046285,417.85625,40.689515439074285,83.61196132856153,69.80943028337633,111.21702341893194,-5.044510385756644,48.66288079036522,100.0,28524.1875,11511,4756.125,813.0,12.505768343331791
2018-04-19,435.0,444.0,432.5,440.6,42358,7964,,,,429.82,421.28999999999996,419.1941176470588,419.1941176470588,423.6162305111861,10.18571428571428,69.40874035989718,1.1108029131328863,-1.836544984568588,2.947347897701474,441.7718135645163,396.6164217296013,419.1941176470588,45.15539183491501,86.62683671004177,75.41523242559815,109.05004527892905,-7.343412526997789,92.57920942358928,100.0,29337.941176470587,53869,4944.823529411765,650.0,8.88706590101176
2018-04-20,440.7,443.0,435.3,436.7,34215,7808,,,,431.75999999999993,424.80999999999995,420.1666666666667,420.1666666666667,424.86230379583503,9.992857142857137,66.66666666666666,1.9751155856778837,-1.0742128705192937,3.0493284561971774,443.57325196427297,396.7600813690604,420.1666666666667,46.81317059521257,85.03148981332801,78.62065155484143,97.85316633030118,-15.766738660907148,79.79840063288327,94.29183839342868,29608.88888888889,19654,5103.888888888889,-156.0,-1.9588146659969885
2018-04-23,435.1,441.2,432.4,439.7,35169,7993,,,,434.82,428.55,421.19473684210527,421.19473684210527,426.2754177200412,9.428571428571425,63.2152588555858,2.8690914335615503,-0.285552009703125,3.1546434432646753,445.64381986823764,396.7456538159729,421.19473684210527,48.89816605226474,85.22723624121531,80.8228464502994,94.03601582304714,-9.287257019438467,70.81810035858949,87.10705936853618,29901.526315789473,54823,5255.9473684210525,185.0,2.3693647540983687
2018-04-24,434.2,449.2,432.2,447.3,45795,9162,,,,438.8,431.93,422.5,422.5,428.27775888956114,10.107142857142852,69.85769728331172,4.143071468985397,0.6001726860345795,3.5428987829508176,449.00648381454107,395.99351618545893,422.5,53.01296762908214,88.19070651375141,83.2787998047834,98.0145199316874,-3.6893203883494703,82.98700658151574,100.0,30696.2,100618,5451.25,1169.0,14.62529713499312
