时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2015-03-27,120000.0,120010.0,115150.0,119270,899,304,119270.0,119270.0,119270.0,119270.0,0.0,0.0,0.0,0.0,4860.0,0.0,899.0,0,304.0,0.0,0.0
2015-03-30,119270.0,119530.0,115600.0,118080,1234,415,118675.0,118675.0,118675.0,118675.0,-94.92877492877597,-18.985754985755193,-75.94301994302077,0.0,4395.0,-35.35533905932738,1066.5,-1234,359.5,111.0,36.513157894736835
2015-03-31,117650.0,119800.0,115960.0,118160,2261,588,118503.33333333333,118503.33333333333,118503.33333333333,118503.33333333333,-161.83959545783,-47.55652308017016,-114.28307237765983,6.2992125984252,4210.0,5.440168238715507,1464.6666666666667,1027,435.6666666666667,173.0,41.68674698795181
2015-04-01,118020.0,118880.0,117070.0,117910,2187,636,118355.0,118355.0,118355.0,118355.0,-232.36129706368956,-84.51747787687404,-147.84381918681552,5.26315789473685,3610.0,0.4997002697317499,1645.25,-1160,485.75,48.0,8.163265306122458
2015-04-02,117970.0,119080.0,117970.0,118620,1358,519,118408.0,118408.0,118408.0,118408.0,-228.32717385390424,-113.27941707228008,-115.04775678162416,35.426008968609864,3122.0,78.90511980334942,1587.8,198,492.4,-117.0,-18.39622641509434
2015-04-03,118810.0,119470.0,118560.0,118850,695,500,118324.0,118481.66666666667,118481.66666666667,118481.66666666667,-204.21693858862272,-131.46692137554862,-72.7500172130741,41.463414634146346,2753.3333333333335,81.36531038558235,1439.0,893,493.6666666666667,-19.0,-3.6608863198458574
2015-04-07,118890.0,119090.0,118270.0,118860,424,452,118480.0,118535.71428571429,118535.71428571429,118535.71428571429,-182.20217376723303,-141.61397185388552,-40.58820191334752,41.70040485829959,2477.1428571428573,48.50898933080382,1294.0,1317,487.7142857142857,-48.0,-9.599999999999998
2015-04-08,118710.0,118890.0,117150.0,117870,424,375,118422.0,118452.5,118452.5,118452.5,-241.85211957649153,-161.66160139840673,-80.1905181780848,29.76878612716763,2385.0,-32.28273488456519,1185.25,893,473.625,-77.0,-17.035398230088493
2015-04-09,117570.0,117980.0,116500.0,116790,408,401,118198.0,118267.77777777778,118267.77777777778,118267.77777777778,-371.9841042466869,-203.72610196806278,-168.25800227862413,22.687224669603523,2284.4444444444443,-91.45401709010716,1098.888888888889,485,465.55555555555554,26.0,6.933333333333325
2015-04-10,116500.0,116980.0,115320.0,115990,1209,458,117672.0,118040.0,118040.0,118040.0,-533.5178916179575,-269.6844598980417,-263.8334317199158,19.288389513108612,2222.0,-109.40895520550036,1109.9,-724,464.8,57.0,14.214463840398995
2015-04-13,115960.0,116290.0,115270.0,115940,814,504,117090.0,117707.0,117849.09090909091,117849.09090909091,-657.9843302522349,-347.34443396888037,-310.6398962833546,19.109461966604826,2112.7272727272725,-93.87236442709175,1083.0,-1538,468.3636363636364,46.0,10.043668122270732
2015-04-14,115550.0,115650.0,112300.0,112300,2794,947,115778.0,117129.0,117386.66666666667,117386.66666666667,-1038.3727442220843,-485.5500960195212,-552.8226482025631,11.406423034330004,2240.0,-125.55217028097145,1225.5833333333333,-4332,508.25,443.0,87.89682539682539
2015-04-15,112400.0,114140.0,112320.0,113850,2066,846,114974.0,116698.0,117114.61538461539,117114.61538461539,-1200.9178236090374,-628.6236415374244,-572.294182071613,24.385633270321364,2209.230769230769,-97.56490044334831,1290.2307692307693,-2266,534.2307692307693,-101.0,-10.665258711721226
2015-04-16,113200.0,113700.0,111010.0,112880,1933,981,114192.0,116195.0,116812.14285714286,116812.14285714286,-1391.9612012072466,-781.291153471389,-610.6700477358577,22.337662337662337,2254.285714285714,-97.51343714712023,1336.142857142857,-4199,566.1428571428571,135.0,15.957446808510634
2015-04-17,113010.0,113010.0,109300.0,110000,5661,1792,112994.0,115333.0,116358.0,116358.0,-1755.5198451806937,-976.13689181325,-779.3829533674436,17.879417879417886,2172.1428571428573,-107.58109615570284,1624.4666666666667,-9860,647.8666666666667,811.0,82.67074413863405
2015-04-20,112000.0,112960.0,111120.0,111440,5259,1328,112094.0,114592.0,116050.625,116050.625,-1905.4815195737901,-1162.005817365358,-743.475702208432,27.3841961852861,2102.8571428571427,-76.93807825432688,1851.625,-4601,690.375,-464.0,-25.89285714285714
2015-04-21,111840.0,111880.0,111100.0,111550,1717,1482,111944.0,113861.0,115785.88235294117,115785.88235294117,-1992.483042023392,-1328.101262296965,-664.3817797264271,27.532290958531604,1884.2857142857142,-74.4553215964815,1843.7058823529412,-2884,736.9411764705883,154.0,11.596385542168687
2015-04-22,112190.0,113430.0,112190.0,112940,2935,1369,111762.0,113368.0,115627.77777777778,115627.77777777778,-1927.057077651727,-1447.8924253679174,-479.1646522838096,34.321766561514195,1889.2857142857142,-48.30452301255373,1904.3333333333333,51,772.0555555555555,-113.0,-7.624831309041835
2015-04-23,113400.0,113760.0,112940.0,113300,1655,1234,111846.0,113019.0,115505.26315789473,115505.26315789473,-1825.118705820336,-1523.3376814584012,-301.78102436193467,32.83870967741936,1864.2857142857142,-38.28446892978638,1891.2105263157894,1706,796.3684210526316,-135.0,-9.861212563915267
2015-04-24,113350.0,113950.0,112750.0,113940,1044,1263,112634.0,112814.0,115427.0,115427.0,-1673.3992554587603,-1553.3499962584733,-120.049259200287,34.56945317410434,1885.0,-33.292720158735975,1848.85,2750,819.7,29.0,2.350081037277141
2015-04-27,114400.0,117960.0,114400.0,117960,8497,1548,113938.0,113016.0,115361.5,115547.61904761905,-1214.7769025491725,-1485.635377516613,270.85847496744054,47.74096385542169,2113.5714285714284,25.939881408585176,2228.75,11247,881.9,285.0,22.565320665083142
2015-04-28,117970.0,118550.0,116500.0,117400,15990,2226,115108.0,113526.0,115327.5,115631.81818181818,-886.286148531115,-1365.7655317195135,479.4793831883985,48.79425346331452,2135.714285714286,39.23059122083387,2966.55,-4743,972.45,678.0,43.79844961240309
2015-04-29,117140.0,117720.0,115110.0,115370,5314,2319,115594.0,113678.0,115188.0,115620.43478260869,-780.7587925508269,-1248.7641838857762,468.0053913349493,46.526418786692766,2216.4285714285716,15.483651194103857,3119.2,-10057,1059.0,93.0,4.17789757412399
2015-04-30,116000.0,119900.0,115050.0,117640,8891,2789,116462.0,114154.0,115174.5,115704.58333333333,-508.1005074659479,-1100.6314486018107,592.5309411358628,53.765403925148334,2444.285714285714,43.56371089965653,3454.4,-1166,1166.65,470.0,20.267356619232423
2015-05-04,117360.0,119520.0,117360.0,118800,4412,3036,117434.0,115034.0,115183.5,115828.4,-196.1534122289013,-919.7358413272289,723.5824290983276,56.21198957428324,2525.714285714286,62.95325677540917,3607.1,3246,1292.5,247.0,8.856220867694509
2015-05-05,119000.0,119780.0,118000.0,118680,6495,3196,117578.0,115758.0,115175.0,115938.07692307692,40.91229956340976,-727.6062131491012,768.518512712511,66.35897435897436,2392.8571428571427,68.24397612297048,3897.1,-3249,1427.3,160.0,5.270092226613965
2015-05-06,119650.0,123670.0,119500.0,123400,16334,4300,118778.0,116943.0,115402.0,116214.44444444444,602.7055233372957,-461.54386585182186,1064.2493891891177,71.06307895897662,2617.8571428571427,114.26944470866617,4692.6,13085,1619.7,1104.0,34.54317897371715
2015-05-07,123300.0,125910.0,121500.0,122030,25802,3803,120110.0,117852.0,115610.0,116422.14285714286,926.7007211847813,-183.89494844450124,1110.5956696292826,69.83094928478543,2730.0,110.07519700428499,5961.5,-12717,1791.1,-497.0,-11.558139534883715
2015-05-08,122700.0,122960.0,120020.0,121360,11035,3672,120854.0,118658.0,115838.5,116592.41379310345,1116.5351272341213,76.19106669122328,1040.344060542898,77.22914669223394,2675.0,76.79102568440713,6492.85,-23752,1954.65,-131.0,-3.4446489613463083
2015-05-11,120890.0,122690.0,120710.0,122400,6912,3790,121574.0,119504.0,116159.0,116786.0,1335.5047031732538,328.05379398762943,1007.4509091856244,76.78396871945259,2605.0,74.43856821101308,6778.0,-16840,2121.25,118.0,3.213507625272327
2015-05-12,121100.0,121930.0,119690.0,119970,8621,3751,121832.0,119705.0,116360.5,116888.70967741935,1297.9964825765637,522.0423317054162,775.9541508711475,68.4811237928007,2742.8571428571427,51.75188437683335,7168.35,-25461,2283.6,-39.0,-1.0290237467018515
2015-05-13,120800.0,121100.0,120000.0,120700,5209,3578,121292.0,120035.0,116780.5,117007.8125,1312.051335583994,680.0441324811318,632.0072031028621,67.54068716094032,2689.285714285714,47.64568966125812,7289.1,-20252,2415.15,-173.0,-4.612103439082915
2015-05-14,120700.0,122480.0,117800.0,119500,15643,3611,120786.0,120448.0,117063.0,117083.33333333333,1212.3843248566554,786.5121709562366,425.8721539004189,63.50174216027874,2965.0,35.48046076554542,7967.95,-35895,2553.4,33.0,0.9223029625489154
2015-05-15,119190.0,119680.0,118610.0,119100,5500,3698,120334.0,120594.0,117374.0,117142.64705882352,1088.5724580491224,846.9242283748138,241.6482296743086,61.355633802816904,2955.714285714286,22.166890256177282,8146.3,-41395,2689.25,87.0,2.409304901689291
2015-05-18,118690.0,119940.0,118030.0,119250,5854,3649,119704.0,120639.0,117836.5,117202.85714285714,991.1292865269934,875.7652400052498,115.3640465217436,53.42175066312998,2805.0,17.529600633473493,8155.95,-35541,2782.1,-49.0,-1.3250405624661954
2015-05-19,119520.0,119650.0,118070.0,118140,3786,3366,119338.0,120585.0,118171.5,117228.88888888889,814.9429921831324,863.6007904408264,-48.65779825769391,51.907216494845365,2771.4285714285716,7.054865044196854,8082.3,-39327,2884.0,-283.0,-7.7555494656070145
2015-05-20,117690.0,117960.0,114160.0,115850,13800,3061,118368.0,119830.0,118386.5,117191.62162162163,484.94013488029304,787.8686593287198,-302.92852444842674,51.22075279755849,2869.285714285714,-40.25818782312889,8686.45,-53127,2962.95,-305.0,-9.06120023767083
2015-05-21,116350.0,120400.0,115220.0,119190,19088,3458,118306.0,119546.0,118699.0,117244.21052631579,487.3032508409815,727.7555776311722,-240.45232679019068,53.73854317414374,2892.8571428571427,-7.096919078657817,9494.1,-34039,3067.4,397.0,12.969617771969943
2015-05-22,119500.0,119730.0,116900.0,117980,11988,3316,118082.0,119208.0,118933.0,117263.07692307692,387.0771650456154,659.6198951140609,-272.5427300684455,48.026948989412894,2940.714285714286,-14.587062468586335,10010.75,-46027,3171.5,-142.0,-4.106419895893576
2015-05-25,117170.0,119800.0,116800.0,117590,12867,3422,117750.0,118727.0,119115.5,117271.25,273.03020705727977,582.3019575027047,-309.2717504454249,47.410926365795724,3027.8571428571427,-26.196735408586438,10601.9,-58894,3279.45,106.0,3.196622436670693
2015-05-26,117600.0,119570.0,117590.0,118270,9401,3324,117776.0,118557.0,119131.0,117295.60975609756,234.81073618825758,512.8037132398152,-277.99297705155766,34.920634920634924,2812.8571428571427,-18.690445680738566,10647.1,-49493,3368.25,-98.0,-2.863822326125076
2015-05-27,116760.0,117570.0,116200.0,116560,8932,3550,117918.0,118143.0,119089.0,117278.09523809524,65.78054406937736,423.39907940572766,-357.6185353363503,34.236311239193085,2645.714285714286,-60.317491880429536,10294.2,-58425,3434.45,226.0,6.79903730445246
2015-05-28,116010.0,117510.0,115720.0,116960,7621,3327,117472.0,117889.0,119168.5,117270.69767441861,-35.49132205305796,331.6209991139706,-367.11232116702854,37.11943793911007,2563.5714285714284,-63.93449188793706,10409.55,-50804,3484.85,-223.0,-6.281690140845075
2015-05-29,116900.0,116900.0,115680.0,116160,4488,3045,117108.0,117595.0,119094.5,117245.45454545454,-178.24858101445716,229.64708308828503,-407.8956641027422,31.47268408551068,2513.5714285714284,-71.8745117909401,10189.4,-55292,3497.65,-282.0,-8.4761045987376
2015-06-01,116090.0,116350.0,115630.0,116120,2183,2853,116814.0,117282.0,118960.5,117220.44444444444,-291.2549966564111,125.46666713934582,-416.7216637957569,36.67820069204152,2371.4285714285716,-70.05595483178661,10077.95,-57475,3488.5,-192.0,-6.305418719211819
2015-06-02,116120.0,117000.0,115780.0,116520,1940,2812,116464.0,117120.0,118852.5,117205.21739130435,-344.5648095194192,31.46037180759282,-376.02518132701204,35.198300283286116,2377.8571428571427,-55.81511257796963,9850.2,-55535,3469.3,-41.0,-1.437083771468628
2015-06-03,116740.0,116800.0,115020.0,115680,1653,2736,116288.0,117103.0,118466.5,117172.76595744681,-449.4136394318193,-64.7144304402896,-384.6992089915297,36.11918604651163,2170.714285714286,-63.45996922715716,9116.15,-57188,3391.1,-76.0,-2.7027027027026973
2015-06-04,115330.0,115900.0,114500.0,114800,1626,2607,115856.0,116664.0,118105.0,117123.33333333333,-596.6380658368871,-171.0991575196091,-425.538908317278,34.90168539325843,2194.285714285714,-77.23048044644226,7907.35,-58814,3331.3,-129.0,-4.714912280701755
2015-06-05,114640.0,114980.0,114260.0,114260,642,2609,115476.0,116292.0,117750.0,117064.89795918367,-748.2624675407424,-286.53181952383574,-461.7306480169066,32.946001367053995,2109.285714285714,-82.52473175813319,7387.7,-59456,3278.15,2.0,0.07671653241272391
2015-06-08,113990.0,114940.0,113910.0,114700,1041,2564,115192.0,116003.0,117365.0,117017.6,-823.4295917526761,-393.9113739696038,-429.51821778307226,37.67908309455587,2070.0,-77.42150839913602,7094.15,-58415,3216.85,-45.0,-1.7247987734764325
2015-06-09,114710.0,115600.0,114710.0,115080,1102,2556,114904.0,115684.0,117120.5,116979.60784313726,-842.6240099614224,-483.65390116796755,-358.97010879345487,46.80497925311203,1850.0,-56.46048132964064,6718.2,-57313,3157.1,-8.0,-0.31201248049922414
2015-06-10,115340.0,115550.0,114850.0,115440,617,2545,114856.0,115572.0,116857.5,116950.0,-819.3418702678755,-550.7914949879491,-268.55037527992636,29.327453142227128,1530.0,-48.859515757216016,6488.6,-56696,3105.45,-11.0,-0.4303599374021916
2015-06-11,115490.0,115670.0,115300.0,115420,507,2455,114980.0,115418.0,116653.5,116921.1320754717,-793.3590899351257,-599.3050139773845,-194.05407595774113,33.75634517766498,1354.2857142857142,-39.81096944668427,5731.8,-57203,3047.65,-90.0,-3.5363457760314354
2015-06-12,114420.0,115420.0,113520.0,113700,1576,2007,114868.0,115172.0,116383.5,116861.48148148147,-901.1690587349876,-659.6778229289051,-241.4912358060825,28.88165038002171,1275.7142857142858,-73.17405323408803,5535.6,-58779,2963.1,-448.0,-18.24847250509165
2015-06-15,113410.0,113700.0,112810.0,113160,638,1897,114560.0,114876.0,116079.0,116794.18181818182,-1018.4427487208013,-731.4308080872844,-287.01194063351693,21.830209481808154,1197.857142857143,-94.16639342013424,5274.8,-59417,2875.5,-110.0,-5.480817140009964
2015-06-16,111720.0,113160.0,111700.0,111780,583,1834,113900.0,114402.0,115761.0,116704.64285714286,-1208.8031297783891,-826.9052724255054,-381.89785735288376,22.65446224256293,1154.2857142857142,-107.9792175777055,5114.65,-60000,2798.9,-63.0,-3.3210332103321027
2015-06-17,111990.0,112230.0,111210.0,111730,508,1787,113158.0,114007.0,115555.0,116617.36842105263,-1348.1589482163545,-931.1560075836753,-417.00294063267916,18.83194278903457,1099.2857142857142,-101.9853557715623,4450.05,-60508,2735.2,-47.0,-2.562704471101418
2015-06-18,112290.0,112600.0,111730.0,112510,384,1731,112576.0,113778.0,115221.0,116546.55172413793,-1379.7550002892094,-1020.8758061247822,-358.8791941644272,28.195937873357238,1070.0,-78.26827775439864,3514.85,-60124,2648.85,-56.0,-3.133743704532732
2015-06-19,113010.0,114450.0,112470.0,113770,684,1711,112590.0,113729.0,115010.5,116499.49152542373,-1288.2732177219004,-1074.355288444206,-213.91792927769438,37.74765380604797,1160.0,-41.107048618493714,2949.65,-59440,2568.6,-20.0,-1.1554015020219577
2015-06-23,113360.0,114330.0,113360.0,114100,322,1652,112778.0,113669.0,114836.0,116459.5,-1175.5934938561113,-1094.602929526587,-80.9905643295242,37.28991596638655,1142.142857142857,-27.46978456467459,2322.4,-59118,2480.1,-59.0,-3.4482758620689613
2015-06-24,113540.0,114150.0,112500.0,113180,494,1597,113058.0,113479.0,114581.5,116358.0,-1147.304895455789,-1105.1433227124276,-42.161572743361376,36.97916666666667,1132.857142857143,-43.5482733019486,1877.05,-59612,2393.75,-55.0,-3.3292978208232404
2015-06-25,112820.0,113300.0,109470.0,111460,676,1546,113004.0,113081.0,114326.5,116247.66666666667,-1249.274741205314,-1133.9696064110049,-115.3051347943092,34.003831417624525,1306.4285714285713,-91.13895908714713,1464.25,-60288,2293.55,-51.0,-3.193487789605509
2015-06-26,111280.0,111920.0,109800.0,110540,850,1474,112610.0,112593.0,114005.5,116120.66666666667,-1388.3192101976165,-1184.8395271683273,-203.47968302928916,32.809611829944544,1406.4285714285713,-96.95517106909303,1125.7,-61138,2200.9,-72.0,-4.657179818887447
2015-06-29,109100.0,110800.0,108560.0,109720,626,1500,111800.0,112195.0,113683.5,115984.16666666667,-1546.8489883517323,-1257.2414194050084,-289.60756894672386,27.767857142857153,1492.857142857143,-107.29018983542902,932.6,-61764,2123.65,26.0,1.7639077340569909
2015-06-30,109000.0,109400.0,105740.0,106000,692,1405,110180.0,111479.0,113177.5,115773.83333333333,-1950.177458548249,-1395.8286272336566,-554.3488313145924,18.7757909215956,1712.857142857143,-134.19709305539402,858.05,-62456,2051.25,-95.0,-6.333333333333336
2015-07-01,104010.0,107980.0,104010.0,106700,139,1388,108884.0,110971.0,112686.5,115571.33333333333,-2188.1108473512286,-1554.285071257171,-633.8257760940576,20.63172043010752,1946.4285714285713,-121.77040253344448,768.0,-62317,1980.05,-17.0,-1.2099644128113929
2015-07-02,109800.0,109990.0,108560.0,109700,1299,1405,108532.0,110768.0,112387.5,115418.66666666667,-2110.2739200903015,-1665.4828410237974,-444.79107906650415,33.98656215005599,2155.0,-56.484366104020125,750.3,-61018,1913.5,17.0,1.2247838616714635
2015-07-03,110370.0,111140.0,109390.0,110000,1174,1450,108424.0,110517.0,112147.5,115287.5,-2001.3102429475257,-1732.648321408543,-268.6619215389826,38.74695863746958,2144.285714285714,-38.166068819688014,727.7,-59844,1855.65,45.0,3.2028469750889688
2015-07-06,107960.0,109850.0,106510.0,107090,1051,1442,107898.0,109849.0,111789.0,115125.83333333333,-2125.2696384288574,-1811.172584812606,-314.0970536162515,33.86496544391282,2330.0,-73.20271976991545,748.15,-60895,1797.3,-8.0,-0.5517241379310311
2015-07-07,108500.0,109190.0,106800.0,107080,1178,1397,108114.0,109147.0,111408.0,114977.33333333333,-2198.966946701359,-1888.7314571903567,-310.23548951100247,36.52522935779817,2396.4285714285716,-67.46918845569719,755.0,-62073,1738.95,-45.0,-3.120665742024964
2015-07-08,106000.0,106430.0,103710.0,103710,1935,1441,107516.0,108200.0,110839.5,114773.5,-2500.4794594880514,-2011.0810576498957,-489.3984018381557,30.684007707129084,2564.285714285714,-102.90547599149541,796.65,-64008,1683.2,44.0,3.149606299212593
2015-07-09,104670.0,110020.0,104010.0,107800,1713,1213,107136.0,107834.0,110457.5,114698.5,-2381.943912987743,-2085.2536287174653,-296.6902842702775,40.21603656003324,2952.8571428571427,-54.73567089789375,851.45,-62295,1616.6,-228.0,-15.82234559333796
2015-07-10,108200.0,110440.0,106500.0,107840,1922,1333,106704.0,107564.0,110078.5,114598.33333333333,-2258.7386396557267,-2119.9506309051176,-138.78800875060915,37.02407002188183,3092.8571428571427,-34.73578506455107,922.2,-60373,1560.5,120.0,9.89282769991755
2015-07-13,107750.0,108500.0,106900.0,107530,1085,1293,106792.0,107345.0,109770.0,114509.16666666667,-2161.199025054797,-2128.2003097350535,-32.998715319743496,35.61103810775296,3137.8571428571427,-41.3159717214416,897.65,-61458,1524.8,-40.0,-3.0007501875468856
2015-07-14,108300.0,108500.0,106020.0,108100,14,1332,106996.0,107555.0,109517.0,114477.5,-2014.6799648967426,-2105.4962407673916,90.81627587064895,38.70106761565836,3197.1428571428573,-38.98078704107385,866.45,-61444,1496.55,39.0,3.0162412993039345
2015-07-15,108500.0,108900.0,108100.0,108500,50,1332,107954.0,107735.0,109353.0,114428.5,-1845.0176816971652,-2053.4005289533466,208.38284725618132,43.00567107750473,2980.714285714286,-17.99829272611493,839.8,-61394,1471.45,0.0,0.0
2015-07-16,109880.0,110220.0,109350.0,109350,964,1110,108264.0,107700.0,109234.0,114391.83333333333,-1623.2592811083596,-1967.3722793843494,344.11299827598987,47.178757705073494,2952.1428571428573,5.892225854548664,862.6,-60430,1437.6,-222.0,-16.666666666666664
2015-07-17,109520.0,110790.0,109320.0,110490,1144,1157,108794.0,107749.0,109133.0,114351.0,-1340.0780922583508,-1841.9134419591498,501.83534970079904,51.79822512844465,2897.1428571428573,19.49292562979257,900.6,-59286,1408.9,47.0,4.234234234234235
2015-07-20,112400.0,112490.0,111100.0,111530,3149,1158,109594.0,108193.0,109021.0,114321.5,-1019.9779802846024,-1677.5263496242405,657.5483693396382,64.76241324079018,2755.714285714286,54.86727901767068,1023.85,-56137,1381.25,1.0,0.08643042350906516
2015-07-21,111860.0,111860.0,110790.0,111000,1633,1070,110174.0,108585.0,108866.0,114272.5,-799.8428158574679,-1501.989642870886,702.146827013418,61.58405172413793,2548.5714285714284,52.31457098605957,1089.4,-57770,1352.15,-88.0,-7.599309153713296
2015-07-22,110780.0,111190.0,108560.0,108800,1100,1049,110234.0,109094.0,108647.0,114119.83333333333,-793.7558030913933,-1360.3428749149875,566.5870718235942,47.46621621621622,2501.4285714285716,18.732659576419337,1119.7,-58870,1324.75,-21.0,-1.9626168224299079
