时间,开盘,最高,最低,收盘,成交量,持仓量,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT,动态结算价
2019-09-25,15575,15760,15280,15575,93230,10679,,,,15575.0,15575.0,15575.0,15575.0,15575.0,480.0,0.0,0.0,0.0,0.0,15575.0,15575.0,15575.0,0.0,61.458333333333336,61.458333333333336,61.45833333333333,-38.541666666666664,0.0,0.0,93230.0,0,10679.0,0.0,0.0,
2019-09-26,15565,15935,15550,15705,53364,9684,,,,15640.0,15640.0,15640.0,15640.0,15587.380952380952,432.5,99.99999999984615,10.370370370370438,2.0740740740740877,8.296296296296351,15823.847763108502,15456.152236891498,15640.0,367.69552621700495,62.60072094995759,61.839129205541425,64.12390443878994,-35.11450381679389,35.35533905932721,100.0,73297.0,53364,10181.5,-995.0,-9.317351811967411,
2019-09-27,15715,15800,15580,15725,14167,7952,,,,15668.333333333334,15668.333333333334,15668.333333333334,15668.333333333334,15600.48752834467,361.6666666666667,99.9999999998,19.97256515775007,5.653772290809284,14.318792866940784,15831.223889638275,15505.442777028393,15668.333333333334,325.78111260988226,64.38012439920837,62.68612760343041,67.7681179907643,-32.06106870229008,21.74874814049542,99.99999999995384,53587.0,67531,9438.333333333334,-1732.0,-17.88517141676993,
2019-09-30,15735,15790,15635,15700,7757,7295,,,,15676.25,15676.25,15676.25,15676.25,15609.96490659756,310.0,85.71428571428571,25.27374266743027,9.577766366133481,15.695976301296788,15812.967470232104,15539.532529767896,15676.25,273.4349404642089,64.2941287343323,63.2221279803977,66.43813024220151,-35.87786259541985,21.934287623862602,85.71428571441757,42129.5,59774,8902.5,-657.0,-8.262072434607648,
2019-10-08,15630,15800,15545,15675,3700,7307,,,,15676.0,15676.0,15676.0,15676.0,15616.15872501684,299.0,75.0,27.14476501641184,13.091166096189154,14.053598920222685,15794.406080924926,15557.593919075074,15676.0,236.8121618498517,62.96453366003833,63.13626320694458,62.621074566225815,-39.69465648854962,1.9603702884135763,75.00000000011539,34443.6,56074,8583.4,12.0,0.1644962302947306,
2019-10-09,15630,15695,15630,15675,2449,7250,,,,15696.0,15675.833333333334,15675.833333333334,15675.833333333334,15621.762655967617,260.0,75.0,28.301323665711607,16.133197610093646,12.168126055617961,15781.742099102115,15569.924567564552,15675.833333333334,211.8175315375629,62.078136943842345,62.783554452577164,60.667301926372716,-39.69465648854962,-2.231814981060954,75.00000000011539,29111.166666666668,56074,8361.166666666666,-57.0,-0.7800739017380542,
2019-10-10,15685,15895,15600,15765,5783,7643,,,,15708.0,15688.57142857143,15688.57142857143,15688.57142857143,15635.404307780225,265.0,82.75862068965517,36.06442433207849,20.119442954490616,15.944981377587872,15806.429292927085,15570.713564215774,15688.57142857143,235.71572871131139,66.06735847146741,63.87815579220725,70.44576382998775,-25.954198473282442,51.171140788014796,82.7586206897825,25778.571428571428,61857,8258.57142857143,393.0,5.420689655172417,
2019-10-11,15800,15800,15705,15745,3957,7327,,,,15712.0,15695.625,15695.625,15695.625,15645.841992753536,243.75,77.41935483870968,40.140193522742265,24.12359306814095,16.016600454601317,15811.806815641323,15579.443184358677,15695.625,232.36363128264566,67.70902778504953,65.15511312315468,72.81685710883923,-29.00763358778626,43.210124767684796,77.41935483882878,23050.875,57900,8142.125,-316.0,-4.134502158838149,
2019-10-14,15775,15830,15735,15765,4921,7387,,,,15725.0,15703.333333333334,15703.333333333334,15703.333333333334,15657.190374396056,227.22222222222223,78.78787878787878,44.47146347528178,28.193167149569113,16.278296325712667,15821.44345144351,15585.223215223157,15703.333333333334,236.2202362203534,69.82128569893887,66.71050398174941,76.04284913331776,-25.954198473282442,54.23919137794754,78.78787878799999,21036.444444444445,62821,8058.222222222223,60.0,0.818889040534998,
2019-10-15,15735,15820,15165,15440,11535,7385,,,,15678.0,15677.0,15677.0,15677.0,15636.505576834526,270.0,39.69465648854962,21.43218536430504,26.840970792516302,-5.40878542821126,15877.344148349228,15476.655851650772,15677.0,400.6882966984558,58.45228570405449,63.9577645558511,47.44132800046128,-64.28571428571429,-103.70993596264147,39.69465648861068,20086.3,51286,7990.9,-2.0,-0.027074590496822815,
