时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2006-12-19,9288.0,9782.0,9288.0,9630.0,24698,0,9630.0,9630.0,9630.0,9630.0,0.0,0.0,0.0,0.0,494.0,0.0,24698.0,0,0.0,0.0,0.0
2006-12-20,9610.0,9708.0,9556.0,9656.0,24953,0,9643.0,9643.0,9643.0,9643.0,2.074074074074815,0.4148148148149631,1.659259259259852,99.99999999923077,323.0,35.35533905932782,24825.5,24953,0.0,0.0,0.0
2006-12-21,9694.0,9720.0,9656.0,9708.0,13090,0,9664.666666666666,9664.666666666666,9664.666666666666,9664.666666666666,7.823572860610511,1.8965664239740727,5.927006436636439,99.99999999961538,236.66666666666666,47.401722909297916,20913.666666666668,38043,0.0,0.0,0.0
2006-12-22,9690.0,9698.0,9634.0,9662.0,9877,0,9664.0,9664.0,9664.0,9664.0,8.569492731990977,3.231151685577454,5.338341046413523,62.903225806451616,196.0,21.188630494616575,18154.5,28166,0.0,0.0,0.0
2006-12-25,9654.0,9678.0,9574.0,9674.0,5150,0,9666.0,9666.0,9666.0,9666.0,10.013509808064555,4.587623310074875,5.42588649798968,66.1764705882353,177.6,0.4224388515610529,15553.6,33316,0.0,0.0,0.0
2006-12-26,9668.0,9890.0,9662.0,9848.0,18057,0,9709.6,9696.333333333334,9696.333333333334,9696.333333333334,24.911090026549573,8.652316653369816,16.258773373179757,85.16129032258064,186.0,85.38417835324637,15970.833333333334,51373,0.0,0.0,0.0
2006-12-27,9870.0,9916.0,9812.0,9908.0,19700,0,9760.0,9726.57142857143,9726.57142857143,9726.57142857143,41.08542108061556,15.138937538818965,25.946483541796596,87.56756756756756,174.28571428571428,84.86168654247777,16503.571428571428,71073,0.0,0.0,0.0
2006-12-28,9832.0,9876.0,9758.0,9766.0,18214,0,9771.6,9731.5,9731.5,9731.5,41.96177252091729,20.503504535238633,21.45826798567866,63.28125,171.25,42.50811106450929,16717.375,52859,0.0,0.0,0.0
2006-12-29,9750.0,9756.0,9600.0,9606.0,16877,0,9760.4,9717.555555555555,9717.555555555555,9717.555555555555,29.406643050830098,22.284132238356925,7.122510812473173,48.214285714285715,170.66666666666666,-25.279381541222744,16735.11111111111,35982,0.0,0.0,0.0
2007-01-01,9600.0,9684.0,9530.0,9648.0,16604,0,9755.2,9710.6,9710.6,9710.6,22.58531206371481,22.344368203428502,0.24094386028630765,51.260504201680675,169.0,-38.55591397210407,16722.0,52586,0.0,0.0,0.0
2007-01-05,9440.0,9522.0,9280.0,9484.0,18136,0,9682.4,9696.0,9690.0,9690.0,3.900960867955291,18.65568673633386,-14.754725868378568,41.68564920273349,187.0909090909091,-98.85984277568318,16850.545454545456,34450,0.0,0.0,0.0
2007-01-08,9410.0,9554.0,9362.0,9532.0,20130,0,9607.2,9683.6,9676.833333333334,9676.833333333334,-6.953171389326599,13.533915111201768,-20.487086500528367,44.70842332613391,187.5,-67.02556086295965,17123.833333333332,54580,0.0,0.0,0.0
2007-01-09,9556.0,9588.0,9488.0,9496.0,18158,0,9553.2,9662.4,9662.923076923076,9662.923076923076,-18.249677614952816,7.177196565970851,-25.42687418092367,43.03534303534303,180.76923076923077,-47.19538025181867,17203.384615384617,36422,0.0,0.0,0.0
2007-01-10,9476.0,9570.0,9464.0,9526.0,15894,0,9537.2,9648.8,9653.142857142857,9653.142857142857,-24.49908075337953,0.8419411021007743,-25.341021855480307,44.75806451612903,175.42857142857142,-45.46828541957242,17109.85714285714,52316,0.0,0.0,0.0
2007-01-11,9540.0,9564.0,9490.0,9494.0,16273,0,9506.4,9630.8,9642.533333333333,9642.533333333333,-31.66885152276336,-5.660217422872053,-26.00863409989131,43.359375,145.42857142857142,-44.16513662964898,17054.066666666666,36043,0.0,0.0,0.0
2007-01-12,9440.0,9532.0,9440.0,9480.0,11470,0,9505.6,9594.0,9632.375,9632.375,-38.0421038176064,-12.136594701818924,-25.90550911578748,41.30434782608696,141.14285714285714,-52.78652601157588,16705.0625,24573,0.0,0.0,0.0
2007-01-15,9470.0,9502.0,9396.0,9420.0,9378,0,9483.2,9545.2,9619.882352941177,9619.882352941177,-47.38818919028745,-19.18691359951263,-28.20127559077482,35.882352941176464,144.14285714285714,-64.3315958048197,16274.058823529413,15195,0.0,0.0,0.0
2007-01-16,9470.0,9520.0,9430.0,9446.0,8250,0,9473.2,9513.2,9610.222222222223,9610.222222222223,-52.09651033195951,-25.768832946002007,-26.3276773859575,39.2,146.0,-51.27391576982045,15828.277777777777,23445,0.0,0.0,0.0
2007-01-17,9450.0,9490.0,9366.0,9376.0,9704,0,9443.2,9490.2,9597.894736842105,9597.894736842105,-60.775719085895616,-32.77021017398073,-28.005508911914887,35.91682419659736,147.42857142857142,-66.37604820504312,15505.947368421053,13741,0.0,0.0,0.0
2007-01-18,9334.0,9386.0,9222.0,9240.0,12389,0,9392.4,9449.4,9580.0,9580.0,-77.73207102603556,-41.762582344391696,-35.96948868164386,20.196078431372555,142.85714285714286,-98.19017660773802,15350.1,1352,0.0,0.0,0.0
2007-01-19,9280.0,9280.0,9106.0,9126.0,15792,0,9321.6,9413.6,9554.8,9558.380952380952,-99.22514367399526,-53.25509461031241,-45.97004906368285,13.59404096834264,147.85714285714286,-110.32036150822222,14904.8,-14440,0.0,0.0,0.0
2007-01-22,9094.0,9132.0,9004.0,9090.0,23965,0,9255.6,9369.4,9526.5,9537.09090909091,-117.8054696098734,-66.16516961022461,-51.64029999964879,15.08264462809916,146.28571428571428,-111.11581141126086,14855.4,-38405,0.0,0.0,0.0
2007-01-23,9120.0,9136.0,8852.0,8880.0,32321,0,9142.4,9307.8,9485.1,9508.521739130434,-147.77232930766877,-82.48660154971344,-65.28572775795533,14.341846758349703,154.71428571428572,-113.25915328417445,15816.95,-70726,0.0,0.0,0.0
2007-01-24,8810.0,8936.0,8806.0,8912.0,31096,0,9049.6,9246.4,9447.6,9483.666666666666,-167.01391648619756,-99.39206453701027,-67.62185194918729,13.492063492063494,153.0,-105.76386408702083,16877.9,-39630,0.0,0.0,0.0
2007-01-25,8970.0,9062.0,8930.0,9004.0,27796,0,9002.4,9197.4,9414.1,9464.48,-172.84691024161475,-114.08303367793117,-58.76387656368358,24.358974358974365,137.42857142857142,-74.55694136323444,18010.2,-11834,0.0,0.0,0.0
2007-01-26,9008.0,9042.0,8964.0,9010.0,17346,0,8979.2,9150.4,9372.2,9447.0,-174.96852175663662,-126.26013129367226,-48.70839046296436,20.80536912751677,129.28571428571428,-66.4408076688362,17974.65,5512,0.0,0.0,0.0
2007-01-29,9002.0,9040.0,8982.0,9032.0,10478,0,8967.6,9111.6,9328.4,9431.62962962963,-172.88182397773198,-135.5844698304842,-37.29735414724777,23.63636363636364,126.28571428571429,-59.70619552004641,17513.55,15990,0.0,0.0,0.0
