时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2019-08-09,1745.0,1788.0,1702.0,1702.0,329700,39409,1702.0,1702.0,1702.0,1702.0,0.0,0.0,0.0,0.0,86.0,0.0,329700.0,0,39409.0,0.0,0.0
2019-08-12,1690.0,1726.0,1679.0,1716.0,273286,46940,1709.0,1709.0,1709.0,1709.0,1.116809116809236,0.2233618233618472,0.8934472934473888,99.99999999857143,66.5,-35.35533905932755,301493.0,273286,43174.5,7531.0,19.109848004262986
2019-08-13,1705.0,1767.0,1702.0,1767.0,323053,65184,1728.3333333333333,1728.3333333333333,1728.3333333333333,1728.3333333333333,6.047450913547664,1.3881796413990106,4.659271272148653,99.99999999953846,66.0,45.66929587463069,308679.6666666667,596339,50511.0,18244.0,38.86663826161056
2019-08-14,1770.0,1783.0,1716.0,1732.0,290445,45871,1729.25,1729.25,1729.25,1729.25,7.049549746735693,2.5204536624663474,4.529096084269345,65.0,66.25,33.89195506744266,304121.0,305894,49351.0,-19313.0,-29.628436426116835
2019-08-15,1738.0,1753.0,1724.0,1738.0,179507,45735,1731.0,1731.0,1731.0,1731.0,8.232965644569958,3.6629560588870698,4.570009585682889,66.98113207547169,58.8,17.07352780933285,279198.2,485401,48627.8,-136.0,-0.2964836171001295
2019-08-16,1737.0,1754.0,1732.0,1739.0,77779,42512,1738.4,1732.3333333333333,1732.3333333333333,1732.3333333333333,9.146092451766663,4.759583337462988,4.386509114303674,67.28971962616822,52.666666666666664,25.058190706472338,245628.33333333334,563180,47608.5,-3223.0,-7.047119274078928
2019-08-19,1743.0,1750.0,1730.0,1741.0,57448,41096,1743.4,1733.5714285714287,1733.5714285714287,1733.5714285714287,9.916820378182592,5.79103074560691,4.125789632575683,67.88990825688074,48.0,18.915908763694375,218745.42857142858,620628,46678.142857142855,-1416.0,-3.330824237862251
2019-08-20,1741.0,1749.0,1736.0,1741.0,28274,37785,1738.2,1734.5,1734.5,1734.5,10.407654846135983,6.714355565712724,3.6932992804232594,67.88990825688074,43.625,23.353224720567596,194936.5,620628,45566.5,-3311.0,-8.056745182012847
2019-08-21,1738.0,1738.0,1706.0,1718.0,93364,36178,1735.4,1732.6666666666667,1732.6666666666667,1732.6666666666667,8.838848177482532,7.139254088066686,1.6995940894158466,56.060606060606055,42.666666666666664,-53.48676130326237,183650.66666666666,527264,44523.333333333336,-1607.0,-4.253010453883821
2019-08-22,1722.0,1730.0,1718.0,1723.0,30033,33404,1732.4,1731.7,1731.7,1731.7,7.907858927939742,7.292975056041298,0.614883871898444,57.66423357664234,39.6,-38.42792170056043,168288.9,557297,43411.4,-2774.0,-7.667643319144235
2019-08-23,1725.0,1727.0,1714.0,1720.0,19843,33065,1728.6,1733.5,1730.6363636363637,1730.6363636363637,6.849017106469546,7.204183466126948,-0.3551663596574022,56.42857142857142,37.18181818181818,-47.0487193438041,154793.81818181818,537454,42470.818181818184,-339.0,-1.014848521135192
2019-08-26,1715.0,1748.0,1712.0,1736.0,42046,31630,1727.6,1735.5,1731.0833333333333,1731.0833333333333,7.217741980172377,7.206895168936034,0.010846811236342901,60.8974358974359,37.083333333333336,-0.5799066495441286,145398.16666666666,579500,41567.416666666664,-1435.0,-4.339936488734308
2019-08-27,1734.0,1758.0,1731.0,1738.0,59580,32270,1727.0,1732.6,1731.6153846153845,1731.6153846153845,7.583919679168503,7.2823000709825285,0.3016196081859741,61.392405063291136,36.30769230769231,39.844319769767566,138796.76923076922,639080,40852.230769230766,640.0,2.0233955105912083
2019-08-28,1744.0,1758.0,1738.0,1750.0,31912,32717,1733.4,1734.4,1732.9285714285713,1732.9285714285713,8.741649560955693,7.574169968977162,1.1674795919785312,64.11764705882354,35.142857142857146,60.40621228226211,131162.14285714287,670992,40271.142857142855,447.0,1.3851874806321662
2019-08-29,1749.0,1815.0,1749.0,1786.0,230619,44468,1746.0,1739.2,1736.4666666666667,1736.4666666666667,12.420877820920168,8.543511539365763,3.877366281554405,70.38834951456312,33.714285714285715,133.25671818402392,137792.6,901611,40550.933333333334,11751.0,35.91710731424029
2019-08-30,1795.0,1804.0,1781.0,1789.0,82202,44023,1759.8,1744.2,1739.75,1739.75,15.401231838602826,9.915055599213176,5.48617623938965,68.71794871794872,32.0,117.98238577042467,134318.1875,983813,40767.9375,-445.0,-1.0007196186021416
2019-09-02,1793.0,1826.0,1781.0,1796.0,74814,47215,1771.8,1749.7,1743.0588235294117,1743.0588235294117,18.119158982501403,11.555876275870823,6.563282706630581,59.60264900662252,30.571428571428573,111.68610834140426,130817.94117647059,1058627,41147.17647058824,3192.0,7.25075528700907
2019-09-03,1798.0,1806.0,1785.0,1791.0,46397,46027,1782.4,1754.7,1745.7222222222222,1745.7222222222222,19.643242539885932,13.173349528673844,6.469893011212088,74.3801652892562,27.285714285714285,86.07098747739082,126127.88888888889,1012230,41418.27777777778,-1188.0,-2.5161495287514546
2019-09-04,1796.0,1843.0,1793.0,1813.0,151475,48988,1795.0,1764.2,1749.2631578947369,1749.2631578947369,22.36845623823706,15.012370870586487,7.3560853676505715,77.37226277372262,28.928571428571427,106.1707102365243,127461.94736842105,1163705,41816.68421052631,2961.0,6.433180524474769
2019-09-05,1814.0,1830.0,1807.0,1812.0,63608,46435,1800.2,1773.1,1752.4,1752.4,24.168911913717466,16.843679079212684,7.3252328345047815,76.64233576642336,29.0,93.13522679839323,124269.25,1100097,42047.6,-2553.0,-5.211480362537769
2019-09-06,1815.0,1827.0,1810.0,1820.0,44717,46709,1806.4,1783.1,1758.3,1755.6190476190477,25.942272777256676,18.663397818821483,7.278874958435193,77.62237762237763,28.785714285714285,84.23657057320554,110020.1,1144814,42412.6,274.0,0.5900721438570011
2019-09-09,1832.0,1840.0,1817.0,1823.0,43276,48312,1811.8,1791.8,1763.65,1758.6818181818182,27.275335872311416,20.38578542951947,6.889550442791947,78.08219178082192,29.5,84.35851253266023,98519.6,1188090,42481.2,1603.0,3.431886788413374
2019-09-10,1826.0,1835.0,1803.0,1811.0,56929,45696,1815.8,1799.1,1765.85,1760.9565217391305,27.05166352943661,21.7189610495029,5.332702479933708,84.44444444444444,29.285714285714285,63.0726863990723,85213.4,1131161,41506.8,-2616.0,-5.414803775459509
2019-09-11,1811.0,1820.0,1808.0,1817.0,25368,43411,1816.6,1805.8,1770.1,1763.2916666666667,27.046773078130627,22.784523455228445,4.262249622902182,84.55882352941177,29.285714285714285,55.347686859593885,71959.55,1156529,41383.8,-2285.0,-5.000437675070025
2019-09-12,1818.0,1822.0,1811.0,1815.0,18217,41762,1817.2,1808.7,1773.95,1765.36,26.57517203419434,23.542653171021627,3.0325188631727116,85.18518518518519,29.142857142857142,51.17601190025897,63895.05,1138312,41185.15,-1649.0,-3.7985763976872255
2019-09-16,1819.0,1825.0,1775.0,1790.0,46656,37988,1811.2,1808.8,1776.5,1766.3076923076924,23.90853107915359,23.61582875264802,0.2927023265055695,68.75,30.142857142857142,23.70549640530074,62338.9,1091656,40958.95,-3774.0,-9.036923518988548
2019-09-17,1791.0,1796.0,1778.0,1781.0,30147,35075,1802.8,1807.3,1778.5,1766.851851851852,20.82887185706568,23.058437373531554,-2.2295655164658754,64.23841059602648,29.5,6.115461585315218,60973.85,1061509,40657.9,-2913.0,-7.668211014004422
2019-09-18,1782.0,1786.0,1764.0,1785.0,34551,32800,1797.6,1806.7,1780.7,1767.5,18.49775569324106,22.146301037473457,-3.648545344232396,62.23776223776223,29.642857142857142,-5.14606454349017,61287.7,1096060,40408.65,-2275.0,-6.486101211689233
2019-09-19,1784.0,1794.0,1774.0,1778.0,30474,34152,1789.8,1803.2,1783.7,1767.8620689655172,15.902177437330238,20.897476317444816,-4.995298880114579,46.49122807017544,26.357142857142858,-4.70941959597636,58143.2,1065586,40307.35,1352.0,4.121951219512199
2019-09-20,1780.0,1780.0,1752.0,1760.0,43493,35640,1778.8,1798.0,1785.55,1767.6,12.25148589851301,19.168278233658455,-6.916792335145445,38.759689922480625,26.714285714285715,-36.98861990810026,58816.2,1022093,40419.15,1488.0,4.356992269852422
2019-09-23,1764.0,1769.0,1756.0,1763.0,23177,37239,1773.4,1792.3,1787.7,1767.4516129032259,9.490955651308695,17.232813717188503,-7.741858065879807,36.8,24.428571428571427,-47.837415548508126,58982.9,1045270,40627.85,1599.0,4.486531986531994
2019-09-24,1764.0,1776.0,1759.0,1772.0,25419,34936,1771.6,1787.2,1789.5,1767.59375,7.937936732259004,15.373838320202605,-7.435901587943601,42.63565891472868,24.142857142857142,-44.474175077283164,58151.55,1070689,40793.15,-2303.0,-6.184376594430574
2019-09-25,1774.0,1775.0,1754.0,1756.0,21751,37050,1765.8,1781.7,1790.4,1767.2424242424242,5.3543699240888145,13.369944640979847,-8.015574716891033,26.829268292682926,21.928571428571427,-65.49481964884454,56260.1,1048938,41032.15,2114.0,6.051064804213424
2019-09-26,1757.0,1765.0,1744.0,1758.0,19875,35309,1761.8,1775.8,1790.8,1766.9705882352941,3.4287335937665375,11.381702431537185,-7.952968837770648,28.22580645161291,21.785714285714285,-81.38364701364894,55658.25,1068813,41161.75,-1741.0,-4.699055330634283
2019-09-27,1751.0,1757.0,1747.0,1749.0,11222,32891,1759.6,1769.2,1788.95,1766.4571428571428,1.1630215561206114,9.337966256453871,-8.17494470033326,21.599999999999994,21.357142857142858,-81.71269173784826,44688.4,1057591,40582.9,-2418.0,-6.848112379280069
2019-09-30,1754.0,1764.0,1749.0,1755.0,11882,31945,1758.0,1765.7,1787.25,1766.138888888889,-0.14673028597940174,7.441026947967217,-7.587757233946618,23.4375,20.785714285714285,-64.63795822119545,41172.4,1069473,39979.0,-946.0,-2.876166732540819
2019-10-08,1750.0,1764.0,1728.0,1753.0,19203,32700,1754.2,1762.9,1785.1,1765.7837837837837,-1.3307611561606336,5.686669327141647,-7.017430483302281,25.423728813559322,21.071428571428573,-70.64048930405025,38391.85,1050270,39253.25,755.0,2.363437157614645
2019-10-09,1754.0,1773.0,1752.0,1769.0,27604,36901,1756.8,1761.3,1784.0,1765.8684210526317,-0.9669020241808539,4.355955056877147,-5.322857081058001,31.25,21.714285714285715,-37.19271585501315,37452.2,1077874,38796.95,4201.0,12.847094801223236
2019-10-10,1769.0,1779.0,1756.0,1758.0,17769,37194,1756.8,1759.3,1781.25,1765.6666666666667,-1.5483012566849084,3.1751037941647366,-4.723405050849645,29.197080291970792,22.571428571428573,-33.87984743785647,30766.9,1060105,38207.25,293.0,0.794016422319177
2019-10-11,1760.0,1763.0,1748.0,1752.0,13233,37534,1757.4,1758.5,1778.25,1765.325,-2.46480149575018,2.0471227361817537,-4.511924231931934,33.89830508474576,20.071428571428573,-47.77779135466088,28248.15,1046872,37762.2,340.0,0.9141259342904773
2019-10-14,1750.0,1753.0,1734.0,1739.0,15454,40565,1754.2,1756.1,1774.2,1764.6829268292684,-4.191805369709982,0.7993371150034065,-4.9911424847133885,32.786885245901644,20.142857142857142,-65.19488617446683,26785.0,1031418,37455.0,3031.0,8.075345020514725
2019-10-15,1730.0,1738.0,1730.0,1737.0,10433,41900,1751.0,1752.6,1769.9,1764.0238095238096,-5.6566453807074595,-0.49185938413876673,-5.164785996568693,30.0,19.214285714285715,-74.16993953447131,25142.85,1020985,37134.4,1335.0,3.2910144212991543
2019-10-16,1737.0,1742.0,1730.0,1730.0,10951,42348,1743.2,1750.0,1765.85,1763.2325581395348,-7.298253419173079,-1.8531381911456293,-5.44511522802745,30.0,18.642857142857142,-71.14178606528581,22843.95,1010034,36967.0,448.0,1.0692124105011969
2019-10-17,1728.0,1728.0,1711.0,1715.0,21331,44757,1734.6,1745.7,1760.75,1762.1363636363637,-9.697823780715453,-3.4220753090595943,-6.2757484716558585,30.769230769230774,18.0,-97.36430769315852,22642.1,988703,37034.3,2409.0,5.68858033437234
2019-10-18,1715.0,1725.0,1711.0,1714.0,11679,45251,1727.0,1742.2,1755.7,1761.0666666666666,-11.54708461918085,-5.047077171083846,-6.500007448097005,28.695652173913032,18.071428571428573,-96.3861365886434,22315.2,977024,37208.75,494.0,1.103737962776763
2019-10-21,1715.0,1715.0,1699.0,1700.0,17486,47348,1719.2,1736.7,1751.2,1759.7391304347825,-13.981154112346758,-6.833892559336428,-7.147261553010329,20.0,18.0,-109.34195644751094,20856.7,959538,37676.75,2097.0,4.634151731453451
2019-10-22,1701.0,1704.0,1673.0,1683.0,49981,56121,1708.4,1729.7,1746.3,1758.1063829787233,-17.084984580071023,-8.884110963483348,-8.200873616587675,19.83471074380165,18.714285714285715,-121.91190239164324,21848.4,909557,38729.05,8773.0,18.528765734561127
2019-10-23,1685.0,1686.0,1675.0,1679.0,19156,56772,1698.2,1720.7,1741.0,1756.4583333333333,-19.64114822766055,-11.035518416318789,-8.605629811341762,17.886178861788622,18.0,-111.57648581845427,21078.65,890401,39927.65,651.0,1.159993585288932
2019-10-24,1683.0,1692.0,1678.0,1683.0,20164,56684,1691.8,1713.2,1736.25,1754.9591836734694,-21.100921476026542,-13.048599028260341,-8.052322447766201,22.033898305084747,18.214285714285715,-91.09174501345353,20563.15,910565,41054.25,-88.0,-0.1550059888677513
2019-10-25,1681.0,1687.0,1678.0,1680.0,16219,57601,1685.0,1706.0,1732.25,1753.46,-22.243468363195916,-14.887572895247455,-7.355895467948461,17.391304347826093,17.785714285714285,-83.39451528832068,19199.45,894346,42152.3,917.0,1.6177404558605613
2019-10-28,1682.0,1692.0,1679.0,1685.0,16175,55728,1682.0,1700.6,1728.35,1752.1176470588234,-22.48627896296489,-16.407314108790942,-6.078964854173947,21.186440677966104,16.142857142857142,-69.10567025612225,18849.35,910521,43076.75,-1873.0,-3.251679658339268
