时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2007-03-27,28600.0,29600.0,28580.0,29220,10803,0,29220.0,29220.0,29220.0,29220.0,0.0,0.0,0.0,0.0,1020.0,0.0,10803.0,0,0.0,0.0,0.0
2007-03-28,29550.0,29870.0,29500.0,29725,8599,0,29472.5,29472.5,29472.5,29472.5,40.28490028489978,8.056980056979956,32.227920227919824,99.9999999999604,835.0,35.35533905932738,9701.0,8599,0.0,0.0,0.0
2007-03-29,29495.0,29700.0,29420.0,29565,4513,0,29503.333333333332,29503.333333333332,29503.333333333332,29503.333333333332,58.62452415158987,18.17048887590194,40.45403527568793,75.93984962406014,658.3333333333334,16.490629281055877,7971.666666666667,4086,0.0,0.0,0.0
2007-03-30,29510.0,29560.0,29010.0,29030,4595,0,29385.0,29385.0,29385.0,29385.0,29.647026905815437,20.465796481884638,9.1812304239308,42.08333333333333,632.5,-36.11126589846178,7127.5,-509,0.0,0.0,0.0
2007-04-02,29430.0,29500.0,29180.0,29390,7070,0,29386.0,29386.0,29386.0,29386.0,35.323950409485406,23.437427267404793,11.886523142080613,55.448717948717956,600.0,-6.9866038036617875,7116.0,6561,0.0,0.0,0.0
2007-04-03,29390.0,29445.0,29250.0,29290,3023,0,29400.0,29370.0,29370.0,29370.0,31.391922380633332,25.028326290050504,6.363596090582828,52.10843373493976,532.5,-11.959399702588797,6433.833333333333,3538,0.0,0.0,0.0
2007-04-04,28935.0,28980.0,28660.0,28780,6371,0,29211.0,29285.714285714286,29285.714285714286,29285.714285714286,-12.730229748871352,17.476615082266132,-30.206844831137484,39.86175115207374,546.4285714285714,-84.05111547008416,6424.857142857143,-2833,0.0,0.0,0.0
2007-04-05,29250.0,29260.0,28980.0,28985,4615,0,29095.0,29248.125,29248.125,29248.125,-30.800517260609922,7.821188613690922,-38.621705874300844,45.05263157894737,538.125,-34.60353060908951,6198.625,1782,0.0,0.0,0.0
2007-04-06,29700.0,30245.0,29540.0,30245,9902,0,29338.0,29358.88888888889,29358.88888888889,29358.88888888889,55.9056736320199,17.43808561735672,38.46758801466318,64.09903713892709,618.3333333333334,91.10841213555098,6610.111111111111,11684,0.0,0.0,0.0
2007-04-09,30245.0,31515.0,30105.0,31385,31450,0,29737.0,29561.5,29561.5,29561.5,214.14094372018735,56.77865723792285,157.3622864822645,72.67015706806282,697.5,119.17659974370535,9094.1,43134,0.0,0.0,0.0
2007-04-10,31550.0,32195.0,31550.0,32195,17041,0,30318.0,29859.0,29800.909090909092,29800.909090909092,400.2894779064118,125.48082137162065,274.8086565347911,76.6338406445837,707.7272727272727,117.96823681567754,9816.545454545454,60175,0.0,0.0,0.0
2007-04-11,32850.0,33865.0,31980.0,32745,66499,0,31111.0,30161.0,30046.25,30046.25,585.4452869935521,217.47371449600695,367.9715724975452,78.72860635696821,805.8333333333334,112.05212899662551,14540.083333333334,126674,0.0,0.0,0.0
2007-04-12,32800.0,32990.0,32020.0,32395,59072,0,31793.0,30444.0,30226.923076923078,30226.923076923078,695.9184105006425,313.16265369693406,382.75575680370844,74.47956823438705,818.4615384615385,81.26380019228809,17965.615384615383,67602,0.0,0.0,0.0
2007-04-13,32535.0,33220.0,32370.0,32955,57069,0,32335.0,30836.5,30421.785714285714,30421.785714285714,819.2130980289876,414.3727425633448,404.8403554656428,76.50816181689142,820.7142857142857,81.05793973173702,20758.714285714286,124671,0.0,0.0,0.0
